species,n_specimens_strict,n_images_strict,n_analysis_ready_images,n_pairs_strict,species_median_cell_area_um2,species_median_nuc_area_um2,cell_area_um2_q1,cell_area_um2_q3,cell_area_um2_ci_low,cell_area_um2_ci_high,cell_area_um2_bootstrap_sd,nucleus_area_um2_q1,nucleus_area_um2_q3,nucleus_area_um2_ci_low,nucleus_area_um2_ci_high,nucleus_area_um2_bootstrap_sd,linked_effective_n,linked_support_label,linked_support_warnings,linked_n_selected_manual_total,linked_n_selected_auto,species_median_nc_ratio,species_median_cytoplasm_area_um2,low_support_for_species_median,source_file,source_sha256,bundle_origin,estimation_method
D. amphileucus,2,2,1,50,297.7488,41.7888,287.5536,308.3472,291.4128,300.9024,2.463332,40.176,45.1728,40.7232,42.65496,0.739668,36.354379,medium,,27,23,0.13924399999999998,256.0032,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. anicetus,1,1,1,50,232.8768,39.312,220.1328,242.6544,228.0366,237.7728,2.715261,37.584,40.4352,38.5776,40.0176,0.397517,49.800929,limited,low_image_count; low_specimen_count,38,12,0.17114200000000002,192.3696,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. apalachicolae,2,2,1,50,267.84,39.4704,259.344,279.5616,259.3584,282.0528,6.104614,35.568,42.7104,34.6176,43.8912,2.763261,47.309172,medium,,26,24,0.1466305,229.96800000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. auriculatus,2,2,1,50,277.1136,47.2032,256.6512,285.0768,256.6512,286.0416,10.783711,46.224,48.4992,46.1808,48.4992,0.928335,7.677231,limited,,26,24,0.1669835,237.00959999999998,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. bairdi,1,1,1,50,286.3152,42.6384,277.0992,300.1392,281.448,291.47616,2.614574,40.5216,46.1808,41.616,44.0064,0.614892,49.831488,limited,low_image_count; low_specimen_count,27,23,0.1465485,242.94959999999998,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. brimleyorum,2,2,1,50,292.9968,42.1344,279.6192,306.4608,286.3008,303.5664,4.043517,39.3408,44.8128,40.0752,43.5024,0.865786,41.545213,medium,,43,7,0.142763,251.23680000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. campi,2,2,2,50,237.3984,37.1232,221.976,257.256,223.2864,258.2928,8.917051,34.5888,41.6304,34.6032,42.1344,2.347481,48.316586,medium,,32,18,0.16225450000000002,196.1136,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. folkertsi,2,2,0,50,235.6416,42.2208,219.5856,252.4464,223.6608,251.136,6.619579,39.3696,44.8992,39.4848,44.7264,1.344302,46.457716,medium,auto_dominant,23,27,0.186658,193.1976,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. fuscus,4,4,1,50,257.2272,44.2512,236.52,268.4592,234.9216,273.1248,9.886193,41.8032,47.2752,41.8032,47.3616,1.993237,10.447693,limited,,25,25,0.176701,214.7328,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. gvnigeusgwotli,1,1,1,50,253.9296,41.2848,245.3184,266.1984,248.5152,259.2144,2.797217,39.384,44.5248,40.3776,43.272,0.691682,49.804632,limited,low_image_count; low_specimen_count,25,25,0.16104400000000002,210.7656,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. intermedius,2,2,2,50,275.256,42.9408,264.4992,291.3264,264.4992,296.136,8.433301,40.2048,45.4752,39.8808,47.4048,1.983927,49.365042,medium,auto_dominant,20,30,0.155247,232.308,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. kanawha,2,2,1,50,257.0256,40.5504,239.6016,271.7712,247.32,271.7712,6.986396,37.2672,44.9856,38.6208,46.1952,1.893275,18.08477,medium,auto_dominant,13,37,0.1615,211.29840000000002,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
D. marmoratus,2,2,1,50,261.6048,44.5248,248.1264,273.6576,255.2112,265.12416,2.790585,42.1776,46.8432,42.1776,46.2672,0.94543,47.666062,medium,auto_dominant,11,39,0.1703245,216.756,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,verified_species_dataset,weighted_median_selected_reviewed_linked_pairs
