species,source_id,source_measurement_context,source_filename,source_file_sha256,morph_n_specimens,morph_n_counties,morph_n_states,svl_mean_all_mm,svl_sd_all_mm,svl_q90_all_mm,svl_max_mm,tl_mean_all_mm,tl_q90_all_mm,tl_max_mm,mean_SVL,mean_TL,mean_AG,mean_CW,mean_FL,mean_HL,mean_SG,mean_TW,mean_TO,mean_FI,mean_HW,mean_ED,mean_IN,mean_ES,mean_ON,mean_IO,mean_IC
anicetus,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,42,5,2,36.47119047619047,8.05188758429668,45.099,51.0,36.688809523809525,52.251999999999995,57.02,36.47119047619047,36.688809523809525,19.589523809523808,5.270714285714286,3.3854761904761905,2.835238095238095,8.388333333333334,3.889761904761905,2.3983333333333334,1.3292857142857142,5.646904761904762,2.0395238095238093,2.171904761904762,2.340238095238095,1.4476190476190476,1.6195238095238094,2.849047619047619
bairdi,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,22,5,2,39.85227272727273,9.187827833771717,53.70100000000001,55.4,32.58818181818182,52.278999999999996,57.74,39.85227272727273,32.58818181818182,21.780454545454546,5.539090909090909,3.228181818181818,2.9077272727272727,8.92681818181818,3.9522727272727276,2.615,1.4659090909090908,6.077727272727273,2.286363636363636,2.1331818181818183,2.2904545454545455,1.449090909090909,1.535909090909091,2.8795454545454544
campi,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,75,11,2,35.6212,8.948278856097776,46.88800000000001,56.98,28.779733333333333,41.07000000000001,49.14,35.6212,28.779733333333333,19.3036,5.174133333333334,3.0072,2.5030666666666663,7.950399999999999,3.8914666666666666,2.256666666666667,1.2165333333333332,5.580666666666667,2.0205333333333333,2.0748,2.0725333333333333,1.2898666666666665,1.4806666666666666,2.570666666666667
carolinensis,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,62,8,2,34.243870967741934,8.74204000554147,45.421,49.43,27.496935483870967,39.596000000000004,51.27,34.243870967741934,27.496935483870967,18.220483870967744,4.7545161290322575,2.924032258064516,2.5140322580645162,7.9198387096774185,3.43,2.1580645161290324,1.2785483870967742,5.282258064516129,1.9893548387096776,1.9641935483870967,2.087258064516129,1.2830645161290322,1.556774193548387,2.6635483870967738
catahoula,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,38,8,2,45.433684210526316,10.672173825788825,58.064,64.27,32.48842105263158,44.22500000000001,56.08,45.433684210526316,32.48842105263158,25.02052631578947,6.3531578947368414,3.6252631578947367,3.272105263157895,9.986842105263158,4.473947368421053,2.6323684210526315,1.3689473684210527,6.921052631578948,2.4850000000000003,2.4239473684210524,2.535263157894737,1.6139473684210526,1.8778947368421053,3.1428947368421056
conanti,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,208,44,6,42.49177884615384,11.004316948652939,55.964,65.35,34.309375,50.254000000000005,64.02,42.49177884615384,34.309375,23.00653846153846,6.384423076923077,3.691778846153846,2.899855769230769,9.432932692307691,4.915961538461539,2.7336057692307696,1.508125,6.836826923076923,2.4022596153846156,2.4915384615384615,2.5375480769230765,1.5604326923076923,1.8054807692307693,3.144903846153846
fuscus,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,108,31,5,45.08388888888889,11.372661500063016,59.147,72.3,37.27462962962963,54.931,64.98,45.08388888888889,37.27462962962963,24.80851851851852,6.30824074074074,3.8094444444444444,3.292962962962963,9.839166666666667,4.835925925925926,2.9137962962962964,1.719814814814815,6.907962962962963,2.488703703703704,2.569537037037037,2.684537037037037,1.6702777777777778,1.8730555555555555,3.295185185185185
lycos,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,50,11,4,45.8146,12.77132313954564,60.115,74.32,38.885799999999996,54.952999999999996,73.11,45.8146,38.885799999999996,24.8404,6.5758,3.8612,3.383,10.2568,4.881,3.0512,1.8230000000000002,7.1654,2.5334,2.5594,2.7966,1.784,1.8808,3.4206
santeetlah,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,37,6,1,37.6072972972973,9.777883390775512,49.12199999999999,54.92,29.16918918918919,43.006,46.77,37.6072972972973,29.16918918918919,20.526756756756757,5.28945945945946,3.055945945945946,2.612972972972973,8.424054054054054,4.0729729729729724,2.2970270270270268,1.334054054054054,5.756756756756757,2.107027027027027,2.110810810810811,2.2637837837837838,1.4064864864864866,1.5616216216216217,2.8045945945945947
tilleyi,pyron_beamer_2023_conanti_fuscus_appendix_s1,all_specimens_mixed_life_stages,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,fccff98f579019f755f3bf38bbb2f50d619ef50690f758c95a6925d49bf609b9,32,3,2,35.5784375,8.004763142261591,45.804,51.67,34.435625,47.351000000000006,55.42,35.5784375,34.435625,19.45625,4.8009375,3.125,2.6671875,8.0559375,3.5978125,2.281875,1.2521875,5.3103125,2.005625,2.0384375,2.125625,1.315625,1.5428125,2.7134375
