species,estimated_genome_pg_current_top50_primary,estimated_genome_pg_balanced_qc_only,balanced_minus_current_pg,balanced_vs_current_pct,iod_ratio_to_reference_current_top50_primary,iod_ratio_to_reference_balanced_qc_only,balanced_iod_ratio_minus_current,n_selected_pairs_current_top50_primary,n_selected_pairs_balanced_qc_only,n_selected_images_current_top50_primary,n_selected_images_balanced_qc_only,n_selected_specimens_current_top50_primary,n_selected_specimens_balanced_qc_only,support_label_current_top50_primary,support_label_balanced_qc_only,support_warnings_current_top50_primary,support_warnings_balanced_qc_only
D. fuscus,16.360000,16.360000,0.000000,0.000000,1.000000,1.000000,0.000000,23,100,1,8,1,4,low,medium,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,
D. marmoratus,15.918278,17.086857,1.168579,7.341117,0.973000,1.044429,0.071429,20,100,1,4,1,2,low,medium,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,
D. mavrokoilius,12.848645,16.322596,3.473950,27.037481,0.785370,0.997714,0.212344,50,100,2,3,2,2,medium,medium,size_darkness_selected_top50,
D. auriculatus,14.527962,18.631680,4.103718,28.247034,0.888017,1.138856,0.250839,48,100,1,4,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. monticola,14.102600,18.153939,4.051339,28.727601,0.862017,1.109654,0.247637,40,100,1,4,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. ocoee,15.289705,21.132680,5.842975,38.215095,0.934579,1.291729,0.357150,12,100,1,3,1,3,low,medium,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,
D. valtos,19.770085,27.488203,7.718117,39.039371,1.208440,1.680208,0.471768,25,100,1,2,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. intermedius,16.285297,22.981212,6.695915,41.116317,0.995434,1.404720,0.409286,50,100,2,2,2,2,medium,medium,size_darkness_selected_top50,
D. welteri,11.741516,16.651522,4.910005,41.817471,0.717697,1.017819,0.300123,33,100,1,4,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. amphileucus,14.275116,20.332038,6.056922,42.429929,0.872562,1.242790,0.370227,38,100,1,3,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. campi,12.794174,18.450962,5.656788,44.213782,0.782040,1.127809,0.345769,50,100,2,2,2,2,medium,medium,size_darkness_selected_top50,
D. tilleyi,14.033456,20.273406,6.239950,44.464814,0.857791,1.239206,0.381415,50,100,2,2,2,2,medium,medium,size_darkness_selected_top50,
D. gvnigeusgwotli,13.709404,19.827258,6.117855,44.625242,0.837983,1.211935,0.373952,50,100,1,1,1,1,low,low,low_image_count; low_specimen_count; size_darkness_selected_top50,low_image_count; low_specimen_count
D. bairdi,16.285622,23.800473,7.514851,46.144081,0.995454,1.454797,0.459343,50,100,1,1,1,1,low,low,low_image_count; low_specimen_count; size_darkness_selected_top50,low_image_count; low_specimen_count
D. anicetus,13.069896,19.295122,6.225226,47.630261,0.798893,1.179408,0.380515,50,100,1,1,1,1,low,low,low_image_count; low_specimen_count; size_darkness_selected_top50,low_image_count; low_specimen_count
D. folkertsi,13.794178,20.905799,7.111622,51.555242,0.843165,1.277861,0.434696,50,100,2,2,2,2,medium,medium,size_darkness_selected_top50,
D. ochrophaeus,11.057864,16.805672,5.747808,51.979371,0.675909,1.027242,0.351333,50,65,2,2,2,2,limited,medium,size_darkness_selected_top50,
D. brimleyorum,15.080389,22.921354,7.840965,51.994446,0.921784,1.401061,0.479277,35,100,1,2,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. apalachicolae,12.687106,19.405176,6.718070,52.951948,0.775495,1.186135,0.410640,19,100,1,2,1,2,low,medium,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,
D. kanawha,13.250501,20.858618,7.608118,57.417588,0.809933,1.274977,0.465044,45,100,1,2,1,2,low,medium,low_image_count; low_specimen_count; size_darkness_selected_top50,
D. perlapsus,10.725843,18.410803,7.684960,71.649010,0.655614,1.125355,0.469741,21,100,1,3,1,3,low,medium,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,
