panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
balanced_all_strict,D. amphileucus,100,3,2,91.730550,908.330046,785.573298,1047.664998,20.126760,17.406719,23.214142,D. fuscus,16.360000,738.334404,0.022158,1.230242,0.765305,0.542265,medium,
balanced_all_strict,D. anicetus,100,1,1,100.000000,870.299702,822.646805,930.311718,19.284085,18.228193,20.613830,D. fuscus,16.360000,738.334404,0.022158,1.178734,0.677575,0.539773,low,low_image_count; low_specimen_count
balanced_all_strict,D. apalachicolae,100,2,2,100.000000,875.764620,815.419308,944.569220,19.405176,18.068046,20.929747,D. fuscus,16.360000,738.334404,0.022158,1.186135,0.737642,0.555777,medium,
balanced_all_strict,D. auriculatus,100,4,2,76.177474,840.856394,717.137127,1021.330877,18.631680,15.890311,22.630631,D. fuscus,16.360000,738.334404,0.022158,1.138856,0.702692,0.540430,medium,
balanced_all_strict,D. bairdi,100,1,1,100.000000,1074.126414,1021.216194,1130.558563,23.800473,22.628089,25.050896,D. fuscus,16.360000,738.334404,0.022158,1.454797,0.701198,0.567708,low,low_image_count; low_specimen_count
balanced_all_strict,D. brimleyorum,100,2,2,100.000000,1034.451357,988.274658,1121.912027,22.921354,21.898172,24.859306,D. fuscus,16.360000,738.334404,0.022158,1.401061,0.785595,0.564068,medium,
balanced_all_strict,D. campi,100,2,2,100.000000,826.680576,774.065079,878.670217,18.317573,17.151720,19.469558,D. fuscus,16.360000,738.334404,0.022158,1.119656,0.611524,0.598513,medium,
balanced_all_strict,D. folkertsi,100,2,2,100.000000,943.488431,895.432898,1015.595742,20.905799,19.840986,22.503552,D. fuscus,16.360000,738.334404,0.022158,1.277861,0.752694,0.597566,medium,
balanced_all_strict,D. fuscus,100,8,4,96.694296,738.334404,657.705687,901.350942,16.360000,14.573430,19.972117,D. fuscus,16.360000,738.334404,0.022158,1.000000,0.670785,0.545334,medium,
balanced_all_strict,D. gvnigeusgwotli,100,1,1,100.000000,894.813386,822.942521,949.841821,19.827258,18.234745,21.046577,D. fuscus,16.360000,738.334404,0.022158,1.211935,0.647709,0.577644,low,low_image_count; low_specimen_count
balanced_all_strict,D. intermedius,100,2,2,100.000000,1037.152774,961.835666,1129.539635,22.981212,21.312337,25.028318,D. fuscus,16.360000,738.334404,0.022158,1.404720,0.697307,0.585405,medium,
balanced_all_strict,D. kanawha,100,2,2,100.000000,941.359144,868.563200,1037.916748,20.858618,19.245607,22.998140,D. fuscus,16.360000,738.334404,0.022158,1.274977,0.771041,0.535336,medium,
balanced_all_strict,D. marmoratus,100,4,2,42.240000,771.137813,682.488659,1017.808066,17.086857,15.122571,22.552572,D. fuscus,16.360000,738.334404,0.022158,1.044429,0.642287,0.541113,medium,
balanced_all_strict,D. mavrokoilius,100,3,2,58.597403,736.646324,675.946324,862.067851,16.322596,14.977606,19.101683,D. fuscus,16.360000,738.334404,0.022158,0.997714,0.725482,0.574391,medium,
balanced_all_strict,D. monticola,100,4,2,99.919936,819.295713,637.914524,944.635230,18.153939,14.134898,20.931210,D. fuscus,16.360000,738.334404,0.022158,1.109654,0.632613,0.508829,medium,
