species,n_matched,n_images,n_specimens,median_match_distance,max_match_distance,mean_difference_match_log_edge_sharpness,ks_match_log_edge_sharpness,mean_difference_match_log_relative_ring_noise,ks_match_log_relative_ring_noise,max_abs_standardized_mean_difference,max_ks_distance,quality_match_status
D. amphileucus,40,2,2,0.05278279,0.16831859,0.00769065,0.10000000,-0.00393448,0.10000000,0.00769065,0.10000000,common_support
D. anicetus,40,1,1,0.11054373,0.31791123,0.03043241,0.10000000,-0.03767069,0.15000000,0.03767069,0.15000000,common_support
D. apalachicolae,40,2,2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,common_support
D. auriculatus,40,2,2,0.04070922,0.15554000,-0.00920786,0.07500000,0.00473469,0.07500000,0.00920786,0.07500000,common_support
D. bairdi,40,1,1,0.05770302,0.13282857,-0.00257088,0.10000000,-0.00771878,0.10000000,0.00771878,0.10000000,common_support
D. brimleyorum,40,2,2,0.03712684,0.08342366,-0.00672361,0.10000000,0.00663463,0.05000000,0.00672361,0.10000000,common_support
D. campi,40,2,2,0.10673019,0.18578269,0.01467381,0.10000000,-0.00678576,0.10000000,0.01467381,0.10000000,common_support
D. folkertsi,40,2,2,0.06637563,0.22392054,0.00740143,0.15000000,0.02428624,0.12500000,0.02428624,0.15000000,common_support
D. fuscus,40,4,4,0.03712266,0.08833080,0.00430956,0.10000000,-0.00495084,0.07500000,0.00495084,0.10000000,common_support
D. gvnigeusgwotli,40,1,1,0.09679229,0.36400245,0.01641554,0.10000000,-0.05245122,0.17500000,0.05245122,0.17500000,common_support
D. intermedius,40,2,2,0.05821533,0.10881375,0.00658460,0.07500000,-0.00324476,0.12500000,0.00658460,0.12500000,common_support
D. kanawha,40,2,2,0.05527306,0.14504221,0.00514731,0.07500000,-0.01270422,0.10000000,0.01270422,0.10000000,common_support
D. marmoratus,40,2,2,0.05791505,0.19094917,-0.01060629,0.07500000,0.01299648,0.10000000,0.01299648,0.10000000,common_support
D. mavrokoilius,40,2,2,0.07750864,0.20405983,0.00884339,0.10000000,-0.01167885,0.10000000,0.01167885,0.10000000,common_support
D. monticola,40,2,2,0.13101674,0.38491168,0.05053666,0.20000000,0.01499807,0.10000000,0.05053666,0.20000000,common_support
D. ochrophaeus,40,2,2,0.44914479,1.42420035,-0.20811887,0.37500000,-0.32883643,0.40000000,0.32883643,0.40000000,limited_overlap
D. ocoee,40,3,3,0.03499979,0.10297964,-0.00218912,0.05000000,0.00465098,0.07500000,0.00465098,0.07500000,common_support
D. perlapsus,40,3,3,0.07102414,0.17450523,0.02448184,0.15000000,-0.00005583,0.10000000,0.02448184,0.15000000,common_support
D. tilleyi,40,2,2,0.03805050,0.13955048,0.00161888,0.10000000,0.00549262,0.07500000,0.00549262,0.10000000,common_support
D. valtos,40,2,2,0.06437850,0.12834397,-0.00533097,0.07500000,0.00676891,0.07500000,0.00676891,0.07500000,common_support
D. welteri,40,2,2,0.06558567,0.16729741,-0.00309068,0.07500000,0.02534566,0.10000000,0.02534566,0.10000000,common_support
