species,other_species,wasserstein_distance
D. amphileucus,D. amphileucus,0.00000000
D. anicetus,D. amphileucus,0.21438663
D. apalachicolae,D. amphileucus,0.16140271
D. auriculatus,D. amphileucus,0.32239013
D. bairdi,D. amphileucus,0.08322905
D. brimleyorum,D. amphileucus,0.18906027
D. campi,D. amphileucus,0.28149171
D. folkertsi,D. amphileucus,0.56034205
D. fuscus,D. amphileucus,0.13072994
D. gvnigeusgwotli,D. amphileucus,0.28546035
D. intermedius,D. amphileucus,0.35080011
D. kanawha,D. amphileucus,0.28882132
D. marmoratus,D. amphileucus,0.12639608
D. mavrokoilius,D. amphileucus,0.40729203
D. monticola,D. amphileucus,0.55278339
D. ochrophaeus,D. amphileucus,0.61187621
D. ocoee,D. amphileucus,0.26271343
D. perlapsus,D. amphileucus,0.27304040
D. tilleyi,D. amphileucus,0.20437276
D. valtos,D. amphileucus,0.29910427
D. welteri,D. amphileucus,0.16956647
D. amphileucus,D. anicetus,0.21438663
D. anicetus,D. anicetus,0.00000000
D. apalachicolae,D. anicetus,0.18615204
D. auriculatus,D. anicetus,0.41409076
D. bairdi,D. anicetus,0.23110250
D. brimleyorum,D. anicetus,0.33334372
D. campi,D. anicetus,0.09514754
D. folkertsi,D. anicetus,0.44686035
D. fuscus,D. anicetus,0.12093114
D. gvnigeusgwotli,D. anicetus,0.39873575
D. intermedius,D. anicetus,0.26915530
D. kanawha,D. anicetus,0.18985437
D. marmoratus,D. anicetus,0.17954485
D. mavrokoilius,D. anicetus,0.20895520
D. monticola,D. anicetus,0.43681877
D. ochrophaeus,D. anicetus,0.72910705
D. ocoee,D. anicetus,0.21701853
D. perlapsus,D. anicetus,0.15244490
D. tilleyi,D. anicetus,0.12979360
D. valtos,D. anicetus,0.50170366
D. welteri,D. anicetus,0.17864670
D. amphileucus,D. apalachicolae,0.16140271
D. anicetus,D. apalachicolae,0.18615204
D. apalachicolae,D. apalachicolae,0.00000000
D. auriculatus,D. apalachicolae,0.24269483
D. bairdi,D. apalachicolae,0.10204654
D. brimleyorum,D. apalachicolae,0.14974249
D. campi,D. apalachicolae,0.25651663
D. folkertsi,D. apalachicolae,0.41036303
D. fuscus,D. apalachicolae,0.08441790
D. gvnigeusgwotli,D. apalachicolae,0.42831796
D. intermedius,D. apalachicolae,0.20302436
D. kanawha,D. apalachicolae,0.15953580
D. marmoratus,D. apalachicolae,0.12161138
D. mavrokoilius,D. apalachicolae,0.38255197
D. monticola,D. apalachicolae,0.40804347
D. ochrophaeus,D. apalachicolae,0.76195827
D. ocoee,D. apalachicolae,0.11560689
D. perlapsus,D. apalachicolae,0.20842372
D. tilleyi,D. apalachicolae,0.07614623
D. valtos,D. apalachicolae,0.31621340
D. welteri,D. apalachicolae,0.07378425
D. amphileucus,D. auriculatus,0.32239013
D. anicetus,D. auriculatus,0.41409076
D. apalachicolae,D. auriculatus,0.24269483
D. auriculatus,D. auriculatus,0.00000000
D. bairdi,D. auriculatus,0.26978102
D. brimleyorum,D. auriculatus,0.14899014
D. campi,D. auriculatus,0.48403670
D. folkertsi,D. auriculatus,0.41740916
D. fuscus,D. auriculatus,0.29601955
D. gvnigeusgwotli,D. auriculatus,0.59841787
D. intermedius,D. auriculatus,0.18884525
D. kanawha,D. auriculatus,0.26403549
D. marmoratus,D. auriculatus,0.31265023
D. mavrokoilius,D. auriculatus,0.61065790
D. monticola,D. auriculatus,0.37601363
D. ochrophaeus,D. auriculatus,0.93411752
D. ocoee,D. auriculatus,0.19768928
D. perlapsus,D. auriculatus,0.43188121
D. tilleyi,D. auriculatus,0.29112711
D. valtos,D. auriculatus,0.11857355
D. welteri,D. auriculatus,0.26183149
D. amphileucus,D. bairdi,0.08322905
D. anicetus,D. bairdi,0.23110250
D. apalachicolae,D. bairdi,0.10204654
D. auriculatus,D. bairdi,0.26978102
D. bairdi,D. bairdi,0.00000000
D. brimleyorum,D. bairdi,0.15071312
D. campi,D. bairdi,0.30251689
D. folkertsi,D. bairdi,0.50530138
D. fuscus,D. bairdi,0.12759657
D. gvnigeusgwotli,D. bairdi,0.33463085
D. intermedius,D. bairdi,0.29598963
D. kanawha,D. bairdi,0.23681045
D. marmoratus,D. bairdi,0.15723183
D. mavrokoilius,D. bairdi,0.42993978
D. monticola,D. bairdi,0.49897961
D. ochrophaeus,D. bairdi,0.66698029
D. ocoee,D. bairdi,0.20713865
D. perlapsus,D. bairdi,0.25671025
D. tilleyi,D. bairdi,0.15070411
D. valtos,D. bairdi,0.27321248
D. welteri,D. bairdi,0.14184345
D. amphileucus,D. brimleyorum,0.18906027
D. anicetus,D. brimleyorum,0.33334372
D. apalachicolae,D. brimleyorum,0.14974249
D. auriculatus,D. brimleyorum,0.14899014
D. bairdi,D. brimleyorum,0.15071312
D. brimleyorum,D. brimleyorum,0.00000000
D. campi,D. brimleyorum,0.40374481
D. folkertsi,D. brimleyorum,0.38984414
D. fuscus,D. brimleyorum,0.21599074
D. gvnigeusgwotli,D. brimleyorum,0.46140941
D. intermedius,D. brimleyorum,0.21202810
D. kanawha,D. brimleyorum,0.24740981
D. marmoratus,D. brimleyorum,0.19745073
D. mavrokoilius,D. brimleyorum,0.52991486
D. monticola,D. brimleyorum,0.41017699
D. ochrophaeus,D. brimleyorum,0.79712952
D. ocoee,D. brimleyorum,0.12213594
D. perlapsus,D. brimleyorum,0.35130572
D. tilleyi,D. brimleyorum,0.21132056
D. valtos,D. brimleyorum,0.16853206
D. welteri,D. brimleyorum,0.16574654
D. amphileucus,D. campi,0.28149171
D. anicetus,D. campi,0.09514754
D. apalachicolae,D. campi,0.25651663
D. auriculatus,D. campi,0.48403670
D. bairdi,D. campi,0.30251689
D. brimleyorum,D. campi,0.40374481
D. campi,D. campi,0.00000000
D. folkertsi,D. campi,0.51490321
D. fuscus,D. campi,0.18930472
D. gvnigeusgwotli,D. campi,0.32894142
D. intermedius,D. campi,0.34075647
D. kanawha,D. campi,0.26305068
D. marmoratus,D. campi,0.25185756
D. mavrokoilius,D. campi,0.13314426
D. monticola,D. campi,0.50680869
D. ochrophaeus,D. campi,0.65777791
D. ocoee,D. campi,0.28823931
D. perlapsus,D. campi,0.22023628
D. tilleyi,D. campi,0.20553744
D. valtos,D. campi,0.57133502
D. welteri,D. campi,0.25341641
D. amphileucus,D. folkertsi,0.56034205
D. anicetus,D. folkertsi,0.44686035
D. apalachicolae,D. folkertsi,0.41036303
D. auriculatus,D. folkertsi,0.41740916
D. bairdi,D. folkertsi,0.50530138
D. brimleyorum,D. folkertsi,0.38984414
D. campi,D. folkertsi,0.51490321
D. folkertsi,D. folkertsi,0.00000000
D. fuscus,D. folkertsi,0.44413712
D. gvnigeusgwotli,D. folkertsi,0.83640457
D. intermedius,D. folkertsi,0.29041829
D. kanawha,D. folkertsi,0.31335792
D. marmoratus,D. folkertsi,0.46618767
D. mavrokoilius,D. folkertsi,0.60362130
D. monticola,D. folkertsi,0.10991788
D. ochrophaeus,D. folkertsi,1.17212643
D. ocoee,D. folkertsi,0.29924703
D. perlapsus,D. folkertsi,0.29773961
D. tilleyi,D. folkertsi,0.36221954
D. valtos,D. folkertsi,0.50514377
D. welteri,D. folkertsi,0.39086475
D. amphileucus,D. fuscus,0.13072994
D. anicetus,D. fuscus,0.12093114
D. apalachicolae,D. fuscus,0.08441790
D. auriculatus,D. fuscus,0.29601955
D. bairdi,D. fuscus,0.12759657
D. brimleyorum,D. fuscus,0.21599074
