Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP0758,,carolinensis,carolinensis,North Carolina,Mitchell,36.1109695,-82.3589843,37.56,4.49,18.75,5.21,3.36,2.06,9.08,3.66,1.84,1.65,5.75,2.02,1.86,2.35,1.68,1.96,3.07
RAP0759,,carolinensis,carolinensis,North Carolina,Mitchell,36.1109695,-82.3589843,43.96,27.10,23.42,6.01,2.87,2.96,10.26,5.18,2.85,1.72,6.46,2.35,2.51,2.63,1.60,2.10,3.43
RAP0768,,carolinensis,carolinensis,North Carolina,Mitchell,36.082145,-82.2792714,34.80,27.47,18.58,4.83,3.07,2.58,7.57,3.61,1.94,1.21,5.34,1.94,2.02,2.19,1.52,1.47,2.71
RAP0769,,carolinensis,carolinensis,North Carolina,Mitchell,36.136275,-82.2394658,16.80,7.43,8.33,2.51,1.40,1.64,3.96,1.49,1.03,0.63,2.88,1.41,1.02,1.17,0.70,0.86,1.45
RAP0770,,carolinensis,carolinensis,North Carolina,Mitchell,36.136275,-82.2394658,45.76,23.71,24.14,6.83,3.46,3.17,10.44,4.85,2.98,1.79,6.89,2.33,2.49,2.76,1.86,2.16,3.51
RAP0774,,carolinensis,carolinensis,North Carolina,Mitchell,36.136275,-82.2394658,42.47,30.92,21.89,6.20,2.20,1.61,9.63,4.68,2.76,1.27,6.65,2.45,2.48,2.53,1.33,1.70,3.10
RAP0783,,carolinensis,carolinensis,North Carolina,Burke,35.9488909,-81.9334562,36.45,26.13,19.52,4.92,2.47,2.78,8.81,3.32,2.44,1.57,5.50,2.08,1.98,2.53,1.60,1.63,2.93
RAP0784,,carolinensis,carolinensis,North Carolina,Burke,35.8174325,-81.9388853,41.36,28.10,22.28,6.27,3.21,2.68,9.50,4.37,2.43,1.22,6.34,2.30,2.29,2.79,1.66,1.98,3.09
RAP0785,,carolinensis,carolinensis,North Carolina,Burke,35.8174325,-81.9388853,42.65,22.66,23.24,5.88,3.96,2.94,9.57,4.41,2.36,1.63,6.28,2.12,2.21,2.80,1.96,1.96,3.08
RAP0786,,carolinensis,carolinensis,North Carolina,Burke,35.8174325,-81.9388853,20.38,11.23,10.38,2.85,1.82,1.17,5.06,1.94,1.04,0.47,3.45,1.41,1.20,1.29,0.81,0.88,1.69
RAP0795,,carolinensis,carolinensis,North Carolina,McDowell,35.7268532,-82.1864388,36.03,26.26,18.98,4.91,3.02,2.37,8.21,3.41,2.22,1.33,5.41,2.12,1.88,2.14,1.41,1.63,2.52
RAP0796,,carolinensis,carolinensis,North Carolina,McDowell,35.7268532,-82.1864388,29.40,18.62,14.64,4.22,2.08,1.95,6.30,2.62,1.74,0.90,4.82,1.82,1.68,1.90,1.20,1.13,2.42
RAP0802,,carolinensis,carolinensis,North Carolina,McDowell,35.6310592,-82.2609134,20.03,12.21,10.45,2.82,1.45,1.41,5.47,1.73,1.08,0.59,3.56,1.44,1.30,1.52,0.89,1.03,1.87
RAP0803,,carolinensis,carolinensis,North Carolina,McDowell,35.6310592,-82.2609134,34.42,32.02,17.92,4.79,2.85,2.65,8.03,3.19,2.30,1.22,5.15,1.99,1.72,1.93,1.31,1.36,2.51
RAP0810,,carolinensis,carolinensis,North Carolina,Buncombe,35.7232987,-82.4052189,21.34,13.28,11.53,2.73,1.68,1.66,5.19,1.76,1.16,0.70,3.52,1.56,1.21,1.28,0.80,0.99,1.61
RAP0811,,carolinensis,carolinensis,North Carolina,Buncombe,35.7232987,-82.4052189,46.10,28.36,24.75,6.83,4.45,3.43,10.23,5.32,3.07,2.18,7.07,2.41,2.40,1.95,1.04,2.12,3.17
RAP0812,,carolinensis,carolinensis,North Carolina,Buncombe,35.7232987,-82.4052189,38.98,35.54,21.17,5.25,3.12,2.83,9.19,3.81,2.77,1.59,5.69,2.34,2.02,2.31,1.45,1.84,2.83
RAP0813,MNHN-RA 2021.0126,carolinensis,carolinensis,North Carolina,Buncombe,35.7515827,-82.3347442,35.87,27.04,18.86,4.81,2.94,2.72,8.92,3.74,1.99,1.72,5.84,2.39,2.16,2.21,1.42,1.89,2.85
RAP0814,,carolinensis,carolinensis,North Carolina,Buncombe,35.7515827,-82.3347442,33.37,7.05,17.48,4.17,3.12,2.14,8.32,3.09,2.44,1.40,5.27,2.23,2.02,2.06,1.23,1.51,2.52
RAP0815,,carolinensis,carolinensis,North Carolina,Buncombe,35.7536468,-82.3350345,46.74,32.61,26.27,6.67,3.72,2.94,10.03,5.39,3.40,2.31,7.21,2.63,2.45,2.38,1.49,2.24,3.16
RAP0816,,carolinensis,carolinensis,North Carolina,Buncombe,35.7536468,-82.3350345,35.00,24.66,17.56,4.36,2.66,2.54,8.21,3.19,2.64,1.84,5.49,1.98,1.80,1.79,1.06,1.70,2.76
RAP0817,BMNH 2021.756,carolinensis,carolinensis,North Carolina,Buncombe,35.7567295,-82.3360719,42.54,36.88,21.81,6.28,3.42,2.82,9.91,4.79,2.15,1.98,6.55,2.45,2.36,3.00,1.96,1.76,3.33
RAP0818,,carolinensis,carolinensis,North Carolina,Buncombe,35.7567295,-82.3360719,45.45,29.79,24.97,6.25,3.95,2.83,9.77,4.77,3.11,2.08,6.79,2.38,2.52,2.35,1.42,1.82,3.22
RAP0819,,carolinensis,carolinensis,North Carolina,Buncombe,35.7683872,-82.3375773,34.53,25.88,18.15,4.70,2.53,1.32,8.14,3.68,1.86,0.95,5.39,2.22,1.86,1.86,1.25,1.74,2.74
RAP0820,,carolinensis,carolinensis,North Carolina,Buncombe,35.7683872,-82.3375773,48.94,41.09,26.21,7.48,2.93,3.32,11.47,5.84,3.39,1.17,7.66,2.51,2.72,3.29,1.94,2.29,3.92
RAP0821,,carolinensis,carolinensis,North Carolina,Buncombe,35.7123539,-82.2454018,43.19,40.90,24.01,5.55,4.10,3.22,9.51,4.14,2.87,1.75,6.06,2.10,2.00,2.77,1.79,2.17,3.31
RAP0822,,carolinensis,carolinensis,North Carolina,Buncombe,35.7123539,-82.2454018,42.46,37.45,22.41,5.85,3.29,2.92,10.00,4.47,3.25,2.10,6.68,2.45,2.51,2.64,1.83,1.89,3.37
RAP0823,,carolinensis,carolinensis,North Carolina,Buncombe,35.7123539,-82.2454018,42.10,36.37,22.12,5.91,3.65,1.79,9.73,4.41,2.59,1.63,6.47,2.45,2.43,2.78,1.65,2.12,3.42
RAP1881,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,21.39,19.43,11.37,2.88,2.22,1.89,4.97,2.02,1.40,0.77,3.65,1.43,1.43,1.32,0.72,1.05,1.80
RAP1882,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,33.59,20.67,17.96,4.66,3.25,2.52,7.08,3.63,2.30,1.43,5.09,1.86,1.81,1.54,1.05,1.28,2.09
RAP1883,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,38.29,35.00,21.20,5.65,3.56,2.78,8.28,4.12,2.62,1.59,5.87,1.78,2.15,2.26,1.32,1.74,3.01
RAP1884,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,43.63,39.63,23.38,5.97,3.94,3.09,9.66,4.32,2.71,1.31,6.69,2.22,2.70,2.90,1.89,2.03,3.44
RAP1885,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,37.51,39.29,19.49,5.50,3.34,2.84,8.56,3.97,2.27,1.19,5.96,2.13,2.41,2.52,1.29,1.96,3.05
RAP1886,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,40.73,42.26,22.09,5.80,3.46,2.75,9.14,4.22,1.92,1.21,6.05,2.26,2.42,2.47,1.36,1.55,2.82
RAP1887,,carolinensis,carolinensis,North Carolina,Buncombe,35.673048,-82.467036,49.43,39.93,26.35,7.03,4.95,3.96,10.15,4.69,2.60,1.77,7.24,2.29,2.64,2.63,1.49,1.98,3.07
RAP1889,,carolinensis,carolinensis,North Carolina,Buncombe,35.770847,-82.36237,24.04,21.41,12.20,3.37,2.19,2.04,6.28,2.06,1.46,0.87,4.11,1.65,1.41,1.54,1.05,0.92,1.91
RAP1890,,carolinensis,carolinensis,North Carolina,Buncombe,35.770847,-82.36237,26.07,23.71,13.68,3.32,2.38,2.27,6.42,2.48,1.55,0.98,4.19,1.72,1.67,1.59,0.99,1.15,2.07
RAP1891,,carolinensis,carolinensis,North Carolina,Buncombe,35.770847,-82.36237,28.53,22.86,15.27,3.88,2.54,2.43,6.94,2.61,1.82,1.01,4.58,1.93,1.68,1.83,1.09,1.24,2.38
RAP1892,,carolinensis,carolinensis,North Carolina,Buncombe,35.770847,-82.36237,30.18,34.99,15.81,4.43,3.17,2.27,7.13,2.97,2.11,1.25,5.23,1.95,1.92,1.72,1.23,1.38,2.35
RAP1900,,carolinensis,carolinensis,North Carolina,Buncombe,35.8036,-82.35425,39.44,36.39,21.19,5.17,3.86,3.10,8.67,3.48,2.47,1.44,5.95,2.22,2.11,1.97,1.38,1.49,2.79
RAP2541,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,24.93,27.72,12.53,3.33,1.83,2.38,5.74,2.47,1.62,0.77,4.03,1.68,1.43,1.77,1.07,1.17,2.19
RAP2542,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,27.50,32.44,14.56,3.82,2.11,2.32,6.34,2.86,1.70,0.93,4.34,1.63,1.70,1.94,1.08,1.28,2.42
RAP2543,,carolinensis,carolinensis,North Carolina,Caldwell,36.05656,-81.52494,29.31,35.32,16.01,4.04,2.43,2.33,6.64,2.72,1.67,1.03,4.26,1.65,1.60,1.76,1.03,1.19,2.46
