species,te_resource_panel34_v1,cell_linked_panel21_v1,integrated_path_panel18_v1,decision_basis
abditus,True,False,False,active WGS resource; no current linked-cell record
adatsihi,True,False,False,active WGS resource; no current linked-cell record
aeneus,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy
amphileucus,True,True,True,active WGS and current linked-cell record
anicetus,True,True,True,active WGS and current linked-cell record
apalachicolae,True,True,True,active WGS and current linked-cell record
aureatus,True,False,False,active WGS resource; no current linked-cell record
auriculatus,True,True,True,active WGS and current linked-cell record
bairdi,True,True,True,active WGS and current linked-cell record
balsameus,True,False,False,active WGS resource; no current linked-cell record
brimleyorum,False,True,False,current linked-cell record; absent from active WGS lookup
campi,True,True,True,active WGS and current linked-cell record
carolinensis,True,False,False,active WGS resource; no current linked-cell record
catahoula,True,False,False,active WGS resource; no current linked-cell record
cheaha,True,False,False,active WGS resource; no current linked-cell record
conanti,True,False,False,active WGS resource; no current linked-cell record
folkertsi,False,True,False,current linked-cell record; genomic resource excluded as untrusted
fuscus,True,True,True,active reidentified SRX20497025 resource and current linked-cell record
gvnigeusgwotli,True,True,True,active WGS and current linked-cell record
intermedius,True,True,True,active WGS and current linked-cell record
kanawha,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent
lycos,True,False,False,active WGS resource; no current linked-cell record
marmoratus,True,True,True,active WGS and current linked-cell record
mavrokoilius,True,True,True,active WGS and current linked-cell record
monticola,True,True,True,active WGS and current linked-cell record
ochrophaeus,False,True,False,current linked-cell record; genomic resource excluded as untrusted
ocoee,True,True,True,active WGS and current linked-cell record
orestes,True,False,False,active WGS resource; no current linked-cell record
organi,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy
pascagoula,True,False,False,active WGS resource; no current linked-cell record
perlapsus,True,True,True,active WGS and current linked-cell record
santeetlah,True,False,False,active WGS resource; no current linked-cell record
tilleyi,True,True,True,active WGS and current linked-cell record
valentinei,True,False,False,active WGS resource; no current linked-cell record
valtos,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent
welteri,True,True,True,active WGS and current linked-cell record
wrighti,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy
