current_species,search_name_primary,search_name_legacy,species_complex,primary_revision_doi,mapping_status,notes
abditus,Desmognathus abditus,,,,,
adatsihi,Desmognathus adatsihi,,,,,
aeneus,Desmognathus aeneus,,,,,
amphileucus,Desmognathus amphileucus,,,,,
anicetus,Desmognathus anicetus,,,,,
apalachicolae,Desmognathus apalachicolae,,,,,
aureatus,Desmognathus aureatus,,,,,
auriculatus,Desmognathus auriculatus,,,,,
bairdi,Desmognathus bairdi,,,,,
balsameus,Desmognathus balsameus,,,,,
brimleyorum,Desmognathus brimleyorum,,,,,
campi,Desmognathus campi,,,,,
carolinensis,Desmognathus carolinensis,,,,,
catahoula,Desmognathus catahoula,,,,,
cheaha,Desmognathus cheaha,,,,,
conanti,Desmognathus conanti,,,,,
folkertsi,Desmognathus folkertsi,,,,,
fuscus,Desmognathus fuscus,Desmognathus planiceps (SRX20497025 / GCA_032353935.1 only),fuscus_complex,10.11646/zootaxa.5311.4.1,resource_specific_exception,"Alex Pyron identifies only SRX20497025 / GCA_032353935.1 as actual D. fuscus despite its public D. planiceps label; this is not a general synonymy. Genomic and microscopy specimens are independent evidence streams."
gvnigeusgwotli,Desmognathus gvnigeusgwotli,,,,,
imitator,Desmognathus imitator,,,,,
intermedius,Desmognathus intermedius,,,,,
kanawha,Desmognathus kanawha,,,,,
lycos,Desmognathus lycos,,,,,
marmoratus,Desmognathus marmoratus,,,,,
mavrokoilius,Desmognathus mavrokoilius,,,,,
monticola,Desmognathus monticola,,,,,
ochrophaeus,Desmognathus ochrophaeus,,,,,
ocoee,Desmognathus ocoee,,,,,
orestes,Desmognathus orestes,,,,,
organi,Desmognathus organi,,,,,
pascagoula,Desmognathus pascagoula,,,,,
perlapsus,Desmognathus perlapsus,,,,,
santeetlah,Desmognathus santeetlah,,,,,
tilleyi,Desmognathus tilleyi,,,,,
valentinei,Desmognathus valentinei,,,,,
valtos,Desmognathus valtos,,,,,
welteri,Desmognathus welteri,,,,,
wrighti,Desmognathus wrighti,,,,,
