family,n_species,n_models,n_global_fit_pass,n_finite_cicc,n_competitive_supported_delta_le_2,stored_top_model,stored_top_fisher_c_p,stored_top_cicc,stored_top_weight,stored_top_global_fit_pass,ranking_all_finite,weights_sum,weights_valid,best_supported_model,release_status,winner_claim_allowed_by_ranking_gate,model_averaging_allowed_by_ranking_gate,publication_claim_allowed,publication_blocker,alpha,competitive_delta_cicc
genome_morphology,21,4,1,4,1,mediated_cell_size,0.8601885542011567,14.301207329390072,0.9736758831187626,True,True,1.0,True,mediated_cell_size,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_organismal_primary_mediumplus,16,5,2,5,0,ectopic_baseline,0.0495808713308247,50.23606415516363,0.9344654618310576,False,True,0.9999999999999999,True,te_body_size_baseline,blocked_top_model_rejected,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_organismal_primary_phylofill,16,5,2,5,0,ectopic_baseline,0.0495808713308247,50.23606415516363,0.9344654618310576,False,True,0.9999999999999999,True,te_body_size_baseline,blocked_top_model_rejected,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_organismal_primary_strict_body,8,5,5,1,0,ectopic_baseline,0.2453001309463718,117.7059916766361,,True,False,,False,ectopic_baseline,blocked_nonfinite_ranking,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_primary_mediumplus,16,4,0,4,0,ectopic_only,0.0022365013269179,43.416938156731554,0.8995611180659286,False,True,0.9999999999999999,True,,blocked_no_globally_supported_model,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_primary_phylofill,16,4,0,4,0,ectopic_only,0.0022365013269179,43.416938156731554,0.8995611180659286,False,True,0.9999999999999999,True,,blocked_no_globally_supported_model,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ectopic_primary_strict_body,8,4,4,2,0,ectopic_only,0.3602352303690201,50.965205675872205,,True,False,,False,ectopic_only,blocked_nonfinite_ranking,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ltr_history_primary_mediumplus,15,5,4,5,1,te_baseline,0.4255119149389978,30.581891313622528,0.8932194616437613,True,True,0.9999999999999999,True,te_baseline,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_ltr_history_primary_strict_body,8,5,5,2,1,history_direct,0.1553258027929541,54.40454335309907,0.9999999999844732,True,False,0.9999999999999998,False,history_direct,blocked_nonfinite_ranking,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_morphology,18,4,1,4,1,te_evenness_path,0.6958886374213333,49.58226114419386,0.9918001203701384,True,True,0.9999999999999999,True,te_evenness_path,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_morphology_primary_mediumplus,18,4,1,4,1,te_evenness_path,0.7000440796878438,49.53376146977657,0.985982965992534,True,True,0.9999999999999999,True,te_evenness_path,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_morphology_primary_phylofill,18,4,1,4,1,te_evenness_path,0.7000440796878438,49.53376146977657,0.985982965992534,True,True,0.9999999999999999,True,te_evenness_path,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_morphology_primary_strict_body,9,4,4,0,0,te_direct_to_genome_nucleus,0.6739490577225108,inf,,True,False,,False,,blocked_nonfinite_ranking,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_organismal_primary_mediumplus,18,5,5,5,1,te_baseline,0.6332260732425595,38.73615376214973,0.950344041245945,True,True,0.9999999999999999,True,te_baseline,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_organismal_primary_phylofill,18,5,5,5,1,te_baseline,0.6332260732425595,38.73615376214973,0.950344041245945,True,True,0.9999999999999999,True,te_baseline,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_organismal_primary_strict_body,9,5,5,1,0,te_baseline,0.2861846259170143,144.66929846058196,,True,False,,False,te_baseline,blocked_nonfinite_ranking,False,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_primary_mediumplus,18,5,1,5,1,mediated_evenness,0.0896064499938321,19.824655950107708,0.9991513368156716,True,True,0.9999999999999999,True,mediated_evenness,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_primary_phylofill,18,5,1,5,1,mediated_evenness,0.0896064499938321,19.824655950107708,0.9991513368156716,True,True,0.9999999999999999,True,mediated_evenness,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
te_genome_primary_strict_body,9,5,5,5,1,genome_null,0.1673961081999504,19.911641364793013,0.8025840926299478,True,True,0.9999999999999999,True,genome_null,supported_unique_top_model,True,False,False,historical_pre_audit_inputs_require_corrected_rerun,0.05,2.0
