species,metric,historical_value,corrected_value,delta,absolute_delta,historical_rank,corrected_rank,rank_shift
amphileucus,dirs_deletions_p90,0.47,0.46,-0.009999999999999953,0.009999999999999953,14.0,14.5,0.5
anicetus,dirs_deletions_p90,0.48,0.46,-0.019999999999999962,0.019999999999999962,17.0,14.5,-2.5
apalachicolae,dirs_deletions_p90,0.475,0.475,0.0,0.0,15.0,18.0,3.0
auriculatus,dirs_deletions_p90,0.4,0.395,-0.0050000000000000044,0.0050000000000000044,4.0,4.0,0.0
bairdi,dirs_deletions_p90,0.4,0.39,-0.010000000000000009,0.010000000000000009,4.0,3.0,-1.0
campi,dirs_deletions_p90,0.38,0.38,0.0,0.0,2.0,2.0,0.0
fuscus,dirs_deletions_p90,0.4,0.4,0.0,0.0,4.0,5.0,1.0
gvnigeusgwotli,dirs_deletions_p90,0.46,0.45,-0.010000000000000009,0.010000000000000009,12.5,12.5,0.0
intermedius,dirs_deletions_p90,0.43,0.43,0.0,0.0,8.5,9.5,1.0
kanawha,dirs_deletions_p90,0.42,0.41,-0.010000000000000009,0.010000000000000009,6.0,6.0,0.0
marmoratus,dirs_deletions_p90,0.48,0.47,-0.010000000000000009,0.010000000000000009,17.0,16.5,-0.5
mavrokoilius,dirs_deletions_p90,0.48,0.47,-0.010000000000000009,0.010000000000000009,17.0,16.5,-0.5
monticola,dirs_deletions_p90,0.43,0.42,-0.010000000000000009,0.010000000000000009,8.5,8.0,-0.5
ocoee,dirs_deletions_p90,0.36,0.36,0.0,0.0,1.0,1.0,0.0
perlapsus,dirs_deletions_p90,0.44,0.44,0.0,0.0,11.0,11.0,0.0
tilleyi,dirs_deletions_p90,0.46,0.45,-0.010000000000000009,0.010000000000000009,12.5,12.5,0.0
valtos,dirs_deletions_p90,0.43,0.415,-0.015000000000000013,0.015000000000000013,8.5,7.0,-1.5
welteri,dirs_deletions_p90,0.43,0.43,0.0,0.0,8.5,9.5,1.0
amphileucus,dirs_divergence_p90,15.17,15.12,-0.05000000000000071,0.05000000000000071,16.0,16.0,0.0
anicetus,dirs_divergence_p90,14.66,14.58,-0.08000000000000007,0.08000000000000007,5.5,6.5,1.0
apalachicolae,dirs_divergence_p90,15.5,15.425,-0.07499999999999929,0.07499999999999929,18.0,18.0,0.0
auriculatus,dirs_divergence_p90,14.96,14.91,-0.05000000000000071,0.05000000000000071,15.0,15.0,0.0
bairdi,dirs_divergence_p90,14.895,14.86,-0.03500000000000014,0.03500000000000014,12.0,13.0,1.0
campi,dirs_divergence_p90,14.49,14.34,-0.15000000000000036,0.15000000000000036,3.0,2.0,-1.0
fuscus,dirs_divergence_p90,14.67,14.58,-0.08999999999999986,0.08999999999999986,7.0,6.5,-0.5
gvnigeusgwotli,dirs_divergence_p90,14.81,14.665,-0.14500000000000135,0.14500000000000135,9.5,9.0,-0.5
