metric,n_species,spearman_rho,median_absolute_delta,max_absolute_delta,max_absolute_rank_shift
dirs_deletions_p90,18,0.9765312631355444,0.009999999999999981,0.019999999999999962,3.0
dirs_divergence_p90,18,0.9896642148461003,0.07750000000000057,0.15000000000000036,2.0
line_deletions_p90,18,0.9958572024135187,0.0,0.010000000000000009,1.0
line_divergence_p90,18,0.9974188216132501,0.049999999999998934,0.07000000000000028,1.0
ltr_deletions_p90,18,0.9989642669411449,0.0,0.010000000000000009,0.5
ltr_divergence_p90,18,0.9984488107549121,0.009999999999999787,0.02999999999999936,1.0
sine_deletions_p90,18,0.9452479338842976,0.05999999999999994,0.20999999999999996,3.5
sine_divergence_p90,18,0.972107438016529,0.3075000000000001,0.4900000000000002,2.5
tir_deletions_p90,18,0.9927187199127038,0.004999999999999893,0.020000000000000018,1.5
tir_divergence_p90,18,0.9979329498004282,0.010000000000001563,0.05000000000000071,1.0
weighted_te_deletions_p90,18,1.0,0.0010738612554171967,0.005647565434414581,0.0
weighted_te_divergence_p90,18,0.9979360165118679,0.006316449197075968,0.022584167163216762,1.0
weighted_te_insertions_p90,18,1.0,0.0011656354175667016,0.0049526740675902015,0.0
