species_key,species,has_tree_tip,has_te,has_genome,has_morphology,genome_size_pg,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,genome_result_status,genome_support_tier,genome_support_warnings,high_iod_qc_shift_pct,image_qc_shift_pct,n_image_qc_fail,n_image_qc_limited,n_image_qc_pass,pair_rows,pair_images,median_nuc_iod,median_nuc_mean_od,median_iod_quality,median_pair_quality,qc_pass_rows,linked_n_selected_manual_total,linked_n_selected_auto,estimated_genome_pg_source,genome_primary_missing,genome_primary_n_selected_pairs,genome_primary_n_selected_images,genome_primary_support_label,display_species
amphileucus,amphileucus,True,True,True,True,14.292299,297.7488,41.7888,0.1392439999999999,sensitivity_limited,limited,low_image_count; low_specimen_count,-16.027088,-18.290185,1,0,1,50,2,983.745437,0.3334042912357867,0.5704690245869033,0.8610675000000001,38,27,23,image_qc_pass,False,38.0,1.0,limited,D. amphileucus
anicetus,anicetus,True,True,True,True,13.069896,232.8768,39.312,0.171142,sensitivity_limited,limited,low_image_count; low_specimen_count,-12.658673,-12.400463,0,0,1,50,1,870.9324555000001,0.31851150919975435,0.5324425353488372,0.8070645,50,38,12,image_qc_pass,False,50.0,1.0,limited,D. anicetus
apalachicolae,apalachicolae,True,True,True,True,12.687106,267.84,39.4704,0.1466305,sensitivity_limited,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,-12.026825,-16.937277,1,0,1,50,2,918.9739500000001,0.32387375211314406,0.5311196025127334,0.851491,19,26,24,image_qc_pass,False,19.0,1.0,low,D. apalachicolae
auriculatus,auriculatus,True,True,True,True,14.527962,277.1136,47.2032,0.1669835,sensitivity_limited,limited,low_image_count; low_specimen_count,-20.80472,-22.352404,0,1,1,50,2,970.6155495,0.28935546860898187,0.5159395443217054,0.790808,48,26,24,image_qc_pass,False,48.0,1.0,limited,D. auriculatus
bairdi,bairdi,True,True,True,True,16.285622,286.3152,42.6384,0.1465485,sensitivity_limited,limited,low_image_count; low_specimen_count,-9.250417,-12.400463,0,0,1,50,1,1084.8762555,0.3665702092838743,0.5651813702325581,0.8295325,50,27,23,image_qc_pass,False,50.0,1.0,limited,D. bairdi
brimleyorum,brimleyorum,True,False,True,True,15.080389,292.9968,42.1344,0.142763,sensitivity_limited,limited,low_image_count; low_specimen_count,-8.11474,-11.442656,1,0,1,50,2,998.5079465,0.3408425863647035,0.5096745674224806,0.7741165,35,43,7,image_qc_pass,False,35.0,1.0,limited,D. brimleyorum
campi,campi,True,True,True,True,12.794174,237.3984,37.1232,0.1622545,minor_caution,medium,,-14.41631,-12.400463,0,0,2,50,2,853.3509845,0.3162757946190473,0.5339554280481728,0.8146675,50,32,18,image_qc_pass,False,50.0,2.0,medium,D. campi
folkertsi,folkertsi,True,False,True,True,15.732414,235.6416,42.2208,0.186658,minor_caution,medium,auto_dominant,,,2,0,0,50,2,919.5077914999999,0.3061873583096219,0.560820228995341,0.7563964999999999,0,23,27,all_selected_fallback,True,,,,D. folkertsi
fuscus,fuscus,True,True,True,True,16.36,257.2272,44.2512,0.176701,sensitivity_limited,limited,low_pair_count; low_image_count; low_specimen_count,0.0,0.0,1,2,1,50,4,1050.2639,0.32769589248781844,0.5441901135566228,0.8794465,23,25,25,image_qc_pass,False,23.0,1.0,limited,D. fuscus
gvnigeusgwotli,gvnigeusgwotli,True,True,True,True,13.709404,253.9296,41.2848,0.161044,sensitivity_limited,limited,low_image_count; low_specimen_count,-10.100834,-12.400463,0,0,1,50,1,908.7007395,0.31610554739222807,0.5358049801744186,0.8169725,50,25,25,image_qc_pass,False,50.0,1.0,limited,D. gvnigeusgwotli
intermedius,intermedius,True,True,True,True,16.285297,275.256,42.9408,0.155247,minor_caution,medium,auto_dominant,-12.387566,-12.400463,0,0,2,50,2,1079.4189225,0.3567088663422736,0.5667655431740816,0.8298935000000001,50,20,30,image_qc_pass,False,50.0,2.0,medium,D. intermedius
kanawha,kanawha,True,True,True,True,13.250501,257.0256,40.5504,0.1615,sensitivity_limited,limited,low_image_count; low_specimen_count; auto_dominant,-17.623637,-19.01494,0,1,1,50,2,902.1170910000001,0.32152027244147524,0.5125263531201552,0.7987195,45,13,37,image_qc_pass,False,45.0,1.0,limited,D. kanawha
marmoratus,marmoratus,True,True,True,True,15.868875,261.6048,44.5248,0.1703245,sensitivity_limited,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,-9.94794,-11.30542,1,0,1,50,2,1042.956384,0.33447593879351767,0.5164599694767442,0.8328949999999999,20,11,39,image_qc_pass,False,20.0,1.0,limited,D. marmoratus
mavrokoilius,mavrokoilius,True,True,True,True,13.016767,249.6816,40.2624,0.151946,minor_caution,medium,auto_dominant,-11.39525,-12.400463,0,0,2,50,2,848.1438305,0.31938228209063674,0.5244618151744187,0.832041,50,6,44,image_qc_pass,False,50.0,2.0,medium,D. mavrokoilius
monticola,monticola,True,True,True,True,14.1026,238.2624,39.6,0.1572345,sensitivity_limited,limited,low_image_count; low_specimen_count; auto_dominant,-9.69156,-12.962366,0,1,1,50,2,942.149772,0.3419439393963088,0.5980815922093023,0.670763,40,13,37,image_qc_pass,False,40.0,1.0,limited,D. monticola
