species,project_scientific_name,direct_svl_text,direct_adult_svl_min_mm,direct_adult_svl_max_mm,female_adult_svl_min_mm,female_adult_svl_max_mm,male_adult_svl_min_mm,male_adult_svl_max_mm,12
abditus,Desmognathus abditus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=abditus
adatsihi,Desmognathus adatsihi,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=adatsihi
aeneus,Desmognathus aeneus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=aeneus
amphileucus,Desmognathus amphileucas,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=amphileucas
anicetus,Desmognathus anicetus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=anicetus
apalachicolae,Desmognathus apalachicolae,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=apalachicolae
aureatus,Desmognathus aureatus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=aureatus
auriculatus,Desmognathus auriculatus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=auriculatus
bairdi,Desmognathus bairdi,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=bairdi
balsameus,Desmognathus balsameus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=balsameus
campi,Desmognathus campi,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=campi
carolinensis,Desmognathus carolinensis,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=carolinensis
catahoula,Desmognathus catahoula,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=catahoula
cheaha,Desmognathus cheaha,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=cheaha
conanti,Desmognathus conanti,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=conanti
fuscus,Desmognathus fuscus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=fuscus
gvnigeusgwotli,Desmognathus gvnigeusgwotli,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=gvnigeusgwotli
intermedius,Desmognathus intermedius,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=intermedius
kanawha,Desmognathus kanawha,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=kanawha
lycos,Desmognathus lycos,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=lycos
marmoratus,Desmognathus marmoratus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=marmoratus
mavrokoilius,Desmognathus mavrokoilius,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=mavrokoilius
monticola,Desmognathus monticola,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=monticola
ocoee,Desmognathus ocoee,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=ocoee
orestes,Desmognathus orestes,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=orestes
organi,Desmognathus organi,40–60,40,60,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=organi
pascagoula,Desmognathus pascagoula,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=pascagoula
perlapsus,Desmognathus perlapsus,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=perlapsus
santeetlah,Desmognathus santeetlah,F max 45; M max 55,,55,,45,,55,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=santeetlah
tilleyi,Desmognathus tilleyi,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=tilleyi
valentinei,Desmognathus valentinei,M 42–72; F 42–62,42,72,42,62,42,72,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=valentinei
valtos,Desmognathus valtos,,,,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=valtos
welteri,Desmognathus welteri,50–95,50,95,,,,,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=welteri
wrighti,Desmognathus wrighti,17–20,17,20,17,20,17,20,https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=wrighti
