"species","project_scientific_name","amphibiaweb_taxon","taxonomy_match","account_result","amphibiaweb_svl_reported","analysis_ready_direct_svl","direct_svl_text","direct_adult_svl_min_mm","direct_adult_svl_max_mm","female_adult_svl_min_mm","female_adult_svl_max_mm","male_adult_svl_min_mm","male_adult_svl_max_mm","sex_or_statistic","analysis_status","evidence_or_interpretation","amphibiaweb_url","account_access_basis","access_date"
"abditus","Desmognathus abditus","Desmognathus abditus","exact","narrative_no_svl",false,false,"","","","","","","","","missing","Raffaelli narrative present; no SVL or body-length measurement","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=abditus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"adatsihi","Desmognathus adatsihi","Desmognathus adatsihi","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=adatsihi","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"aeneus","Desmognathus aeneus","Desmognathus aeneus","exact","length_only_not_svl",false,false,"","","","","","","","adult range","exclude as SVL","Adults reported as 38–57 mm from snout to tail tip: explicitly total length","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=aeneus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"amphileucus","Desmognathus amphileucus","Desmognathus amphileucas","spelling_mismatch","account_stub; taxonomy mismatch",false,false,"","","","","","","","","missing; crosswalk required","AmphibiaWeb uses `amphileucas`; no narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=amphileucas","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"anicetus","Desmognathus anicetus","Desmognathus anicetus","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=anicetus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"apalachicolae","Desmognathus apalachicolae","Desmognathus apalachicolae","exact","length_only_not_svl",false,false,"","","","","","","","unspecified","exclude as SVL","French account gives 11 cm without naming SVL; treat as unspecified/likely total length","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=apalachicolae","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"aureatus","Desmognathus aureatus","Desmognathus aureatus","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=aureatus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"auriculatus","Desmognathus auriculatus","Desmognathus auriculatus","exact","length_only_not_svl",false,false,"","","","","","","","range","exclude as SVL","Account gives 80–164 mm length and says tail is half total body length; not SVL","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=auriculatus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"bairdi","Desmognathus bairdi","Desmognathus bairdi","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=bairdi","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
"balsameus","Desmognathus balsameus","Desmognathus balsameus","exact","account_stub",false,false,"","","","","","","","","missing","No narrative measurement account","https://amphibiaweb.org/cgi/amphib_query?where-genus=Desmognathus&where-species=balsameus","Archived AmphibiaWeb account text (Arquivo.pt, November 2023); live account URL supplied","2026-07-13"
