bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
1,D. aeneus,aeneus,9.69924715,38.60640000,206.59680000
1,D. amphileucus,amphileucus,16.59557728,44.16480000,319.52160000
1,D. anicetus,anicetus,14.81998150,41.76000000,243.48240000
1,D. apalachicolae,apalachicolae,14.40216841,45.80640000,298.58400000
1,D. auriculatus,auriculatus,18.16727498,49.71600000,316.02960000
1,D. bairdi,bairdi,18.74906458,43.86240000,305.52480000
1,D. brimleyorum,brimleyorum,17.77949373,43.94880000,329.20560000
1,D. campi,campi,14.46757444,35.83440000,256.62960000
1,D. folkertsi,folkertsi,16.79810750,44.30160000,269.74080000
1,D. fuscus,fuscus,16.36000000,47.75760000,273.52080000
1,D. gvnigeusgwotli,gvnigeusgwotli,14.29326276,46.86480000,271.62000000
1,D. intermedius,intermedius,17.39127401,47.33280000,325.15200000
1,D. kanawha,kanawha,16.46251842,40.89600000,290.66400000
1,D. marmoratus,marmoratus,16.67872075,46.78560000,275.52960000
1,D. mavrokoilius,mavrokoilius,14.95934290,40.75200000,271.44000000
1,D. monticola,monticola,17.46736147,39.60000000,260.88480000
1,D. ochrophaeus,ochrophaeus,13.23885036,51.63120000,267.88320000
1,D. ocoee,ocoee,16.09545699,44.15040000,292.85280000
1,D. orestes,orestes,13.15715001,47.10240000,255.58560000
1,D. perlapsus,perlapsus,12.77473301,43.25760000,299.86560000
1,D. tilleyi,tilleyi,16.26576574,41.15520000,267.06240000
1,D. valtos,valtos,22.26298497,50.78880000,312.78240000
1,D. welteri,welteri,14.49483893,48.68640000,306.77760000
1,D. wrighti,wrighti,15.03817014,42.96960000,225.59760000
2,D. aeneus,aeneus,8.86046840,38.68560000,209.92320000
2,D. amphileucus,amphileucus,17.03824801,44.28720000,316.25280000
2,D. anicetus,anicetus,15.16036245,40.04640000,244.19520000
2,D. apalachicolae,apalachicolae,14.45955768,46.23840000,301.02480000
2,D. auriculatus,auriculatus,15.96068091,48.90240000,316.65600000
2,D. bairdi,bairdi,17.96305170,43.87680000,306.97200000
2,D. brimleyorum,brimleyorum,18.51436533,44.49600000,329.78880000
2,D. campi,campi,14.42532693,35.89920000,257.45040000
2,D. folkertsi,folkertsi,16.86206964,43.98480000,268.07040000
2,D. fuscus,fuscus,16.36000000,45.43920000,272.93760000
2,D. gvnigeusgwotli,gvnigeusgwotli,14.92848406,46.69200000,271.62000000
2,D. intermedius,intermedius,18.15845611,50.11920000,325.15200000
2,D. kanawha,kanawha,16.75328762,43.12800000,286.45200000
2,D. marmoratus,marmoratus,16.76331116,47.95200000,273.88800000
2,D. mavrokoilius,mavrokoilius,14.95637097,45.07920000,269.30880000
2,D. monticola,monticola,17.97620187,40.57200000,260.43120000
2,D. ochrophaeus,ochrophaeus,12.33780080,51.95520000,267.57360000
2,D. ocoee,ocoee,15.06178090,43.39440000,293.29200000
2,D. orestes,orestes,12.97153442,46.58400000,255.32640000
2,D. perlapsus,perlapsus,13.22707353,43.86240000,291.85920000
2,D. tilleyi,tilleyi,16.44521625,42.01920000,264.28320000
2,D. valtos,valtos,22.46288863,50.51520000,312.71040000
2,D. welteri,welteri,13.75434988,48.67920000,303.06240000
2,D. wrighti,wrighti,13.84531673,41.28480000,203.67360000
3,D. aeneus,aeneus,9.53564366,38.75040000,208.29600000
3,D. amphileucus,amphileucus,16.42576634,44.92800000,319.78080000
3,D. anicetus,anicetus,15.50550289,42.13440000,242.65440000
3,D. apalachicolae,apalachicolae,15.77307249,44.35200000,299.04480000
3,D. auriculatus,auriculatus,16.59898416,49.34880000,314.66880000
3,D. bairdi,bairdi,18.48558111,44.40960000,306.00000000
3,D. brimleyorum,brimleyorum,17.95931155,46.25280000,327.18960000
3,D. campi,campi,14.76201264,36.70560000,252.98640000
3,D. folkertsi,folkertsi,18.17068366,43.72560000,269.20800000
3,D. fuscus,fuscus,16.36000000,46.28880000,272.80800000
3,D. gvnigeusgwotli,gvnigeusgwotli,15.27569765,47.25360000,272.43360000
3,D. intermedius,intermedius,17.76259103,46.57680000,319.03200000
3,D. kanawha,kanawha,15.44824437,41.70240000,291.93840000
3,D. marmoratus,marmoratus,17.98934127,47.39760000,276.56640000
3,D. mavrokoilius,mavrokoilius,15.38913848,43.56000000,269.30880000
3,D. monticola,monticola,16.85923340,39.61440000,260.15040000
3,D. ochrophaeus,ochrophaeus,13.80667124,52.31520000,270.61920000
3,D. ocoee,ocoee,17.37972023,44.15040000,291.96000000
3,D. orestes,orestes,13.66249371,45.53280000,256.11120000
3,D. perlapsus,perlapsus,14.01678247,44.76960000,292.44240000
3,D. tilleyi,tilleyi,16.73774526,41.61600000,265.88880000
3,D. valtos,valtos,22.82956986,49.63680000,313.23600000
3,D. welteri,welteri,16.10720888,48.78720000,301.82400000
3,D. wrighti,wrighti,15.78589540,45.93600000,247.52160000
4,D. aeneus,aeneus,9.73821910,38.21040000,212.32800000
4,D. amphileucus,amphileucus,18.03198312,44.56080000,318.85920000
4,D. anicetus,anicetus,16.66220389,41.91120000,243.24480000
4,D. apalachicolae,apalachicolae,16.93408276,44.30160000,297.11520000
4,D. auriculatus,auriculatus,20.54305012,49.51440000,316.92240000
4,D. bairdi,bairdi,20.06756441,45.20160000,308.46240000
4,D. brimleyorum,brimleyorum,19.69128922,46.98720000,329.40000000
4,D. campi,campi,15.69897909,37.72800000,257.29200000
4,D. folkertsi,folkertsi,18.55297735,44.61840000,267.94080000
4,D. fuscus,fuscus,16.36000000,47.31120000,273.35520000
4,D. gvnigeusgwotli,gvnigeusgwotli,16.38510568,46.71360000,272.40480000
4,D. intermedius,intermedius,19.63195565,49.00320000,325.15200000
4,D. kanawha,kanawha,17.34355418,40.30560000,288.56160000
4,D. marmoratus,marmoratus,19.63948583,48.49920000,276.12000000
4,D. mavrokoilius,mavrokoilius,14.77584927,43.41600000,267.14880000
4,D. monticola,monticola,18.91742656,39.59280000,259.51680000
4,D. ochrophaeus,ochrophaeus,13.69700258,52.66080000,271.03680000
4,D. ocoee,ocoee,16.57433626,43.99200000,293.15520000
4,D. orestes,orestes,15.05822527,47.80800000,256.38480000
4,D. perlapsus,perlapsus,15.27775770,43.38000000,294.23520000
4,D. tilleyi,tilleyi,17.91932930,41.78880000,265.34880000
4,D. valtos,valtos,24.69199624,50.51520000,311.79600000
4,D. welteri,welteri,17.08304867,48.80880000,303.32160000
4,D. wrighti,wrighti,16.18934942,41.28480000,203.67360000
5,D. aeneus,aeneus,9.06012506,37.62000000,207.93600000
5,D. amphileucus,amphileucus,15.18560806,44.40960000,317.66400000
5,D. anicetus,anicetus,13.85939440,40.88160000,246.22560000
5,D. apalachicolae,apalachicolae,13.89020703,43.98480000,295.38720000
5,D. auriculatus,auriculatus,17.36994562,50.47920000,314.66880000
5,D. bairdi,bairdi,17.00753114,44.00640000,308.16000000
5,D. brimleyorum,brimleyorum,16.60416894,45.75600000,327.31200000
5,D. campi,campi,13.20561598,36.33840000,258.82560000
5,D. folkertsi,folkertsi,15.39435298,45.04320000,269.47440000
5,D. fuscus,fuscus,16.36000000,46.88640000,273.23280000
5,D. gvnigeusgwotli,gvnigeusgwotli,14.49499124,46.45440000,271.49040000
5,D. intermedius,intermedius,16.85522240,48.51360000,325.49760000
5,D. kanawha,kanawha,17.34665648,42.35040000,288.61920000
5,D. marmoratus,marmoratus,16.32372216,47.20320000,274.50000000
5,D. mavrokoilius,mavrokoilius,13.92186754,42.87600000,267.70320000
5,D. monticola,monticola,15.29461599,39.20400000,257.95440000
5,D. ochrophaeus,ochrophaeus,12.52378528,52.63920000,267.72480000
5,D. ocoee,ocoee,14.96911575,43.04160000,295.67520000
5,D. orestes,orestes,13.63506192,47.13120000,255.58560000
5,D. perlapsus,perlapsus,13.56636658,42.58080000,293.55120000
5,D. tilleyi,tilleyi,15.07144445,41.74560000,264.42720000
5,D. valtos,valtos,20.37968156,50.78880000,315.49680000
5,D. welteri,welteri,13.67533007,48.64320000,303.43680000
5,D. wrighti,wrighti,12.88733474,39.57840000,226.54080000
6,D. aeneus,aeneus,11.80315743,38.82960000,210.41280000
6,D. amphileucus,amphileucus,18.49299855,44.67600000,320.08320000
6,D. anicetus,anicetus,17.21793934,41.69520000,243.87840000
6,D. apalachicolae,apalachicolae,18.92054366,45.63360000,295.30800000
6,D. auriculatus,auriculatus,20.07750087,49.17600000,316.02960000
6,D. bairdi,bairdi,21.71827099,44.65440000,305.60400000
6,D. brimleyorum,brimleyorum,19.95140045,45.67680000,329.78880000
6,D. campi,campi,16.50753881,36.33840000,256.83840000
6,D. folkertsi,folkertsi,19.34486835,47.04480000,268.80480000
6,D. fuscus,fuscus,16.36000000,45.43920000,271.96560000
6,D. gvnigeusgwotli,gvnigeusgwotli,17.65278502,46.33920000,271.80720000
6,D. intermedius,intermedius,20.95315251,49.07520000,323.81280000
6,D. kanawha,kanawha,17.88069580,40.98960000,288.59040000
6,D. marmoratus,marmoratus,21.13068572,47.05920000,275.81760000
6,D. mavrokoilius,mavrokoilius,17.85533330,43.41600000,268.75440000
6,D. monticola,monticola,19.33468069,39.35520000,260.43120000
6,D. ochrophaeus,ochrophaeus,15.57763439,51.63120000,275.45040000
6,D. ocoee,ocoee,18.92331211,43.87680000,295.67520000
6,D. orestes,orestes,16.34654363,47.07360000,255.08160000
6,D. perlapsus,perlapsus,16.24312116,41.78160000,293.02560000
6,D. tilleyi,tilleyi,18.53071416,41.83200000,264.75120000
6,D. valtos,valtos,24.92716187,49.53600000,313.39440000
6,D. welteri,welteri,15.58064788,48.87360000,305.59680000
6,D. wrighti,wrighti,17.23855500,39.57840000,197.69760000
7,D. aeneus,aeneus,10.47257406,38.82960000,207.93600000
7,D. amphileucus,amphileucus,18.77631826,44.43120000,317.66400000
7,D. anicetus,anicetus,16.60187550,42.20640000,246.22560000
7,D. apalachicolae,apalachicolae,18.55746718,45.50400000,300.05280000
7,D. auriculatus,auriculatus,19.23626009,48.29760000,314.23680000
7,D. bairdi,bairdi,20.46659850,43.94160000,306.60480000
7,D. brimleyorum,brimleyorum,19.93170971,44.58240000,327.64320000
7,D. campi,campi,16.28158620,37.07280000,257.90400000
7,D. folkertsi,folkertsi,17.89984548,44.46720000,268.80480000
7,D. fuscus,fuscus,16.36000000,47.57760000,271.88640000
7,D. gvnigeusgwotli,gvnigeusgwotli,16.08541852,47.01600000,272.30400000
7,D. intermedius,intermedius,20.21664069,48.85200000,327.37680000
7,D. kanawha,kanawha,18.88364415,40.68000000,287.06400000
7,D. marmoratus,marmoratus,19.55894471,48.13920000,274.07520000
7,D. mavrokoilius,mavrokoilius,17.19571316,40.06080000,268.64640000
7,D. monticola,monticola,17.87936951,39.20400000,259.50240000
7,D. ochrophaeus,ochrophaeus,14.74880857,51.30720000,275.45040000
7,D. ocoee,ocoee,19.55280420,42.63840000,292.08960000
7,D. orestes,orestes,15.19328800,47.53440000,256.11120000
7,D. perlapsus,perlapsus,17.92194206,41.54400000,297.41760000
7,D. tilleyi,tilleyi,18.69816945,41.81040000,264.29760000
7,D. valtos,valtos,25.25766674,50.78880000,312.71040000
7,D. welteri,welteri,15.31916492,48.84480000,302.58720000
7,D. wrighti,wrighti,16.58605704,43.20720000,203.67360000
8,D. aeneus,aeneus,8.52617567,37.65600000,210.41280000
8,D. amphileucus,amphileucus,15.20233854,44.56080000,320.56560000
8,D. anicetus,anicetus,14.31767103,40.56480000,244.29600000
8,D. apalachicolae,apalachicolae,15.34534953,45.63360000,296.30880000
8,D. auriculatus,auriculatus,15.13326297,48.34080000,316.90080000
8,D. bairdi,bairdi,18.09868590,44.20800000,306.60480000
8,D. brimleyorum,brimleyorum,17.05414365,43.93440000,327.02400000
8,D. campi,campi,13.61761359,37.51200000,256.42080000
8,D. folkertsi,folkertsi,15.84443043,46.41120000,270.07200000
8,D. fuscus,fuscus,16.36000000,44.91360000,275.25600000
8,D. gvnigeusgwotli,gvnigeusgwotli,14.36525381,46.45440000,271.75680000
8,D. intermedius,intermedius,16.85063318,48.85200000,325.49760000
8,D. kanawha,kanawha,15.93770941,40.99680000,288.03600000
8,D. marmoratus,marmoratus,15.97061782,48.25440000,276.03360000
8,D. mavrokoilius,mavrokoilius,14.49934722,40.75200000,270.74880000
8,D. monticola,monticola,17.16686328,39.62880000,258.20640000
8,D. ochrophaeus,ochrophaeus,12.32957343,51.58800000,278.61120000
8,D. ocoee,ocoee,15.50612165,43.87680000,293.24880000
8,D. orestes,orestes,13.26394668,47.53440000,255.47040000
8,D. perlapsus,perlapsus,12.55161233,44.53920000,294.07680000
8,D. tilleyi,tilleyi,16.20315692,42.19920000,264.23280000
8,D. valtos,valtos,21.99212188,50.78880000,314.35200000
8,D. welteri,welteri,14.17357214,48.72960000,306.77760000
8,D. wrighti,wrighti,13.00534381,42.96960000,237.03120000
9,D. aeneus,aeneus,9.51895040,37.66320000,208.98720000
9,D. amphileucus,amphileucus,16.18829786,44.28720000,318.32640000
9,D. anicetus,anicetus,13.93587683,42.06240000,244.21680000
9,D. apalachicolae,apalachicolae,13.35852654,46.54080000,298.46880000
9,D. auriculatus,auriculatus,16.10910825,48.44880000,312.91200000
9,D. bairdi,bairdi,17.55765293,44.20800000,306.97200000
9,D. brimleyorum,brimleyorum,15.03073902,45.10080000,328.75200000
9,D. campi,campi,12.87354210,35.95680000,257.29200000
9,D. folkertsi,folkertsi,14.90452133,45.01440000,270.07200000
9,D. fuscus,fuscus,16.36000000,45.85680000,273.87360000
9,D. gvnigeusgwotli,gvnigeusgwotli,13.90548428,44.89920000,271.72080000
9,D. intermedius,intermedius,15.58904651,50.11920000,325.24560000
9,D. kanawha,kanawha,17.00303051,40.98240000,288.66240000
9,D. marmoratus,marmoratus,16.09957514,48.35520000,273.80160000
9,D. mavrokoilius,mavrokoilius,15.27839373,42.99840000,269.35200000
9,D. monticola,monticola,15.34412290,39.82320000,260.15040000
9,D. ochrophaeus,ochrophaeus,11.71957022,51.81120000,273.43440000
9,D. ocoee,ocoee,15.64666177,42.93360000,292.26960000
9,D. orestes,orestes,12.85573957,45.89280000,255.45600000
9,D. perlapsus,perlapsus,13.19378215,43.68240000,291.96720000
9,D. tilleyi,tilleyi,14.85496286,41.50080000,264.75120000
9,D. valtos,valtos,20.86674382,50.65200000,311.79600000
9,D. welteri,welteri,13.18948186,48.84480000,310.70160000
9,D. wrighti,wrighti,12.03528030,44.89200000,247.62240000
