analysis,model,n_fits,top_count,top_rate,admissible_competitive_count,admissible_competitive_rate
measurement_bootstrap_primary,nucleus_bridge,250,0,0.0,0,0.0
measurement_bootstrap_primary,cell_bridge,250,246,0.984,250,1.0
measurement_bootstrap_primary,nucleus_cell_only,250,0,0.0,0,0.0
measurement_bootstrap_primary,nucleus_collider,250,0,0.0,0,0.0
measurement_bootstrap_primary,cell_collider,250,3,0.012,16,0.064
measurement_bootstrap_primary,genome_bridge,250,1,0.004,6,0.024
measurement_bootstrap_primary,genome_nucleus_only,250,0,0.0,0,0.0
measurement_bootstrap_primary,genome_cell_only,250,0,0.0,0,0.0
measurement_bootstrap_primary,genome_collider,250,0,0.0,0,0.0
measurement_bootstrap_primary,independent,250,0,0.0,0,0.0
leave_one_species_out_24,nucleus_bridge,24,0,0.0,0,0.0
leave_one_species_out_24,cell_bridge,24,24,1.0,24,1.0
leave_one_species_out_24,nucleus_cell_only,24,0,0.0,0,0.0
leave_one_species_out_24,nucleus_collider,24,0,0.0,0,0.0
leave_one_species_out_24,cell_collider,24,0,0.0,1,0.041666666666666664
leave_one_species_out_24,genome_bridge,24,0,0.0,0,0.0
leave_one_species_out_24,genome_nucleus_only,24,0,0.0,0,0.0
leave_one_species_out_24,genome_cell_only,24,0,0.0,0,0.0
leave_one_species_out_24,genome_collider,24,0,0.0,0,0.0
leave_one_species_out_24,independent,24,0,0.0,0,0.0
published_bootstrap_trees_18,nucleus_bridge,200,0,0.0,200,1.0
published_bootstrap_trees_18,cell_bridge,200,200,1.0,200,1.0
published_bootstrap_trees_18,nucleus_cell_only,200,0,0.0,0,0.0
published_bootstrap_trees_18,nucleus_collider,200,0,0.0,0,0.0
published_bootstrap_trees_18,cell_collider,200,0,0.0,0,0.0
published_bootstrap_trees_18,genome_bridge,200,0,0.0,0,0.0
published_bootstrap_trees_18,genome_nucleus_only,200,0,0.0,0,0.0
published_bootstrap_trees_18,genome_cell_only,200,0,0.0,0,0.0
published_bootstrap_trees_18,genome_collider,200,0,0.0,0,0.0
published_bootstrap_trees_18,independent,200,0,0.0,0,0.0
evolutionary_model_choice_primary,nucleus_bridge,4,0,0.0,0,0.0
evolutionary_model_choice_primary,cell_bridge,4,4,1.0,4,1.0
evolutionary_model_choice_primary,nucleus_cell_only,4,0,0.0,0,0.0
evolutionary_model_choice_primary,nucleus_collider,4,0,0.0,0,0.0
evolutionary_model_choice_primary,cell_collider,4,0,0.0,0,0.0
evolutionary_model_choice_primary,genome_bridge,4,0,0.0,0,0.0
evolutionary_model_choice_primary,genome_nucleus_only,4,0,0.0,0,0.0
evolutionary_model_choice_primary,genome_cell_only,4,0,0.0,0,0.0
evolutionary_model_choice_primary,genome_collider,4,0,0.0,0,0.0
evolutionary_model_choice_primary,independent,4,0,0.0,0,0.0
