relation_id,evolutionary_model,outcome,predictor,standardized_coefficient,standard_error,ci_low,ci_high,t_value,p_value,fitted_phylogenetic_parameter,r_squared,n_species
genome_to_nucleus,lambda,nucleus_size,genome_size,0.41901840554013065,0.1935815046936693,0.03959865634053883,0.7984381547397225,2.164558056324654,0.041543787767136464,9.999999999999994e-8,0.17557642395496567,24
nucleus_to_genome,lambda,genome_size,nucleus_size,0.28934465273140125,0.17456626614998869,-0.05280522892257655,0.6314945343853791,1.657506109930736,0.11161019661646304,1,0.11101508294089248,24
genome_to_cell,lambda,cell_size,genome_size,0.7166644225383181,0.1486900521551749,0.4252319203141753,1.008096924762461,4.819854537345899,8.156831918074695e-5,9.999999999999994e-8,0.5136078996938527,24
cell_to_genome,lambda,genome_size,cell_size,0.7166644297406731,0.1486900536494845,0.4252319245876835,1.0080969348936628,4.8198545373459,8.156831918074679e-5,9.999999999999994e-8,0.5136078996938526,24
nucleus_to_cell,lambda,cell_size,nucleus_size,0.5793012833996936,0.17378278130418667,0.23868703204348768,0.9199155347558994,3.333479180458584,0.0030127749981267993,9.999999999999994e-8,0.3355899807539396,24
cell_to_nucleus,lambda,nucleus_size,cell_size,0.5793012899686543,0.17378278327478872,0.23868703475006836,0.9199155451872402,3.3334791804585833,0.003012774998126805,9.999999999999994e-8,0.3355899807539397,24
genome_and_nucleus_to_cell,lambda,cell_size,genome_size,0.5748580416809171,0.15046701687924627,0.27994268859759447,0.8697733947642399,3.8204920493788737,9.971099340485867e-4,9.999999999999994e-8,0.6080304560829008,24
genome_and_nucleus_to_cell,lambda,cell_size,nucleus_size,0.3384251836732737,0.1504670167822232,0.043509830780116165,0.6333405365664312,2.2491652384062992,0.03535835107447219,9.999999999999994e-8,0.6080304560829008,24
genome_and_cell_to_nucleus,lambda,nucleus_size,genome_size,0.007923198355023704,0.25503818165973297,-0.4919516376980529,0.5077980344081003,0.03106671441688164,0.9755097068879339,9.999999999999994e-8,0.3356205150258855,24
genome_and_cell_to_nucleus,lambda,nucleus_size,cell_size,0.573623015537829,0.2550381829412781,0.0737481769729239,1.073497854102734,2.249165238406299,0.03535835107447229,9.999999999999994e-8,0.3356205150258855,24
nucleus_and_cell_to_genome,lambda,genome_size,nucleus_size,0.005800305492751943,0.18670482545781927,-0.36014115240457384,0.37174176339007775,0.03106671441688238,0.9755097068879334,9.999999999999994e-8,0.5136302528014711,24
nucleus_and_cell_to_genome,lambda,genome_size,cell_size,0.7133043052865097,0.18670482651638473,0.3473628453143956,1.0792457652586238,3.820492049378873,9.971099340485867e-4,9.999999999999994e-8,0.5136302528014711,24
