analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count
primary,point_estimate,focal_primary,lambda,NA,NA,24,1,cell_bridge,1,5,0.04959033657779022,0.9755097068879339,13.382923669911122,0,1,0.9167423772846515,TRUE,TRUE,TRUE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,2,cell_collider,1,5,6.362014562163391,0.04154378776713652,19.695347895496724,6.312424225585602,0.04258674975123438,0.039041078207773146,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,3,genome_bridge,1,5,6.684441349618589,0.03535835107447216,20.01777468295192,6.634851013040798,0.036246026897335776,0.03322826886498702,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,4,genome_cell_only,2,4,13.04645591178198,0.011051018751337738,23.151719069676716,9.768795399765594,0.0075636779945390765,0.006933944145729358,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,5,genome_collider,1,5,11.609787397292807,0.0030127749981267993,24.94312073062614,11.56019706071502,0.00308841109099584,0.00283127732559181,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,6,nucleus_bridge,1,5,13.82129905847608,9.971099340485567e-4,27.154632391809415,13.771708721898293,0.0010221425035631486,9.370413486401662e-4,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,7,nucleus_cell_only,2,4,20.18331362063947,4.5945772465261214e-4,30.288576778534207,16.905653108623085,2.132966678908454e-4,1.9553809438914842e-4,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,8,nucleus_collider,1,5,18.82813923342986,8.156831918071372e-5,32.161472566763194,18.778548896852072,8.361610202830846e-5,7.665442415270747e-5,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,9,genome_nucleus_only,2,4,25.512580583048447,3.967480937305812e-5,35.61784374094319,22.234920071032064,1.4850752278467068e-5,1.3614313948227353e-5,FALSE,FALSE,FALSE,6,1
primary,point_estimate,focal_primary,lambda,NA,NA,24,10,independent,3,3,36.79994119288606,1.926277524377795e-6,43.999941192886055,30.617017522974933,2.2469795440065475e-7,2.0599013688825444e-7,FALSE,FALSE,FALSE,6,1
