species,tree_tip,genome_size_log10_z,nucleus_area_log10_z,cell_area_log10_z
D. anicetus,anicetus,-0.25386352081054697,-0.7657126019582282,-1.2245453144276486
D. tilleyi,tilleyi,0.24267945893090967,-0.7214492503810034,-0.5009526183017003
D. campi,campi,-0.5022191824879532,-2.1373704857225078,-0.7451724868061586
D. ocoee,ocoee,0.2857750612101951,-0.2858741114655039,0.4326473588533329
D. apalachicolae,apalachicolae,-0.1369750397012187,0.17687639265294805,0.6283098058795896
D. monticola,monticola,0.3284218372576865,-1.3654366323228555,-0.6530686755998008
D. perlapsus,perlapsus,-0.6921045817493672,-0.30329860281095533,0.4448895020940791
D. brimleyorum,brimleyorum,0.4132266985010221,0.16757558823553986,1.4898111404693946
D. bairdi,bairdi,1.0162406113101086,-0.082585823936801,0.8256004542707576
D. valtos,valtos,2.2446523520977197,1.3471423430414733,1.0611850937384701
D. auriculatus,auriculatus,0.6475704860767075,1.1606346297602206,1.0883687854839705
D. fuscus,fuscus,0.15671523490836034,0.6183999133659982,-0.2197117119222282
D. welteri,welteri,-0.42233843109352137,1.0490083969883568,0.7783404910018308
D. orestes,orestes,-0.8259559102624026,0.46158613031125273,-0.8151889335514115
D. ochrophaeus,ochrophaeus,-1.0787636127585072,1.8427678919941142,-0.23648151442993284
D. intermedius,intermedius,0.7782145366129967,1.104096251501346,1.3747070077388504
D. marmoratus,marmoratus,0.7302239179714795,0.7819658529705267,-0.1503277631763935
D. mavrokoilius,mavrokoilius,-0.20398968970508283,-0.5282650098165365,-0.34503421812104385
D. kanawha,kanawha,0.43164139853836103,-0.7576522260075627,0.2903225559052187
D. aeneus,aeneus,-3.3300149516160076,-1.952930811014202,-2.6365216563611673
D. amphileucus,amphileucus,0.5404921194878142,-0.023796550269080268,1.1926097842421717
D. gvnigeusgwotli,gvnigeusgwotli,-0.21365122085700303,0.5375523789228374,-0.23264568184936846
D. folkertsi,folkertsi,0.38094834970507396,0.09102817291712237,-0.352560350032324
D. wrighti,wrighti,-0.5369259215668477,-0.4142618369564458,-1.4945810550985346
