species,primary_genome_pg,primary_genome_se_pg,primary_genome_gb,primary_genome_q1_pg,primary_genome_q3_pg,primary_genome_ci_low_pg,primary_genome_ci_high_pg,primary_genome_bootstrap_sd_pg,primary_n_images,primary_n_specimens,primary_n_nuclei,primary_n_analysis_ready_images,primary_total_strict_images,primary_cv_measurement_pct,primary_cv_area_pct,primary_measurement_kind,primary_state,primary_state_converged,primary_state_capped_not_converged,primary_support_unit,primary_support_tier,primary_support_warnings,primary_source_image_existing_pct,primary_tile_manifest_existing_pct,primary_mask_existing_pct,primary_roi_zip_existing_pct,alternate_state,alternate_genome_pg,alternate_n_images,alternate_n_specimens,alternate_source_image_existing_pct,cross_state_pct_diff,primary_selection_reason,bundle_origin,reconstruction_method,reconstruction_source_path,reconstruction_source_sha256,raw_image_trace_path,raw_image_trace_sha256,genome_state_summary_path,genome_state_summary_sha256,genome_primary_missing,result_status,flag_summary
D. amphileucus,14.292299,0.330574,13.977868422,13.759327,14.936856,13.79025,15.029807,0.330574,1.0,1.0,38.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,17.491533,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
D. anicetus,13.069896,0.298012,12.782358288,12.391482,13.637803,12.580091,13.763685,0.298012,1.0,1.0,50.0,1,1,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,14.920052,1,1,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
D. apalachicolae,12.687106,0.442008,12.407989667999999,11.901999,13.380065,11.946446,13.557567,0.442008,1.0,1.0,19.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,all_selected,15.274128,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
D. auriculatus,14.527962,0.385348,14.208346836,13.524351,15.214946,13.870803,15.311429,0.385348,1.0,1.0,48.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,18.710125,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
D. bairdi,16.285622,0.413025,15.927338316,15.647266,17.327555,15.695161,17.253027,0.413025,1.0,1.0,50.0,1,1,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,18.590991,1,1,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
D. brimleyorum,15.080389,0.424146,14.748620442,14.023202,16.565599,14.330268,15.987434,0.424146,1.0,1.0,35.0,1,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,17.028954,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
D. campi,12.794174,0.504849,12.512702172,11.780579,13.427306,11.741264,13.706185,0.504849,2.0,2.0,50.0,2,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,,100.0,100.0,100.0,0.0,all_selected,14.605298,2,2,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,minor_caution,nan
D. folkertsi,15.732414,1.483722,15.386300892,14.651829,16.461589,13.89338,18.973593,1.483722,2.0,2.0,50.0,0,2,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,,15.732414,2,2,100.0,,all_selected_fallback,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,True,minor_caution,auto_dominant; all_selected_genome_fallback
D. fuscus,16.36,0.445123,16.00008,15.502984,16.987299,15.53629,17.297055,0.445123,1.0,1.0,23.0,1,4,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,16.36,4,4,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count
D. gvnigeusgwotli,13.709404,0.401855,13.407797111999999,12.546889,14.531212,12.9843,14.55153,0.401855,1.0,1.0,50.0,1,1,,,verified_linked_nucleus_iod,brightfield,False,False,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,all_selected,15.650087,1,1,100.0,,image_qc_pass,verified_species_dataset,verified_reviewed_balanced_linked_pairs_with_od_qc_primary_genome,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/species_estimates_verified.csv,a5dc977182b11cf1419e8435379e3957eaabaff7a16286b291e5bd761a42bfb5,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,6a3f3235eeaa19863f9a5115b5d4d99443814f97a1983a58c39140e1da49f4b5,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,feb7ccf9fbb1b32ceb36d0f3e215540b9049c92793708801305dfbce725e4dc6,False,sensitivity_limited,low_image_count; low_specimen_count
