species,image_type,n_images,n_total_strict_images,n_analysis_ready_images,n_specimens,n_nuclei,state_mean_area_um2,state_median_area_um2,state_mean_iod,state_median_iod,state_se_measurement,state_cv_measurement_pct,support_unit,support_tier,support_warnings,source_image_existing_pct,tile_manifest_existing_pct,mask_existing_pct,roi_zip_existing_pct,reference_species,reference_genome_pg,reference_state_mean_iod,genome_pg_estimate,genome_se_pg_estimate,genome_gb_estimate,state_se_pct,genome_source,genome_q1_pg,genome_q3_pg,genome_ci_low_pg,genome_ci_high_pg
amphileucus,brightfield,1.0,2,1,1.0,38.0,42.311592,41.7888,1003.7404960000001,1003.7404960000001,0.330574,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,14.292299,0.330574,13.977868422,2.3129518910848423,image_qc_pass,13.759327,14.936856,13.79025,15.029807
anicetus,brightfield,1.0,1,1,1.0,50.0,39.231792,39.312,870.9324555000001,870.9324555000001,0.298012,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,13.069896,0.298012,12.782358288,2.280140561179676,image_qc_pass,12.391482,13.637803,12.580091,13.763685
apalachicolae,brightfield,1.0,2,1,1.0,19.0,39.706122,39.4704,906.182268,906.182268,0.442008,,weighted_median_linked_nucleus_iod,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,12.687106,0.442008,12.407989667999999,3.4839150867029884,image_qc_pass,11.901999,13.380065,11.946446,13.557567
auriculatus,brightfield,1.0,2,1,1.0,48.0,47.32415,47.2032,1035.56057775,1035.56057775,0.385348,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,14.527962,0.385348,14.208346836,2.6524573783989798,image_qc_pass,13.524351,15.214946,13.870803,15.311429
bairdi,brightfield,1.0,1,1,1.0,50.0,43.189566,42.6384,1084.8762555,1084.8762555,0.413025,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,16.285622,0.413025,15.927338316,2.536132792471789,image_qc_pass,15.647266,17.327555,15.695161,17.253027
brimleyorum,brightfield,1.0,2,1,1.0,35.0,42.68584,42.1344,999.6248835,999.6248835,0.424146,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,15.080389,0.424146,14.748620442,2.812566705010063,image_qc_pass,14.023202,16.565599,14.330268,15.987434
campi,brightfield,2.0,2,2,2.0,50.0,37.68969,37.1232,848.9609695,848.9609695,0.504849,,weighted_median_linked_nucleus_iod,medium,,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,12.794174,0.504849,12.512702172,3.945928826667513,image_qc_pass,11.780579,13.427306,11.741264,13.706185
folkertsi,brightfield,2.0,2,0,2.0,50.0,42.70898,42.2208,919.6307065,919.6307065,1.483722,,weighted_median_linked_nucleus_iod,medium,auto_dominant,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,15.732414,1.483722,15.386300892,9.430987514058554,all_selected_fallback,14.651829,16.461589,13.89338,18.973593
fuscus,brightfield,1.0,4,1,1.0,23.0,43.591195,44.2512,953.523067875,956.63974525,0.445123,,weighted_median_linked_nucleus_iod,limited,low_pair_count; low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,16.36,0.445123,16.00008,2.7208007334963327,image_qc_pass,15.502984,16.987299,15.53629,17.297055
gvnigeusgwotli,brightfield,1.0,1,1,1.0,50.0,41.865049,41.2848,908.7007395,908.7007395,0.401855,,weighted_median_linked_nucleus_iod,limited,low_image_count; low_specimen_count,100.0,100.0,100.0,0.0,D. fuscus,16.36,1090.342087,13.709404,0.401855,13.407797111999999,2.931236106252322,image_qc_pass,12.546889,14.531212,12.9843,14.55153
