species,decision_basis,n_specimens_strict,n_images_strict,n_pairs_strict,cell_area_um2,nucleus_area_um2,linked_effective_n,linked_support_label,linked_support_warnings,iod_n_images,iod_n_specimens,iod_n_nuclei,primary_measurement_kind,primary_state,primary_support_tier,primary_support_warnings,relative_nuclear_iod_raw_value,result_status,flag_summary
amphileucus,active WGS and current linked-cell record,2,2,50,297.7488,41.7888,36.354379,medium,,1.0,1.0,38.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,14.292299,sensitivity_limited,low_image_count; low_specimen_count
anicetus,active WGS and current linked-cell record,1,1,50,232.8768,39.312,49.800929,limited,low_image_count; low_specimen_count,1.0,1.0,50.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,13.069896,sensitivity_limited,low_image_count; low_specimen_count
apalachicolae,active WGS and current linked-cell record,2,2,50,267.84,39.4704,47.309172,medium,,1.0,1.0,19.0,verified_linked_nucleus_iod,brightfield,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,12.687106,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
auriculatus,active WGS and current linked-cell record,2,2,50,277.1136,47.2032,7.677231,limited,,1.0,1.0,48.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,14.527962,sensitivity_limited,low_image_count; low_specimen_count
bairdi,active WGS and current linked-cell record,1,1,50,286.3152,42.6384,49.831488,limited,low_image_count; low_specimen_count,1.0,1.0,50.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,16.285622,sensitivity_limited,low_image_count; low_specimen_count
brimleyorum,current linked-cell record; absent from active WGS lookup,2,2,50,292.9968,42.1344,41.545213,medium,,1.0,1.0,35.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,15.080389,sensitivity_limited,low_image_count; low_specimen_count
campi,active WGS and current linked-cell record,2,2,50,237.3984,37.1232,48.316586,medium,,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,,12.794174,minor_caution,
folkertsi,current linked-cell record; genomic resource excluded as untrusted,2,2,50,235.6416,42.2208,46.457716,medium,auto_dominant,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,auto_dominant,15.732414,minor_caution,auto_dominant; all_selected_genome_fallback
fuscus,active reidentified SRX20497025 resource and current linked-cell record,4,4,50,257.2272,44.2512,10.447693,limited,,1.0,1.0,23.0,verified_linked_nucleus_iod,brightfield,limited,low_pair_count; low_image_count; low_specimen_count,16.36,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count
gvnigeusgwotli,active WGS and current linked-cell record,1,1,50,253.9296,41.2848,49.804632,limited,low_image_count; low_specimen_count,1.0,1.0,50.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count,13.709404,sensitivity_limited,low_image_count; low_specimen_count
intermedius,active WGS and current linked-cell record,2,2,50,275.256,42.9408,49.365042,medium,auto_dominant,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,auto_dominant,16.285297,minor_caution,auto_dominant
kanawha,active WGS and current linked-cell record; terminal-internal proxy absent,2,2,50,257.0256,40.5504,18.08477,medium,auto_dominant,1.0,1.0,45.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count; auto_dominant,13.250501,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
marmoratus,active WGS and current linked-cell record,2,2,50,261.6048,44.5248,47.666062,medium,auto_dominant,1.0,1.0,20.0,verified_linked_nucleus_iod,brightfield,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,15.868875,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
mavrokoilius,active WGS and current linked-cell record,2,2,50,249.6816,40.2624,45.710904,medium,auto_dominant,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,auto_dominant,13.016767,minor_caution,auto_dominant
monticola,active WGS and current linked-cell record,2,2,50,238.2624,39.6,32.603005,medium,auto_dominant,1.0,1.0,40.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count; auto_dominant,14.1026,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
ochrophaeus,current linked-cell record; genomic resource excluded as untrusted,2,2,50,269.352,47.1888,24.195603,medium,,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,,12.74789,minor_caution,nan; all_selected_genome_fallback
ocoee,active WGS and current linked-cell record,3,3,50,265.2912,39.384,28.98968,medium,auto_dominant,1.0,1.0,12.0,verified_linked_nucleus_iod,brightfield,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,14.898885,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
perlapsus,active WGS and current linked-cell record,3,3,50,244.6704,35.4096,31.640852,medium,auto_dominant,1.0,1.0,21.0,verified_linked_nucleus_iod,brightfield,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,10.725843,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
tilleyi,active WGS and current linked-cell record,2,2,50,249.264,39.456,42.108077,medium,auto_dominant,2.0,2.0,50.0,verified_linked_nucleus_iod,brightfield,medium,auto_dominant,14.103864,minor_caution,auto_dominant
valtos,active WGS and current linked-cell record; terminal-internal proxy absent,2,2,50,280.872,48.7728,49.896071,medium,auto_dominant,1.0,1.0,25.0,verified_linked_nucleus_iod,brightfield,limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,19.770085,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant
welteri,active WGS and current linked-cell record,2,2,50,280.9008,46.728,44.389538,medium,auto_dominant,1.0,1.0,33.0,verified_linked_nucleus_iod,brightfield,limited,low_image_count; low_specimen_count; auto_dominant,11.741516,sensitivity_limited,low_image_count; low_specimen_count; auto_dominant
