species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
amphileucus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),297.1296,50,2,2,median among frozen composite top 50
amphileucus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),41.6592,50,2,2,median among frozen composite top 50
amphileucus,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.139244,50,2,2,median among frozen composite top 50
amphileucus,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),296.964,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
amphileucus,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),41.7096,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
amphileucus,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.14019625,50,2,2,equal-image median of within-image medians among frozen composite top-50 rows
amphileucus,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),304.704,50,2,2,median among literal largest 50
amphileucus,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),42.7176,50,2,2,median among literal largest 50
amphileucus,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.139079,50,2,2,median among literal largest 50
amphileucus,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),294.8544,100,2,2,median among literal largest 100
amphileucus,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),42.6312,100,2,2,median among literal largest 100
amphileucus,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1430035,100,2,2,median among literal largest 100
amphileucus,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),262.0224,341,2,2,median among all eligible candidates
amphileucus,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),41.256,341,2,2,median among all eligible candidates
amphileucus,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.15648,341,2,2,median among all eligible candidates
amphileucus,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),304.0848,53,2,2,median among manual keeps
amphileucus,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),43.8048,53,2,2,median among manual keeps
amphileucus,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.144702,53,2,2,median among manual keeps
anicetus,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),232.8408,50,1,1,median among frozen composite top 50
anicetus,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),39.2904,50,1,1,median among frozen composite top 50
