metric,estimator_left,estimator_right,spearman_rho,spearman_p,n_species,median_pct_shift_right_vs_left,maximum_absolute_pct_shift
cell_area_um2,composite_selected50,image_balanced_selected50,0.95252838,1.11695903e-09,18,-0.0278666279,4.20664622
cell_area_um2,composite_selected50,literal_largest50_eligible,0.944272446,3.92399721e-09,18,4.03649201,7.88992375
cell_area_um2,composite_selected50,literal_largest100_eligible,0.960784314,2.48656703e-10,18,0.212837929,6.11336158
cell_area_um2,composite_selected50,eligible_candidate_pool,0.865841073,3.4345106e-06,18,-11.6380495,16.7332807
cell_area_um2,composite_selected50,manual_keep_pool,0.698658411,0.00125753392,18,1.51992111,14.2708694
cell_area_um2,image_balanced_selected50,literal_largest50_eligible,0.923632611,4.56845669e-08,18,4.17347996,12.6277758
cell_area_um2,image_balanced_selected50,literal_largest100_eligible,0.940144479,6.8594581e-09,18,0.530918708,6.11336158
cell_area_um2,image_balanced_selected50,eligible_candidate_pool,0.841073271,1.22713674e-05,18,-10.8332881,15.326307
cell_area_um2,image_balanced_selected50,manual_keep_pool,0.742002064,0.00042266515,18,1.06050042,14.0450902
cell_area_um2,literal_largest50_eligible,literal_largest100_eligible,0.983488132,2.63828912e-13,18,-3.90929382,7.25816968
cell_area_um2,literal_largest50_eligible,eligible_candidate_pool,0.824561404,2.56082316e-05,18,-15.6769187,20.3487094
cell_area_um2,literal_largest50_eligible,manual_keep_pool,0.696594427,0.00131843828,18,-0.355651464,20.1366612
cell_area_um2,literal_largest100_eligible,eligible_candidate_pool,0.836945304,1.48598742e-05,18,-11.7971919,15.9501478
cell_area_um2,literal_largest100_eligible,manual_keep_pool,0.673890609,0.00216595786,18,2.62752924,14.5839924
cell_area_um2,eligible_candidate_pool,manual_keep_pool,0.657378741,0.00303028954,18,11.1219807,26.0377706
nuc_area_um2,composite_selected50,image_balanced_selected50,0.91744066,8.35580353e-08,18,0,7.72664307
nuc_area_um2,composite_selected50,literal_largest50_eligible,0.950464396,1.55976502e-09,18,2.88827537,14.8552925
nuc_area_um2,composite_selected50,literal_largest100_eligible,0.973168215,1.24188235e-11,18,1.97377245,8.64197531
nuc_area_um2,composite_selected50,eligible_candidate_pool,0.95252838,1.11695903e-09,18,-0.906922297,6.14237529
nuc_area_um2,composite_selected50,manual_keep_pool,0.954592363,7.87841526e-10,18,1.49630337,8.07994534
nuc_area_um2,image_balanced_selected50,literal_largest50_eligible,0.855521156,6.00563292e-06,18,3.46038786,16.0057236
nuc_area_um2,image_balanced_selected50,literal_largest100_eligible,0.925696594,3.69362838e-08,18,2.14151633,10.3072169
nuc_area_um2,image_balanced_selected50,eligible_candidate_pool,0.95252838,1.11695903e-09,18,-0.799701209,6.8329718
nuc_area_um2,image_balanced_selected50,manual_keep_pool,0.861713106,4.31768401e-06,18,2.7948052,9.09648406
nuc_area_um2,literal_largest50_eligible,literal_largest100_eligible,0.971104231,2.23221965e-11,18,-1.213316,5.40969163
nuc_area_um2,literal_largest50_eligible,eligible_candidate_pool,0.888544892,8.39466355e-07,18,-3.74805055,10.5198238
nuc_area_um2,literal_largest50_eligible,manual_keep_pool,0.915376677,1.01132711e-07,18,-0.48477607,8.24455007
nuc_area_um2,literal_largest100_eligible,eligible_candidate_pool,0.940144479,6.8594581e-09,18,-3.32572081,8.20698748
nuc_area_um2,literal_largest100_eligible,manual_keep_pool,0.902992776,2.89751551e-07,18,-0.249145666,7.74555043
nuc_area_um2,eligible_candidate_pool,manual_keep_pool,0.900928793,3.40618029e-07,18,2.09992245,9.84375
nc_area_ratio,composite_selected50,image_balanced_selected50,0.898864809,3.99023672e-07,18,0,5.16038593
nc_area_ratio,composite_selected50,literal_largest50_eligible,0.936016512,1.1541885e-08,18,-0.89598017,3.97823737
nc_area_ratio,composite_selected50,literal_largest100_eligible,0.956656347,5.46578066e-10,18,2.22968636,5.30438728
nc_area_ratio,composite_selected50,eligible_candidate_pool,0.853457172,6.68154173e-06,18,12.6125688,19.7819181
nc_area_ratio,composite_selected50,manual_keep_pool,0.537667699,0.0213714147,18,2.94484267,21.2525427
nc_area_ratio,image_balanced_selected50,literal_largest50_eligible,0.839009288,1.35126625e-05,18,-0.577173066,7.3006565
nc_area_ratio,image_balanced_selected50,literal_largest100_eligible,0.888544892,8.39466355e-07,18,2.01492342,5.30438728
nc_area_ratio,image_balanced_selected50,eligible_candidate_pool,0.841073271,1.22713674e-05,18,11.9853575,18.810015
nc_area_ratio,image_balanced_selected50,manual_keep_pool,0.609907121,0.00719665859,18,2.32368718,20.9088071
nc_area_ratio,literal_largest50_eligible,literal_largest100_eligible,0.975232198,6.58873719e-12,18,2.86131529,4.94194195
nc_area_ratio,literal_largest50_eligible,eligible_candidate_pool,0.754385965,0.000297661462,18,12.5287683,22.0504562
nc_area_ratio,literal_largest50_eligible,manual_keep_pool,0.618163055,0.00625176273,18,3.07419063,20.5667872
nc_area_ratio,literal_largest100_eligible,eligible_candidate_pool,0.799793602,6.77596194e-05,18,9.76786401,17.6451846
nc_area_ratio,literal_largest100_eligible,manual_keep_pool,0.60371517,0.00797846721,18,0.500516061,18.0532531
nc_area_ratio,eligible_candidate_pool,manual_keep_pool,0.475748194,0.045978572,18,-5.36286305,18.218007
