fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count,model_label
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,1,te_evenness_chain,6,9,7.950369303612168,0.7889967333821732,48.45036930361217,0.0,1.0,0.998402519427146,True,True,supported_unique_top_model,True,False,False,14,LTR → evenness → IOD → nucleus → cell
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,2,iod_morphology_only,8,7,36.91488920291194,0.0021556901708109,62.11488920291194,13.66451989929977,0.0010784181907732,0.001076695438664,False,True,supported_unique_top_model,True,False,False,14,IOD–morphology only
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,3,te_additive_chain,6,9,23.48272059933845,0.0238963889025025,63.98272059933845,15.53235129572628,0.0004238310505337608,0.0004231539886643608,False,True,supported_unique_top_model,True,False,False,14,LTR + evenness → IOD chain
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,4,te_nucleus_bypass,6,9,27.605175732521747,0.0063163535156955,68.10517573252174,19.654806428909573,5.3952678781400914e-05,5.38664904251942e-05,False,True,supported_unique_top_model,True,False,False,14,Evenness nucleus bypass
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,5,te_cell_bypass,6,9,28.020540076067874,0.0054939013976689,68.52054007606787,20.070170772455704,4.383467503901812e-05,4.376464999722592e-05,False,True,supported_unique_top_model,True,False,False,14,Evenness cell bypass
data__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,data,published_main,image_balanced_selected50,image_qc_pass,,18,6,integrated_null,10,5,85.44953600411084,4.5788806080082617e-10,100.44953600411084,51.99916670049867,5.111218172255892e-12,5.103053100522095e-12,False,True,supported_unique_top_model,True,False,False,14,Null
data__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,data,published_main,image_balanced_selected50,image_qc_pass,,18,1,iod_nucleus_cell_chain,1,5,0.5166488849776948,0.7723446100453728,15.516648884977696,0.0,1.0,0.9735866573160712,True,True,supported_unique_top_model,True,False,False,4,IOD → nucleus → cell
data__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,data,published_main,image_balanced_selected50,image_qc_pass,,18,2,iod_to_nucleus,2,4,11.749501353110867,0.0193145747651618,22.826424430033946,7.309775545056251,0.0258644000165159,0.0251812347555655,False,True,supported_unique_top_model,True,False,False,4,IOD → nucleus
data__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,data,published_main,image_balanced_selected50,image_qc_pass,,18,3,iod_to_cell,2,4,17.865873683026255,0.0013108484852771,28.94279675994933,13.426147874971637,0.001214923779006,0.0011828335808962,False,True,supported_unique_top_model,True,False,False,4,IOD → cell
data__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,data,published_main,image_balanced_selected50,image_qc_pass,,18,4,morphology_null,3,3,27.5850401823119,0.00011246546282794868,35.299325896597615,19.78267701161992,5.061115730847463e-05,4.927434746685567e-05,False,True,supported_unique_top_model,True,False,False,4,Null
