fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,candidate_model,independence_claim,component_p,fitted_phylogenetic_parameter,component_fit_pass
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,proxy_null,iod ~ ltr,0.01813537665106654,9.999999999999994e-8,FALSE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,proxy_null,iod ~ even,0.05881443630942476,9.999999999999994e-8,TRUE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,proxy_null,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,ltr_only,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,ltr_only,iod ~ ltr + even,0.560057327456211,9.999999999999994e-8,TRUE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,evenness_only,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,evenness_only,iod ~ even + ltr,0.13619693243939107,9.999999999999994e-8,TRUE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,additive_composition,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__te_iod__image_balanced_selected50__all_selected__none,te_iod,data,focal,image_balanced_selected50,all_selected,NA,18,mediated_evenness,iod ~ even + ltr,0.13619693243939107,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,iod ~ ti,0.47630159210439593,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,iod ~ ltr,0.10747244523594263,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,iod ~ even,0.48719136436489907,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,ti ~ ltr,0.42326690033890846,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,ti ~ even,0.3315584472458871,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,proxy_null,ltr ~ even,2.6983832650644704e-4,1,FALSE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_only,ltr ~ even,2.6983832650644704e-4,1,FALSE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_only,ti ~ even,0.3315584472458871,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_only,iod ~ ti + even,0.6059104799923369,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_only,ti ~ ltr,0.42326690033890846,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_only,iod ~ ti + ltr,0.14768921027545817,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,ltr_terminal_internal_chain,ltr ~ even,2.6983832650644704e-4,1,FALSE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,ltr_terminal_internal_chain,ti ~ ltr + even,0.5353280401973814,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,ltr_terminal_internal_chain,iod ~ ti + even,0.6059104799923369,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,ltr_terminal_internal_chain,iod ~ ti + ltr,0.14768921027545817,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_evenness_additive,ltr ~ even,2.6983832650644704e-4,1,FALSE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_evenness_additive,ti ~ ltr,0.42326690033890846,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_evenness_additive,iod ~ even + ti + ltr,0.1863342539726789,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,terminal_internal_evenness_additive,ti ~ even,0.3315584472458871,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,te_terminal_internal_state,ltr ~ even,2.6983832650644704e-4,1,FALSE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,te_terminal_internal_state,iod ~ ti + even,0.6059104799923369,9.999999999999994e-8,TRUE
data__focal__terminal_internal_iod__image_balanced_selected50__all_selected__none,terminal_internal_iod,data,focal,image_balanced_selected50,all_selected,NA,16,te_terminal_internal_state,iod ~ ti + ltr,0.14768921027545817,9.999999999999994e-8,TRUE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,morphology_null,ns ~ iod,0.0014739186282707163,1,FALSE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,morphology_null,cs ~ ns,0.007362343565668249,9.999999999999994e-8,FALSE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,morphology_null,cs ~ iod,0.034130221637135014,9.999999999999994e-8,FALSE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,iod_to_nucleus,cs ~ iod,0.034130221637135014,9.999999999999994e-8,FALSE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,iod_to_nucleus,cs ~ iod + ns,0.09396046396949398,9.999999999999994e-8,TRUE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,iod_to_cell,ns ~ iod,0.0014739186282707163,1,FALSE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,iod_to_cell,cs ~ iod + ns,0.09396046396949398,9.999999999999994e-8,TRUE
data__focal__iod_morphology__composite_selected50__all_selected__none,iod_morphology,data,focal,composite_selected50,all_selected,NA,18,iod_nucleus_cell_chain,cs ~ ns + iod,0.5914252365434403,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,ns ~ iod,0.0014739186282707163,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,cs ~ ns,0.007362343565668249,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,ns ~ even,0.023202359562176433,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,ns ~ ltr,0.015049985906201796,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,cs ~ iod,0.034130221637135014,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,iod ~ even,0.05881443630942476,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,iod ~ ltr,0.01813537665106654,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,cs ~ even,0.20045707704596544,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,cs ~ ltr,0.09177246810245877,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,integrated_null,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,iod ~ ltr,0.01813537665106654,9.999999999999994e-8,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,ns ~ iod + ltr,0.9831068279453061,1,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,cs ~ ns + ltr,0.6976096385331962,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,iod ~ even,0.05881443630942476,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,ns ~ iod + even,0.6179112474292163,0.9514091424224814,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,cs ~ ns + even,0.9692398083665965,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,iod_morphology_only,cs ~ ns + iod,0.5914252365434403,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,iod ~ even + ltr,0.13619693243939107,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,ns ~ iod + ltr,0.9831068279453061,1,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,cs ~ ns + ltr,0.6976096385331962,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,ns ~ ltr + iod + even,0.49866409241049214,0.9795039513905273,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,cs ~ ltr + ns + even,0.7945927590936144,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_evenness_chain,cs ~ even + ns + iod,0.5971035208493938,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,ns ~ iod + even,0.6179112474292163,0.9514091424224814,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,cs ~ ns + even,0.9692398083665965,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,ns ~ iod + ltr,0.9831068279453061,1,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,cs ~ ns + ltr,0.6976096385331962,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_additive_chain,cs ~ even + ltr + ns + iod,0.673769676468464,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,iod ~ even + ltr,0.13619693243939107,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,ns ~ even + iod + ltr,0.5964615261286135,0.9795039513907519,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,cs ~ ns + ltr,0.6976096385331962,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,cs ~ ns + even,0.9692398083665965,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_nucleus_bypass,cs ~ even + ns + iod,0.5971035208493938,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,iod ~ even + ltr,0.13619693243939107,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,ns ~ iod + ltr,0.9831068279453061,1,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,cs ~ even + ns + ltr,0.6491493538275961,9.999999999999994e-8,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,ns ~ iod + even,0.6179112474292163,0.9514091424224814,TRUE
data__focal__integrated__composite_selected50__all_selected__none,integrated,data,focal,composite_selected50,all_selected,NA,18,te_cell_bypass,cs ~ even + ns + iod,0.5971035208493938,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,morphology_null,ns ~ iod,0.001404200571212602,0.8247233792793346,FALSE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,morphology_null,cs ~ ns,0.05976721306566452,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,morphology_null,cs ~ iod,0.21810725279996107,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_to_nucleus,cs ~ iod,0.21810725279996107,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_to_nucleus,cs ~ iod + ns,0.16734012784857877,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_to_cell,ns ~ iod,0.001404200571212602,0.8247233792793346,FALSE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_to_cell,cs ~ iod + ns,0.16734012784857877,9.999999999999994e-8,TRUE
data__focal__iod_morphology__eligible_candidate_pool__all_selected__none,iod_morphology,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_nucleus_cell_chain,cs ~ ns + iod,0.9159585571872211,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,ns ~ iod,0.001404200571212602,0.8247233792793346,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,cs ~ ns,0.05976721306566452,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,ns ~ even,0.024069049682041346,0.36866755670869805,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,ns ~ ltr,0.005746216822966341,9.999999999999994e-8,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,cs ~ iod,0.21810725279996107,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,iod ~ even,0.05881443630942476,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,iod ~ ltr,0.01813537665106654,9.999999999999994e-8,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,cs ~ even,0.38960905275904545,0.3602364393886963,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,cs ~ ltr,0.19320201134607745,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,integrated_null,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,even ~ ltr,1.1365392563594323e-5,1,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,iod ~ ltr,0.01813537665106654,9.999999999999994e-8,FALSE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,ns ~ iod + ltr,0.11732307146043956,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,cs ~ ns + ltr,0.8268484126900524,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,iod ~ even,0.05881443630942476,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,ns ~ iod + even,0.20470294002135558,0.5611647690169643,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,cs ~ ns + even,0.8893851006479669,9.999999999999994e-8,TRUE
data__focal__integrated__eligible_candidate_pool__all_selected__none,integrated,data,focal,eligible_candidate_pool,all_selected,NA,18,iod_morphology_only,cs ~ ns + iod,0.9159585571872211,9.999999999999994e-8,TRUE
