morphology_estimator,estimator_label,iod_subset,n_species,n_species_with_terminal_internal_proxy,minimum_morphology_specimens,total_manual_keeps,total_model_ranked_unlabeled,absolute_genome_size_used,confirmatory_claim_allowed
composite_selected50,Frozen composite top 50,all_selected,18,16,1,324,574,False,False
composite_selected50,Frozen composite top 50,high_qc,18,16,1,324,574,False,False
composite_selected50,Frozen composite top 50,image_qc_pass,18,16,1,324,574,False,False
eligible_candidate_pool,All eligible candidates,all_selected,18,16,1,324,574,False,False
eligible_candidate_pool,All eligible candidates,high_qc,18,16,1,324,574,False,False
eligible_candidate_pool,All eligible candidates,image_qc_pass,18,16,1,324,574,False,False
image_balanced_selected50,Equal-image frozen top 50,all_selected,18,16,1,324,574,False,False
image_balanced_selected50,Equal-image frozen top 50,high_qc,18,16,1,324,574,False,False
image_balanced_selected50,Equal-image frozen top 50,image_qc_pass,18,16,1,324,574,False,False
literal_largest100_eligible,Literal largest 100,all_selected,18,16,1,324,574,False,False
literal_largest100_eligible,Literal largest 100,high_qc,18,16,1,324,574,False,False
literal_largest100_eligible,Literal largest 100,image_qc_pass,18,16,1,324,574,False,False
literal_largest50_eligible,Literal largest 50,all_selected,18,16,1,324,574,False,False
literal_largest50_eligible,Literal largest 50,high_qc,18,16,1,324,574,False,False
literal_largest50_eligible,Literal largest 50,image_qc_pass,18,16,1,324,574,False,False
manual_keep_pool,Manual keeps,all_selected,18,16,1,324,574,False,False
manual_keep_pool,Manual keeps,high_qc,18,16,1,324,574,False,False
manual_keep_pool,Manual keeps,image_qc_pass,18,16,1,324,574,False,False
