family,scenario,effect_scale,parent,child,true_coefficient,n_successful,mean_estimated_coefficient,mean_bias,rmse,interval_coverage_rate,mean_interval_width
integrated,observed_chain,0.5,even,iod,-0.21564564181401147,100,-0.2553142947654792,-0.03966865295146773,0.25676467228777855,0.88,0.8753807981292835
integrated,observed_chain,0.5,iod,ns,0.275762630166431,100,0.2639264993580085,-0.01183613080842248,0.2559693304580301,0.86,0.8703477310842908
integrated,observed_chain,0.5,ltr,even,-0.3270999654142135,100,-0.3613722887763878,-0.034272323362174305,0.23016597288666382,0.93,0.8473875511321667
integrated,observed_chain,0.5,ns,cs,0.31235473456550783,100,0.29532620880622695,-0.017028525759280863,0.2365451945253188,0.94,0.8815107921438137
integrated,observed_chain,1,even,iod,-0.43129128362802294,100,-0.41104247536231403,0.0202488082657089,0.18227632950403716,0.97,0.8112240980883907
integrated,observed_chain,1,iod,ns,0.551525260332862,100,0.5294463656650594,-0.022078894667802603,0.17258433351460045,0.98,0.7649533683740745
integrated,observed_chain,1,ltr,even,-0.654199930828427,100,-0.6319298543160372,0.022270076512389755,0.13881951162792955,0.99,0.7119406212885785
integrated,observed_chain,1,ns,cs,0.6247094691310157,100,0.6263430614909001,0.0016335923598844305,0.15218953480322428,0.99,0.7188415319397701
integrated,observed_chain,1.5,even,iod,-0.6469369254420344,100,-0.6543287735333858,-0.00739184809135139,0.1342920782606993,0.99,0.709071886785084
integrated,observed_chain,1.5,iod,ns,0.827287890499293,100,0.8432657101801213,0.01597781968082832,0.09125876596599351,0.99,0.5283756821064203
integrated,observed_chain,1.5,ltr,even,-0.98,100,-0.9827304561398379,-0.0027304561398378705,0.032434496797631315,0.99,0.17832641341727226
integrated,observed_chain,1.5,ns,cs,0.9370642036965235,100,0.9437358187711398,0.0066716150746161645,0.060922139175077945,0.97,0.3093319128440827
iod_morphology,observed_chain,0.5,iod,ns,0.275762630166431,100,0.28494711363031633,0.009184483463885342,0.24981649962810237,0.87,0.875664678617541
iod_morphology,observed_chain,0.5,ns,cs,0.31235473456550783,100,0.32646259288357365,0.01410785831806582,0.20847987340948765,0.89,0.8274167171254425
iod_morphology,observed_chain,1,iod,ns,0.551525260332862,100,0.5465586162176285,-0.004966644115233501,0.16496566236829,0.98,0.7739593575040725
iod_morphology,observed_chain,1,ns,cs,0.6247094691310157,100,0.6410849607699234,0.016375491638907738,0.13586852726165513,0.99,0.6974727585728864
iod_morphology,observed_chain,1.5,iod,ns,0.827287890499293,100,0.8401421967349794,0.012854306235686357,0.09616934146673768,0.99,0.5397857634557491
iod_morphology,observed_chain,1.5,ns,cs,0.9370642036965235,100,0.9373038457707046,2.396420741810504e-4,0.048479919738109285,1,0.3179337720493051
te_iod,observed_chain,0.5,even,iod,-0.21564564181401147,100,-0.20554315244554008,0.010102489368471388,0.26578115132176705,0.87,0.8748226961758034
te_iod,observed_chain,0.5,ltr,even,-0.3270999654142135,100,-0.27217136867088354,0.05492859674332996,0.2429502397240541,0.93,0.8645175080010932
te_iod,observed_chain,1,even,iod,-0.43129128362802294,100,-0.41518672886236024,0.016104554765662714,0.21160995798838506,0.92,0.8220937041336042
te_iod,observed_chain,1,ltr,even,-0.654199930828427,100,-0.6325848470372205,0.02161508379120645,0.1545099352036688,0.98,0.7071976061818314
te_iod,observed_chain,1.5,even,iod,-0.6469369254420344,100,-0.649314084332035,-0.002377158890000513,0.13329766869456772,0.98,0.7126344661554505
te_iod,observed_chain,1.5,ltr,even,-0.98,100,-0.9908241291646249,-0.010824129164624949,0.03331208106695511,0.97,0.18476758327141155
