species,tree_tip,tree_match_type,te_sra_accession,te_assembly_accession,has_te_composition,has_terminal_internal_proxy,has_microscopy_morphology,has_image_iod_sensitivity,microscopy_n_specimens,microscopy_n_images,genome_iod_n_specimens,genome_iod_n_images,genome_iod_status,genome_and_microscopy_are_independent_samples,taxon_decision_note,root_to_tip_myr_before,terminal_padding_myr,terminal_padding_years,root_to_tip_myr_after
amphileucus,amphileucus,exact_after_genus_prefix_removal,SRX20502537,GCA_032360725.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
anicetus,anicetus,exact_after_genus_prefix_removal,SRX21425396,GCA_033119125.1,True,True,True,True,1,1,1,1,sensitivity_limited,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
apalachicolae,apalachicolae,exact_after_genus_prefix_removal,SRX19952657,GCA_030264955.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708336,1.0000000010279564e-06,1.0000000010279564,16.708337
auriculatus,auriculatus,exact_after_genus_prefix_removal,SRX19953419,GCA_030264895.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708334999999998,2.0000000020559128e-06,2.0000000020559128,16.708337
bairdi,bairdi,exact_after_genus_prefix_removal,SRX21425397,GCA_034783875.1,True,True,True,True,1,1,1,1,sensitivity_limited,True,No tree-tip substitution,16.708334999999998,2.0000000020559128e-06,2.0000000020559128,16.708337
campi,campi,exact_after_genus_prefix_removal,SRX21425398,GCA_033118305.1,True,True,True,True,2,2,2,2,minor_caution,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
fuscus,fuscus,exact_after_genus_prefix_removal,SRX20497025,GCA_032353935.1,True,True,True,True,4,4,1,1,sensitivity_limited,True,Use accession-specific expert-reidentified fuscus resource on fuscus tip; do not substitute planiceps tip,16.708334999999998,2.0000000020559128e-06,2.0000000020559128,16.708337
gvnigeusgwotli,gvnigeusgwotli,exact_after_genus_prefix_removal,SRX20502827,GCA_032353775.1,True,True,True,True,1,1,1,1,sensitivity_limited,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
intermedius,intermedius,exact_after_genus_prefix_removal,SRX20502776,GCA_032275315.1,True,True,True,True,2,2,2,2,minor_caution,True,No tree-tip substitution,16.708336000000003,9.999999974752427e-07,0.9999999974752427,16.708337
kanawha,kanawha,exact_after_genus_prefix_removal,SRX20502939,GCA_032353855.1,True,False,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
marmoratus,marmoratus,exact_after_genus_prefix_removal,SRX19954879,GCA_031753695.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
mavrokoilius,mavrokoilius,exact_after_genus_prefix_removal,SRX20503049,GCA_032354855.1,True,True,True,True,2,2,2,2,minor_caution,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
monticola,monticola,exact_after_genus_prefix_removal,SRX19955091,GCA_031753675.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708336,1.0000000010279564e-06,1.0000000010279564,16.708337
ocoee,ocoee,exact_after_genus_prefix_removal,SRX19952863,GCA_030264995.1,True,True,True,True,3,3,1,1,sensitivity_limited,True,No tree-tip substitution,16.708336,1.0000000010279564e-06,1.0000000010279564,16.708337
perlapsus,perlapsus,exact_after_genus_prefix_removal,SRX20503048,GCA_032275285.1,True,True,True,True,3,3,1,1,sensitivity_limited,True,No tree-tip substitution,16.708336,1.0000000010279564e-06,1.0000000010279564,16.708337
tilleyi,tilleyi,exact_after_genus_prefix_removal,SRX21394251,GCA_034782015.1,True,True,True,True,2,2,2,2,minor_caution,True,No tree-tip substitution,16.708337,0.0,0.0,16.708337
valtos,valtos,exact_after_genus_prefix_removal,SRX20503015,GCA_032357565.1,True,False,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708334999999998,2.0000000020559128e-06,2.0000000020559128,16.708337
welteri,welteri,exact_after_genus_prefix_removal,SRX19958882,GCA_030264495.1,True,True,True,True,2,2,1,1,sensitivity_limited,True,No tree-tip substitution,16.708336,1.0000000010279564e-06,1.0000000010279564,16.708337
