species,te_level,composition_mode,observed_richness,shannon_entropy,gini_simpson,hill_q1,hill_q2,pielou_evenness
abditus,order,classified_conditional,10,1.0376923854122775,0.5382492714848928,2.8226957990170622,2.1656706492175744,0.4506640768975746
adatsihi,order,classified_conditional,10,1.087789529554332,0.5642321183208945,2.9677067886958737,2.2947996904838175,0.4724209901575807
aeneus,order,classified_conditional,10,1.1024614208493546,0.5727123527434934,3.0115696488130395,2.3403438091897057,0.4787929115860934
amphileucus,order,classified_conditional,10,1.1273590229229562,0.5777305102124376,3.0874917285024366,2.368155938765752,0.4896058027792815
anicetus,order,classified_conditional,10,1.1003166499118506,0.5724070872553467,3.0051174434786065,2.3386729999362093,0.4778614494029889
apalachicolae,order,classified_conditional,10,1.0785046288346833,0.5619034382691933,2.9402794528836704,2.282601799131355,0.4683886090100178
aureatus,order,classified_conditional,10,1.0944721806277784,0.547432314766674,2.987605351175829,2.209614235900293,0.4753232286432633
auriculatus,order,classified_conditional,10,1.0131506367476701,0.5277062746752152,2.7542650479125133,2.117326456777135,0.44000573087627914
bairdi,order,classified_conditional,10,0.9982899183191617,0.510872814689814,2.713637316879785,2.0444580265270633,0.43355180286566
balsameus,order,classified_conditional,10,1.0980804998854614,0.570918909581347,2.9984050577758343,2.330561803654184,0.4768903017858203
campi,order,classified_conditional,10,1.0678789098530852,0.5522721190984157,2.9092022707910172,2.2334995041772068,0.46377391789005507
carolinensis,order,classified_conditional,10,1.097585648831243,0.5728888784178237,2.996921660932537,2.3413110768355385,0.4766753907036092
catahoula,order,classified_conditional,10,1.0166281758834557,0.5227530666452992,2.7638597857758462,2.0953513372432235,0.4415160069335534
cheaha,order,classified_conditional,10,1.0317943575949131,0.5350373228012419,2.8060964604744396,2.1507102592075986,0.4481025959623814
conanti,order,classified_conditional,10,1.07701023141163,0.5636372269685328,2.935888788362209,2.2916712006683655,0.4677396004554153
fuscus,order,classified_conditional,10,1.0300013025476809,0.5300386016638509,2.801069483223262,2.127834336054831,0.44732388204961965
gvnigeusgwotli,order,classified_conditional,10,1.1246061276003843,0.5733714145837427,3.0790038754104856,2.343959205228384,0.48841023553143126
intermedius,order,classified_conditional,10,1.097809139674949,0.5633654867604805,2.9975915203339927,2.290244975324343,0.4767724515437866
kanawha,order,classified_conditional,10,1.0673859025536119,0.5443398443151077,2.9077683663275997,2.194618044882426,0.46355980754035575
lycos,order,classified_conditional,10,1.0664845375039675,0.5523541097102227,2.9051485864161277,2.2339085909013123,0.46316834967311477
marmoratus,order,classified_conditional,10,1.110916334683623,0.5723612394904102,3.0371401565929665,2.338422267449199,0.48246483400928364
mavrokoilius,order,classified_conditional,10,1.0837999647498724,0.5537915890188454,2.955890516706091,2.241105222111634,0.47068834417780847
monticola,order,classified_conditional,10,1.0648393313208577,0.5567160073067414,2.9003729475314004,2.2558901663114526,0.4624538457061971
ocoee,order,classified_conditional,10,1.0720089776193997,0.558196527252047,2.9212423193090626,2.263449840672701,0.4655675835308519
orestes,order,classified_conditional,10,1.069289371468869,0.5551043940398965,2.9133084840738874,2.2477183110000776,0.46438647358672624
organi,order,classified_conditional,10,1.1982691464862383,0.6352683519842168,3.314375257119216,2.7417417858861723,0.5204016781538927
pascagoula,order,classified_conditional,10,1.0064621821753013,0.5270013932872446,2.7359047407457906,2.1141711324475088,0.43710097196303876
perlapsus,order,classified_conditional,10,1.0795581312606926,0.5608204077609055,2.9433786766536647,2.2769728322339446,0.4688461393003053
santeetlah,order,classified_conditional,10,1.0792030924132199,0.5624673928196081,2.94233384836892,2.285543942528851,0.46869194788798657
tilleyi,order,classified_conditional,10,1.0999897487263788,0.5754859294303024,3.0041352275763695,2.3556345226861404,0.47771947802201087
valentinei,order,classified_conditional,10,1.0121896297105264,0.5317084348684258,2.751619451241428,2.135421763830048,0.4395883708229774
valtos,order,classified_conditional,10,0.9826705185620767,0.5027805859966843,2.671581231255033,2.0111845431548887,0.42676838374051695
welteri,order,classified_conditional,10,1.054002602043613,0.5492587819513539,2.869112079801529,2.218567905391948,0.4577475139792103
wrighti,order,classified_conditional,10,1.2167756293302157,0.6409935606065693,3.376283773491583,2.785465357361215,0.5284389415324693
abditus,order,mass_aware_unresolved_bin,11,1.1736459838845186,0.5765052971452902,3.2337614131087906,2.361304623786698,0.4894483913448232
adatsihi,order,mass_aware_unresolved_bin,11,1.241194332369493,0.6079254475447531,3.4597430813565992,2.5505353350218876,0.5176182406502704
aeneus,order,mass_aware_unresolved_bin,11,1.2450905334642768,0.6115784608666619,3.4732492303884683,2.5745225206388933,0.519243082710298
amphileucus,order,mass_aware_unresolved_bin,11,1.2837337719926207,0.6220656360607213,3.610093859948828,2.6459620913452215,0.5353585648861507
anicetus,order,mass_aware_unresolved_bin,11,1.2498350343083486,0.6139509366347197,3.4897672181116888,2.5903443238089094,0.5212216932434156
apalachicolae,order,mass_aware_unresolved_bin,11,1.2250199980954903,0.6028764327479342,3.4042341603099153,2.518107920211321,0.510873019348288
aureatus,order,mass_aware_unresolved_bin,11,1.2604098585278463,0.5985763296508428,3.5268667075739137,2.491133617333036,0.5256317374765637
