,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
D.apalachicolae,0.040684884856192406,1.0281829014860007,0.0,0.0,0.8020352471114807,0.1935023820925227,7.44333254941065,0.0,0.037082812336820745,0.0,55.52111465899545,0.19391716775449291,0.0008552070261635363,0.09549491345881699,0.02720409448513853,5.655276927545502,9.9440567195449,0.2466296832012212,0.014900751917192907,0.3717816433123967,0.0,2.3380233406198374,0.00957352481671588,4.750230250904872,0.008954166251005119,0.04762882751737097,1.3370604277543536,9.830153192855189,0.06232372474571216
D.carolinensis,0.048751802586386624,1.0041971827577294,0.0,0.0,0.8970189484276951,0.21825267525293707,7.936877395786348,0.0,0.04258495731406971,0.0,53.88745380030583,0.2351236065812255,0.0019652912942373147,0.10779465843305668,0.03488825002518921,5.447149428313456,10.274054851304761,0.24626403339960273,0.016086273186164686,0.24876306411046223,0.0,2.358800217178686,0.007404511326231028,5.192877741119265,0.009283081358826386,0.04213598597752096,1.3889610607563467,10.276457264634033,0.07685391856993587
D.ocoee,0.0482154827121805,0.9686148572774521,4.369506517820701e-05,0.0,0.7463535822465286,0.1836314461545986,7.598313577090042,0.0001933017510271725,0.03609825418962698,0.0,55.0584256107676,0.2018114627954011,0.0014851104839375075,0.08679913829574998,0.012907261387581586,6.465607445939623,9.45549393223847,0.2175337298447023,0.016047827893136416,0.4602809470605642,2.6217039106924204e-05,2.5506224742899084,0.006361349324795027,4.836761588582799,0.006467521811526551,0.047316538266782886,1.2736518029159103,9.637111361970929,0.08382448260484195
D.abditus,0.035772267127217774,0.9755571225325905,9.003283951521297e-05,0.0,0.7542840295193359,0.16630792115656018,7.266594260366027,0.0,0.0405124344613653,0.0,57.32762875559996,0.19566491680401998,0.0014152422375850258,0.09973529629853117,0.017504973987551672,5.155984496779166,9.701477645355313,0.2723966992737574,0.012574011033226017,0.46045014115903576,0.00013554258990030007,2.2311146493002973,0.009647943748981596,4.795643349868978,0.009878575817328785,0.04396500885778842,1.181499842964228,9.188547238710202,0.05561760161153751
D.orestes,0.04018897307019681,0.9449831013078357,3.905801930784522e-05,0.0,0.8420008067145756,0.1776484856314303,7.46607792614621,9.437954173731779e-05,0.0692159966062295,0.0,55.924856712054506,0.22189078469222354,0.0012454385796014712,0.09737740479304453,0.018420850407757237,5.505552195089659,9.612328188695336,0.2745360004150907,0.014466770203926626,0.33865422117670807,0.0,2.313121552151345,0.010744861111588221,5.0031093224772185,0.008676642944928042,0.04565216549872678,1.4142225596180567,9.568623993887433,0.08627160916532792
D.organi,0.052707330323735,1.101298363643062,2.021517497469005e-05,0.0,1.170462369457323,0.20297572581727294,8.388089550101478,0.0,0.01614790946180292,0.0,48.948382090378466,0.23904790557827396,0.0022215923456774095,0.09541341051889596,0.00884856977470902,9.101936393334093,10.284058903408837,0.15543849572336618,0.006430225623284797,0.42126915432136086,0.0,1.7984193649457612,0.005170654070238528,5.216767099717437,0.008458527665779553,0.052621900440451556,1.5904731983665605,11.09323954260137,0.04010150720578497
D.pascagoula,0.021270268775778246,0.8156404918422782,0.0,0.0,0.6245032416325133,0.13310982245687758,6.575638734899866,0.0,0.03400970122227483,0.0,57.341386351536435,0.1435813140539397,0.0024401716515701838,0.07268504546497304,0.013609645044445893,6.646048663231982,8.145111095331915,0.17973554757958318,0.017254844091013348,0.601843950260549,0.0,2.287313520643013,0.006351246116735104,5.0896990193675755,0.005177276735237713,0.04769781480840413,0.9300303319500834,10.200490782729222,0.06537111857373216
D.valentinei,0.024161011879596184,0.7822560763416629,0.0,0.0,0.5923318620239024,0.1336770803093293,6.278676644460695,3.3819486639256814e-05,0.03198813827370912,0.0,56.86889334081765,0.12826862631072183,0.0012437926952704758,0.08375291628068199,0.017185395299770295,7.436517346077818,7.805321975023228,0.17641437178681507,0.015873500350582413,0.6445651325769568,0.0,2.4566045401963574,0.00739673868058047,5.440945259654998,0.005928254875446438,0.05309948952762629,1.0674480472198142,9.893684424789955,0.05373221506019567
D.aeneus,0.043006682413481025,0.7731104486025513,2.0068259938535816e-05,0.0,0.7220773987324531,0.2265555366169157,8.081732173500827,0.0,0.03217771556224751,0.0,53.26221599567443,0.14409973912345764,0.0016593775201177317,0.10169189358654254,0.01552025708286524,8.032028846534256,10.524334143864934,0.18594513822849543,0.009085436427773525,1.0477431141890183,2.0068259938535816e-05,2.0612260963761675,0.006846755137430059,4.346270686290434,0.0069796070182231666,0.0273423352242571,1.0188758587862319,9.259033030508242,0.07040159647877708
D.auriculatus,0.026594091456704987,0.9620410703143404,0.0,0.0,0.5873692273791955,0.12275950399161042,6.092308532524644,0.0,0.038016007709303114,0.0,58.36217139405835,0.1333354332906188,0.0012893715076016951,0.08501112917078153,0.01439124549687638,6.053929005313761,7.926864498259933,0.22257880336308192,0.012212798747517893,0.6959876406962177,0.0,2.718203175562172,0.008695337927570879,5.289821694036465,0.004451323606305617,0.06892742426488715,1.0421748480155308,9.463748848520117,0.06711759478641133
D.conanti,0.037346936061690456,1.0202316412715045,8.262479856136706e-05,0.0,0.8179483443648794,0.18152944977707428,6.876481145876865,0.0,0.031722519750051366,0.0,54.91824792093176,0.20516989373674735,0.005502126338648738,0.10266849411285199,0.02292409881616493,6.932038482119092,9.475608907109837,0.2372719340926308,0.017313387415292005,0.3638503581508943,0.0,2.392823259018371,0.007386419791007569,4.846122731242126,0.0076569600006510885,0.05393159120258954,1.4554890649656875,9.889214153129346,0.10143755592567219
D.marmoratus,0.045731364009476375,0.9913983997208591,0.00011154798730362847,0.0010688742071080562,0.9926799281960003,0.187684964167412,7.31448752838874,0.0,0.030748788454516413,0.0,53.93073943701492,0.32452785830887376,0.003735711533706105,0.13559103539353715,0.015788879043095318,5.043216173370184,9.689307759447866,0.26119075831241145,0.014592921626707559,0.6357392299507792,0.0,2.2722908221262643,0.012558953588807036,5.002405272576917,0.007657973069010174,0.08227300753067848,1.54623286771582,11.33820807036394,0.12003187389507167
D.monticola,0.04095188781480598,0.9562461512780128,0.0,0.0,0.8027306298403083,0.18919576014865594,7.271737529867115,0.0,0.042314235594179864,0.0,55.57825983162302,0.21445929388463486,0.0031242954095590555,0.09727986640102104,0.016500085231771062,5.591349955503885,9.932497496100941,0.26097808714106296,0.02031092515301196,0.28620504949869563,0.0,2.2441074954850584,0.010445604036183036,4.944240514539141,0.007516313353819886,0.05520002009533304,1.2734740872424604,10.10566591362533,0.05520897113199121
D.santeetlah,0.03844472050408228,0.9342644486737037,0.0,0.0,0.7500914568774057,0.18208794348567167,7.524825172478083,0.0,0.03406292253753235,0.0,55.0230378198724,0.20892511850629558,0.0012184678837465048,0.09186781910865265,0.016354098231125415,6.061471520529106,10.097634601679301,0.21731583292717285,0.016669686289054422,0.4217139558711674,0.0,2.5821574725463177,0.013583018369679243,4.946476427909862,0.007600525266388963,0.04228581996108174,1.2019195566419587,9.51201937841787,0.0739722154323384
D.welteri,0.034715859122067275,0.9120428285287718,7.081751020758015e-05,0.0001740122040203382,0.7533898996118623,0.1506739539954223,6.982233016858773,0.0,0.030365190232978987,0.0,56.20283829693181,0.17903285021061977,0.0012145688052039771,0.0940769393735321,0.2884434782241322,6.298442299500628,9.642489392446443,0.24540741049269388,0.01804694513123821,0.6278200254078675,0.0,2.234481253322087,0.008124247827700765,4.558367066761185,0.008238598704628416,0.04336966185914561,1.3215160994805772,9.271778037201612,0.09264725025478661
D.wrighti,0.05024391686667318,1.1007554133618933,6.0117508745183405e-05,2.126798658438092e-05,1.1001156723254353,0.20856521937261766,8.778849775675203,0.0,0.021136692213866676,0.0,48.05750049717463,0.2371396100681968,0.003417623657532785,0.08854543390648477,0.011712280212018573,8.99061171521803,10.330709818485108,0.143418966092846,0.008347826520946742,0.6586299860632302,0.0,1.997052455560613,0.006248818031645572,5.440369542326256,0.008879526185556263,0.04985981702895926,1.4968692531241752,11.156907718688284,0.05403103634446527
D.adatsihi,0.038953963030946705,0.9475728160843081,1.880869318732772e-05,0.0,0.7672938107637539,0.22536898243720238,7.7885210055936405,0.0,0.03995288499652574,0.0,55.341713696880724,0.19533137059037434,0.0018704343588137747,0.0886520699784902,0.020403953788277574,5.399222306914304,10.411894921602597,0.22339445613252995,0.017107021760537224,0.41505542619139646,9.404346593663859e-05,2.5173418405653814,0.01070678418355347,4.777652582592676,0.01277380803417452,0.043705348114063285,1.3066055190039236,9.357614334213292,0.05117781002939039
D.amphileucus,0.04543748697725003,1.1742967104637985,0.00019275115588049404,0.0002609850650621889,1.0030312689277618,0.17642821699591027,8.54551237080131,0.0005706719221768492,0.021355800065394042,0.0,52.82073275122913,0.36768735042911865,0.002812239364296408,0.1081506175522158,0.013082534952691478,4.114101231236559,9.84103902125075,0.31417847304975827,0.014624415698964843,0.4413702062867846,0.0,2.73110436325009,0.012692149611648183,5.42819405852272,0.011959695219302307,0.06841419576282844,1.4286997090549802,11.254266338021662,0.05980438713195853
D.fuscus,0.02885280226032342,0.8828378682477809,0.0,0.0,0.7063041852348982,0.13879312986420025,7.308673156948031,0.00020199717222662325,0.03943633187848611,0.0,57.96541116384131,0.1772955365451694,0.0025588802274288656,0.08691776224415368,0.017680862360841328,5.585778052427431,9.457731546194523,0.264745598745024,0.01349652834505057,0.5882203790395888,0.0,2.3978332436659158,0.006990723124003477,4.508205184363411,0.005406167528536855,0.04183910071108304,1.1329242080113262,8.549102753810615,0.09276283720863973
D.aureatus,0.036485750576707714,1.0272856654566997,0.0,0.00031605830467597653,0.8035183972548096,0.1331284346872516,8.816753666890472,0.0,0.020471249771401467,0.0,57.050503695733624,0.3253295997183928,0.0008938641790955422,0.09939819959259959,0.014073897785824003,3.738751495622722,8.004530465731223,0.7550411632751947,0.018164175010419427,0.46025883757039326,0.0,2.7964383693886754,0.010302696128956354,4.580223919086821,0.008378813775552826,0.07527379858123212,1.317555045671066,9.819396087810189,0.08752665239600142
D.balsameus,0.039470619522853086,0.9658746121438516,0.00013242668238738086,0.0,0.7980393286815907,0.19286192603041868,8.45179053437119,0.00023044643219072923,0.040533767067658925,0.0,53.95780171621887,0.1957673114307122,0.0024474264603959856,0.09868841786527217,0.02582787067267276,5.585694517083525,10.290168278759484,0.2124378703482874,0.01668122773388031,0.4039297870049241,0.0,2.6542905410258633,0.008977142119744756,4.960457472655251,0.016275679354081696,0.03495570982272743,1.348727085656368,9.630204770698839,0.06773351415696713
D.intermedius,0.04204788075945063,0.9925842418810211,0.0,0.0013398380011835534,0.9429921333881911,0.18142158878942805,8.13471087663889,0.0,0.0312336574444168,0.0,54.73435590045186,0.2913600727518169,0.0012272433358866987,0.11180303621336515,0.021449091159805745,4.036691943826662,10.072881037567159,0.2184106695526507,0.01021684249675987,0.6789611096934782,0.0,2.334035800366115,0.010227883706811785,4.870819800281585,0.008728975249182619,0.06460045099363092,1.6165475436719496,10.511743074739613,0.07960930703908531
D.cheaha,0.03254759254542259,0.8710345520421998,1.8180090869423672e-05,0.0,0.7326523076274494,0.17894028384804994,7.995793112030275,0.0010164663134733247,0.047498849467968486,0.0,57.07295887381778,0.16262315420806084,0.0009964184050488235,0.08371110005645367,0.01975503463186525,4.733509790291481,9.113254313045381,0.2268971221805235,0.02097608922820476,0.3091436042314555,0.0,2.495906073900371,0.006388060559536328,4.903713917870921,0.006842189267760904,0.06243105465145258,1.2417198807265502,9.593700695142173,0.08597128381926811
D.gvnigeusgwotli,0.047315964281531925,1.2835469831842365,0.0,0.0006288326194525675,0.9240268547905556,0.19001771178504687,8.365180505081312,0.0005720977719738913,0.025779698569269986,0.00025017243831660627,54.0314584383503,0.3797932094135501,0.0022527071793003797,0.09550348877659373,0.016657582266629528,3.8267523697796015,9.64712748855102,0.3025117470689029,0.015534309302181798,0.5896303801574034,0.0,2.764925042182648,0.008707772212909314,5.2621488886466805,0.015654196966310947,0.06749816685792835,1.3751347406097343,10.692251537940841,0.06913911321577315
