species,n_dnapipete_runs,run_labels,n_components,total_reads,total_aligned_bases,median_hitlength_contig_ratio,fraction_components_classified
abditus,1,"""SRX19952928""",393166,7630987,1008853191,0.9789915966386554,0.9333589374462695
adatsihi,1,"""SRX20502416""",377406,7313074,954833333,0.9773755656108597,0.9310238840929926
aeneus,1,"""SRX19953415""",345554,6957577,929912753,0.9698630136986301,0.9427672664764407
amphileucus,1,"""SRX20502537""",339240,7481224,983107549,0.9621848739495799,0.917621742719019
anicetus,1,"""SRX21425396""",333280,6925521,925729223,0.9795918367346939,0.9549657945271244
apalachicolae,1,"""SRX19952657""",392575,7383557,968576192,0.976027397260274,0.9284493408902758
aureatus,1,"""SRX20502577""",265138,7388684,1003351480,0.96875,0.9391977008199504
auriculatus,1,"""SRX19953419""",329012,7416911,1014522470,0.9857142857142858,0.9537311708995416
bairdi,1,"""SRX21425397""",323425,7452750,1019291199,0.9868073878627969,0.9674978743139832
balsameus,1,"""SRX20502826""",344828,6989579,925575840,0.9785714285714285,0.9517469579036505
campi,1,"""SRX21425398""",252693,8398350,909283676,0.9850746268656716,0.9486570660841416
carolinensis,1,"""SRX19952691""",387494,7283110,949707770,0.9735849056603774,0.9294853597733126
catahoula,1,"""SRX21425399""",241927,8725025,949140754,0.9852941176470589,0.955341900655983
cheaha,1,"""SRX20502857""",354776,7630635,1006947145,0.9785276073619632,0.939046045955758
conanti,1,"""SRX19953420""",352109,7137840,960417008,0.9812206572769953,0.9551871721540773
fuscus,1,"""SRX20497025""",331578,7356442,990148878,0.9841269841269841,0.9558143181996392
gvnigeusgwotli,1,"""SRX20502827""",339979,7453246,980250232,0.9609929078014184,0.9116445427511699
intermedius,1,"""SRX20502776""",354519,7513745,987592604,0.9703947368421053,0.9238968856394156
kanawha,1,"""SRX20502939""",309470,7341992,988054692,0.9757281553398058,0.9495459979965748
lycos,1,"""SRX21425400""",311451,6996885,937201632,0.9842019881495413,0.9627902944604448
marmoratus,1,"""SRX19954879""",367672,7578648,1001497842,0.970954356846473,0.9246991884070584
mavrokoilius,1,"""SRX20503049""",348196,7598060,1000741818,0.9710144927536232,0.9309612976599386
monticola,1,"""SRX19955091""",398976,7486394,984736203,0.9777777777777777,0.9315272096567212
ocoee,1,"""SRX19952863""",353000,7148010,961075648,0.9818181818181818,0.9587592067988668
orestes,2,"[""SRX19952890"",""SRX19952890R2""]",369985,7404873,971682392,0.9803438616826041,0.9425935517070613
organi,1,"""SRX19952929""",342755,7447317,987535222,0.9382716049382716,0.8746334845589415
pascagoula,1,"""SRX19953381""",359113,7906874,1060009031,0.9828431372549019,0.9441763456070931
perlapsus,1,"""SRX20503048""",342727,7209720,962858471,0.9801980198019802,0.9579752981235794
santeetlah,1,"""SRX19955089""",271549,8394683,905820596,0.9844961240310077,0.9513973537004371
tilleyi,1,"""SRX21394251""",385819,7237155,944540821,0.9766536964980544,0.9303818629979342
valentinei,1,"""SRX19953382""",343653,7951916,1068056457,0.9833333333333333,0.9463150328965555
valtos,1,"""SRX20503015""",323129,7528881,1018105694,0.9847770911498566,0.961287906687422
welteri,1,"""SRX19958882""",378809,7712751,1022938001,0.98125,0.9417067704304808
wrighti,1,"""SRX19958881""",315016,7002140,943924404,0.9509803921568627,0.9097442669578688
