species,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR
abditus,0.01422396476409308,0.0016459158782394846,0.16702126575756382,0.6378693198311491,0.0038732656362221113,8.30977012011792e-5,0.008246234827669247,0.1633465913540212,0.0022913768080547988,0.0013989674417859608
adatsihi,0.01813133820293839,0.0016806319017401408,0.17829576881786763,0.6113381657839777,0.003571138563863565,1.0990589593495705e-4,0.010432883261475479,0.17257900513364782,0.0019220868031257221,0.0019390756354286326
aeneus,0.01536383797124239,0.0012186809853460387,0.20363908620596124,0.6005511880637007,0.008860977948720952,5.902796500560547e-5,0.009515386257034261,0.15730321197307134,0.0015725760896934144,0.0019160265402240262
amphileucus,0.024703653516032573,0.003090392184188019,0.15798132414938493,0.5984727175923306,0.003709692580531352,1.0052058790672946e-4,0.01197205807387068,0.19584611876688854,0.002640652979820887,0.0014828695690457174
anicetus,0.01817939366013266,0.0017703772824902298,0.17890358982287186,0.6022117392955989,0.002538304723493523,5.8479121976120956e-5,0.012442760559756284,0.1800698517245311,0.0021093699659726,0.0017161338431767043
apalachicolae,0.01664503321479298,0.0016459565703742269,0.17788751890209606,0.613098244580161,0.0031556589116921467,7.600239289655961e-5,0.01007558555855225,0.17368018692883022,0.0020933770445136814,0.0016424358960908582
aureatus,0.02691028840585978,0.002752045704471742,0.13878404434953262,0.6338923400225782,0.0038934463939868393,7.087851360447595e-5,0.011342157413867212,0.17484154700806975,0.006387084949815498,0.0011261672382139052
auriculatus,0.010942125314434769,0.0011270295836727357,0.15258771722063352,0.6475484662517069,0.005882897303266321,3.76252078460843e-5,0.00726138708540933,0.17169374934065607,0.0018813670897360737,0.001037635602638196
bairdi,0.013958902960088927,0.0011901604089029237,0.1510124524135047,0.6657161897296119,0.005095527714342771,3.295083638987475e-5,0.0087569499945817,0.15113017625675493,0.001944629286368535,0.0011620603994537283
balsameus,0.019435332482433718,0.001685154235661406,0.1786407581400148,0.6038916213614225,0.0034770053616539117,1.4010015155929082e-4,0.010422702578266614,0.17881852736209236,0.001828653488756771,0.001660144838138642
campi,0.015427035141015611,0.0014107448728962488,0.16770744404953916,0.6244755652849421,0.0040201510023495785,4.475503502368472e-5,0.012911077487360874,0.17089353964055898,0.0017577620500219481,0.001351925436291771
carolinensis,0.018338541646590937,0.0020058016495588214,0.17799344565981937,0.6010080866809895,0.0021221576667577132,7.919247315598768e-5,0.01077876853038278,0.1837112884053975,0.002100838837929658,0.001861878449417774
catahoula,0.01444297859004361,0.0013820824543909615,0.15021968941597882,0.6540214471193907,0.003345040061230827,6.77362699177834e-5,0.009404848649226347,0.1631501693254538,0.002664095617933207,0.001301912496433972
cheaha,0.01511045727170638,0.0013806095878861437,0.15521322108922173,0.6412815673402515,0.0026245132565167716,5.80876207401353e-5,0.009738527890738645,0.17114760857389308,0.0019262714702078824,0.0015191358988377085
conanti,0.014555094090120058,0.0017051697782376834,0.18319438705916177,0.6103958175628763,0.0030239652768740475,6.363709874041104e-5,0.010739958844512116,0.172841306290231,0.001971970272392323,0.0015086937268542436
gvnigeusgwotli,0.02509054122857364,0.0032172491397340457,0.15541189973092004,0.6040273239428559,0.004994791339875875,1.326075624176085e-4,0.01103973288611963,0.19191361006793461,0.0025625936269890234,0.0016096504745797143
fuscus,0.014372898270326196,0.0014999017412696812,0.16359921687490772,0.6469634795975235,0.004976283035455974,4.5735613245865243e-5,0.009211603144384434,0.15591698618154834,0.002239720143490352,0.0011741753978479097
intermedius,0.021067132756998626,0.0024329690964668554,0.1636153342025052,0.6139731573503512,0.0056695874008590415,7.289031343417984e-5,0.010073365199347383,0.17975680995469281,0.0018238134152748962,0.0015149403100697969
kanawha,0.02025791476509464,0.0021616478389845087,0.15011039774057922,0.6342074111083402,0.00541838451874632,8.657212911616405e-5,0.010142317106475972,0.17422619268491912,0.001999235867223553,0.0013899262405201915
lycos,0.016077812235410428,0.0015208029061222691,0.16523842511268932,0.6241196016520438,0.0034080370535328804,5.2968127711634676e-5,0.011868132787113971,0.17434974762121253,0.0019088093790878547,0.0014556631250752458
marmoratus,0.019165829956799236,0.002688001499551712,0.16911077567538665,0.6033818152280406,0.005265705114921465,6.342951018224837e-5,0.011027098894742444,0.18557939330584255,0.00216339254716492,0.0015545582673680682
mavrokoilius,0.020946935187906003,0.0024686652155279185,0.1580119413195264,0.6245793257550862,0.00516847537573589,7.89191662133943e-5,0.010547596390584245,0.17479256962324205,0.0020361835918227995,0.0013693883743550316
monticola,0.015123170724352849,0.0017914053495343312,0.17640505397195805,0.618032335482817,0.0023907066345723663,6.278470709715402e-5,0.009622737974510617,0.17281144661043044,0.0021799826575351457,0.0015803758871920784
ocoee,0.015774488996969746,0.0016831402081002782,0.17784917442777898,0.6170544765044749,0.003838817469974582,5.394017692038627e-5,0.009973035590025712,0.1704271442382675,0.0018142664556712459,0.0015315159318167796
orestes,0.02123517158633751,0,0.20006214676777928,0.7674582177462748,0,6.379922404245724e-5,0.011180664675565919,0,0,0
organi,0.028133794904279644,0.0019077935305312752,0.26378553140237765,0.5128045933579541,0.0033620648768391383,6.750581779646714e-5,0.010260911930622752,0.17681737195179284,0.001240523550370328,0.001619908677435731
pascagoula,0.009942111200339743,0.0011956296523121005,0.15909321927073886,0.6477369167929468,0.0050116721506381625,4.311219481213506e-5,0.007207535483428851,0.1671646787407145,0.0014966930180063045,0.0011084314960625972
perlapsus,0.017754790144973318,0.0016056787764316342,0.1821870151933642,0.6146669274464992,0.0040267976503461055,4.420950997647407e-5,0.009616092031549664,0.16655087640485144,0.0019578861090529683,0.0015897267329549962
santeetlah,0.015546506154622039,0.0017821316201336985,0.17977389728226703,0.61234523116711,0.0035972207687752404,6.483249359242899e-5,0.010653551706948745,0.1728297139069204,0.00185370442857275,0.0015532104710576247
tilleyi,0.017904689374551967,0.001798355367704436,0.18530523783548145,0.5976727713458329,0.002154460929574637,8.175124343980779e-5,0.01072728623797361,0.18030922068043184,0.0023074676829827516,0.0017387593020266657
valentinei,0.009807454334241746,0.0010761241205655932,0.16062068386660255,0.6427106629512492,0.005407651944142185,4.973576351300825e-5,0.006728312583555306,0.17099782719282006,0.0014800482873679073,0.0011214989559424995
valtos,0.012632104073418417,0.0011255420208426735,0.14630578215227907,0.673018680477353,0.005620434576248468,4.3097433698177385e-5,0.007970948114265899,0.15033069191628162,0.0018281969103503314,0.0011245223252624493
welteri,0.012807402956380245,0.0015073986172578085,0.17779305420777683,0.6259381371541826,0.005286041288362648,6.936633294330579e-5,0.00877940496054656,0.16448431766833083,0.0020662509187912323,0.0012686258954279538
wrighti,0.028880721076138784,0.001923242413271974,0.25929242756746435,0.5069947308817059,0.005341600770471257,7.201446171270063e-5,0.010957152253116165,0.18368345919968504,0.0011631521127071658,0.001691499263726701
