species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
abditus,3.5772267127217775e-4,0.009755571225325905,9.003283951521297e-7,0,0.00754284029519336,0.0016630792115656019,0.07266594260366027,0,4.05124344613653e-4,0,0.5732762875559996,0.0019566491680402,1.4152422375850257e-5,9.973529629853117e-4,1.750497398755167e-4,0.05155984496779167,0.09701477645355312,0.0027239669927375744,1.2574011033226017e-4,0.004604501411590358,1.3554258990030008e-6,0.022311146493002972,9.647943748981596e-5,0.047956433498689784,9.878575817328785e-5,4.3965008857788416e-4,0.01181499842964228,0.09188547238710201,5.561760161153751e-4
adatsihi,3.8953963030946705e-4,0.009475728160843081,1.8808693187327717e-7,0,0.007672938107637539,0.002253689824372024,0.0778852100559364,0,3.9952884996525737e-4,0,0.5534171369688072,0.0019533137059037434,1.8704343588137748e-5,8.86520699784902e-4,2.0403953788277574e-4,0.05399222306914304,0.10411894921602598,0.0022339445613252995,1.7107021760537223e-4,0.004150554261913964,9.404346593663859e-7,0.025173418405653812,1.070678418355347e-4,0.04777652582592676,1.277380803417452e-4,4.3705348114063283e-4,0.013066055190039236,0.09357614334213292,5.117781002939039e-4
aeneus,4.3006682413481025e-4,0.007731104486025513,2.0068259938535817e-7,0,0.007220773987324531,0.002265555366169157,0.08081732173500827,0,3.2177715562247506e-4,0,0.5326221599567443,0.0014409973912345763,1.6593775201177317e-5,0.0010169189358654254,1.552025708286524e-4,0.08032028846534256,0.10524334143864934,0.0018594513822849544,9.085436427773525e-5,0.010477431141890182,2.0068259938535817e-7,0.020612260963761675,6.84675513743006e-5,0.04346270686290434,6.979607018223167e-5,2.73423352242571e-4,0.010188758587862319,0.09259033030508242,7.040159647877708e-4
amphileucus,4.543748697725003e-4,0.011742967104637984,1.9275115588049405e-6,2.609850650621889e-6,0.010030312689277619,0.0017642821699591026,0.0854551237080131,5.706719221768492e-6,2.1355800065394042e-4,0,0.5282073275122913,0.0036768735042911867,2.812239364296408e-5,0.001081506175522158,1.3082534952691478e-4,0.04114101231236558,0.09841039021250751,0.0031417847304975825,1.4624415698964843e-4,0.004413702062867846,0,0.027311043632500902,1.2692149611648183e-4,0.0542819405852272,1.1959695219302306e-4,6.841419576282844e-4,0.014286997090549803,0.11254266338021662,5.980438713195853e-4
anicetus,4.546006610056245e-4,0.009678397048014396,1.4666128791281956e-7,0,0.007867123475868897,0.0020052037931526205,0.08002376515508752,4.839822501123045e-7,4.0598911048470265e-4,0,0.5373284589912093,0.0020685841353663636,2.0848568719025084e-5,9.603101142799954e-4,2.0126328540276224e-4,0.06112496092909958,0.10024428224103024,0.0024646776087702575,1.582395299513189e-4,0.002965863227954736,0,0.023939751350932455,8.234897987861261e-5,0.05079987693144683,6.832949403858263e-5,4.2178453119291336e-4,0.015483133494573465,0.09860828624063822,0.0026232904583635363
apalachicolae,4.068488485619241e-4,0.010281829014860007,0,0,0.008020352471114807,0.0019350238209252272,0.0744333254941065,0,3.7082812336820744e-4,0,0.5552111465899545,0.0019391716775449292,8.552070261635362e-6,9.549491345881699e-4,2.720409448513853e-4,0.05655276927545502,0.099440567195449,0.002466296832012212,1.4900751917192907e-4,0.0037178164331239673,0,0.023380233406198374,9.573524816715881e-5,0.04750230250904872,8.954166251005119e-5,4.762882751737097e-4,0.013370604277543536,0.09830153192855189,6.232372474571216e-4
aureatus,3.6485750576707715e-4,0.010272856654566998,0,3.1605830467597652e-6,0.008035183972548095,0.001331284346872516,0.08816753666890471,0,2.0471249771401468e-4,0,0.5705050369573362,0.003253295997183928,8.938641790955422e-6,9.939819959259959e-4,1.4073897785824003e-4,0.03738751495622722,0.08004530465731223,0.007550411632751946,1.8164175010419427e-4,0.004602588375703933,0,0.027964383693886753,1.0302696128956355e-4,0.04580223919086821,8.378813775552826e-5,7.527379858123212e-4,0.01317555045671066,0.0981939608781019,8.752665239600142e-4
auriculatus,2.6594091456704985e-4,0.009620410703143404,0,0,0.005873692273791955,0.0012275950399161042,0.06092308532524644,0,3.801600770930311e-4,0,0.5836217139405835,0.001333354332906188,1.289371507601695e-5,8.501112917078153e-4,1.439124549687638e-4,0.06053929005313761,0.07926864498259933,0.0022257880336308193,1.2212798747517894e-4,0.006959876406962177,0,0.027182031755621717,8.695337927570879e-5,0.052898216940364645,4.4513236063056166e-5,6.892742426488715e-4,0.010421748480155308,0.09463748848520118,6.711759478641132e-4
bairdi,2.4812591273560365e-4,0.008439811895008156,0,8.004563457862677e-7,0.0061159184171446475,0.001366947318227635,0.07217463246681953,0,4.2009600192419665e-4,0,0.5979428585395449,0.001400001738270522,3.342294105111151e-5,9.312406228154364e-4,1.7575819799391332e-4,0.05280708386588609,0.0863244416744002,0.002287493652823882,1.1255325559307687e-4,0.0059939379634223475,0,0.020680624848140632,6.243559497132889e-5,0.04407456698111496,3.876051318646658e-5,4.444937677641485e-4,0.011188692653632294,0.08543314729308014,0.0013021534281030256
balsameus,3.9470619522853086e-4,0.009658746121438517,1.3242668238738087e-6,0,0.007980393286815907,0.0019286192603041867,0.0845179053437119,2.3044643219072923e-6,4.0533767067658927e-4,0,0.5395780171621887,0.001957673114307122,2.4474264603959857e-5,9.868841786527217e-4,2.582787067267276e-4,0.05585694517083525,0.10290168278759484,0.002124378703482874,1.6681227733880312e-4,0.004039297870049241,0,0.02654290541025863,8.977142119744756e-5,0.04960457472655251,1.6275679354081694e-4,3.495570982272743e-4,0.01348727085656368,0.09630204770698839,6.773351415696713e-4
