species,genome_panel_status,include_in_primary_genome_analysis,n_genome_nuclei,n_genome_images,n_size_cells,n_size_images,size_sample_size_support,genome_size_pg_fuscus_anchored,genome_size_pg_fuscus_anchored_ci_low,genome_size_pg_fuscus_anchored_ci_high,nucleus_area_um2,nucleus_area_um2_ci_low,nucleus_area_um2_ci_high,cell_area_um2,cell_area_um2_ci_low,cell_area_um2_ci_high,tree_display_order
D. anicetus,finalized_included_common_support,True,39,1,50,1,top50_target_met,15.35796409,13.50573352,17.77970013,41.69520000,40.28400000,43.93440000,244.19520000,242.19360000,248.50080000,1
D. tilleyi,finalized_included_common_support,True,36,2,50,2,top50_target_met,16.57793846,14.53530174,19.23472581,41.85360000,41.42160000,43.29360000,264.47760000,262.75680000,267.23520000,2
D. campi,finalized_included_common_support,True,36,2,50,2,top50_target_met,14.78187695,12.88786071,16.97379080,37.07280000,35.81280000,38.26170000,257.45040000,248.93280000,259.36560000,3
D. ocoee,finalized_included_common_support,True,35,3,50,2,top50_target_met,16.68828556,14.56652555,19.85225306,43.44480000,41.99040000,44.51040000,293.15520000,291.44880000,296.75520000,4
D. apalachicolae,finalized_included_common_support,True,37,2,50,1,top50_target_met,15.63681664,13.48536512,18.66695364,45.20160000,43.71840000,46.82880000,299.54880000,293.65920000,301.40640000,5
D. monticola,finalized_included_common_support,True,36,2,50,2,top50_target_met,16.79820648,14.69345918,20.33742045,39.60720000,39.12480000,40.96800000,260.07840000,256.52160000,264.57120000,6
D. perlapsus,finalized_included_common_support,True,33,3,50,1,top50_target_met,14.35603820,12.27842194,17.37485918,43.38000000,41.29920000,45.00000000,293.55120000,289.32480000,299.86560000,7
D. brimleyorum,finalized_included_common_support,True,35,2,50,2,top50_target_met,17.01894476,14.84006183,20.47437610,45.16560000,43.89120000,46.84428000,329.40000000,325.26720000,332.12430000,8
D. bairdi,finalized_included_common_support,True,37,1,50,1,top50_target_met,18.67444589,16.61731362,21.80904124,44.20800000,43.55280000,45.43200000,306.13680000,303.52320000,309.71520000,9
D. valtos,finalized_included_common_support,True,37,2,50,2,top50_target_met,22.56183477,19.87909004,26.19502454,49.96800000,48.79440000,51.43680000,314.19360000,307.03680000,319.16880000,10
D. auriculatus,finalized_included_common_support,True,36,2,50,1,top50_target_met,17.64411647,14.94988718,21.09849482,49.17600000,47.81520000,50.42880000,315.13680000,312.14880000,318.60000000,11
D. fuscus,finalized_included_common_support,True,35,4,50,3,top50_target_met,16.36000000,16.36000000,16.36000000,46.94400000,45.19332000,48.21120000,272.80800000,271.00800000,275.01120000,12
D. welteri,finalized_included_common_support,True,38,2,50,2,top50_target_met,14.96477150,12.83802185,17.54385143,48.70800000,47.83644000,50.29200000,304.54560000,301.53600000,310.92480000,13
D. orestes,finalized_included_common_support,True,22,3,50,2,top50_target_met,14.06325467,11.80805583,17.32264558,46.31760000,45.00000000,47.59920000,255.47040000,254.47662000,257.11920000,14
D. ochrophaeus,finalized_included_limited_overlap,True,32,2,50,2,top50_target_met,13.52645932,11.69751105,15.53843048,52.13520000,50.40702000,54.25920000,272.30400000,266.58720000,277.79040000,15
D. intermedius,finalized_included_common_support,True,35,2,50,1,top50_target_met,18.00255946,15.70918367,21.03732615,48.93840000,46.67040000,50.16960000,325.24560000,321.48000000,328.08960000,16
D. marmoratus,finalized_included_common_support,True,37,2,50,2,top50_target_met,17.87005106,15.67166236,20.80563655,47.60640000,46.49580000,49.42080000,274.90320000,273.66480000,277.43040000,17
D. mavrokoilius,finalized_included_common_support,True,38,2,50,2,top50_target_met,15.47633110,12.94331083,18.78979458,42.55200000,40.20480000,44.67042000,269.06400000,266.91840000,272.10240000,18
D. kanawha,finalized_included_common_support,True,34,2,50,2,top50_target_met,17.06725832,14.19648954,22.02064118,41.72400000,40.67280000,43.08516000,288.59040000,283.45680000,291.85920000,19
D. aeneus,finalized_included_limited_overlap,True,21,2,44,3,below_top50_target,9.56476889,8.26733869,11.72462579,37.66320000,35.67600000,39.18240000,208.98720000,205.42320000,213.91200000,20
D. amphileucus,finalized_included_common_support,True,33,2,50,2,top50_target_met,17.35565806,14.92928727,20.31016540,44.43120000,43.57440000,45.60480000,318.78000000,316.41120000,320.87520000,21
D. gvnigeusgwotli,finalized_included_common_support,True,37,1,50,1,top50_target_met,15.45333008,13.53160782,17.84729150,46.62000000,44.63280000,47.24640000,272.41920000,271.33200000,275.97600000,22
D. folkertsi,finalized_included_common_support,True,37,2,50,2,top50_target_met,16.93458770,14.96575201,19.70624162,44.87040000,43.53120000,47.43432000,268.84080000,265.40640000,270.66240000,23
D. wrighti,finalized_included_limited_overlap,True,9,3,8,2,below_top50_target,14.70311077,12.78932976,17.56233217,42.96960000,39.57840000,48.64320000,237.03120000,191.72160000,250.89120000,24
