k,wss,mean_silhouette,silhouette_defined,selected
1,712.4657737401258,0,FALSE,FALSE
2,509.7111617606733,0.6314388814217882,TRUE,TRUE
3,355.36705227223416,0.33238557754735176,TRUE,FALSE
4,273.118619039175,0.2789483915444046,TRUE,FALSE
5,194.27717248519573,0.3550613908085075,TRUE,FALSE
6,162.99264464255205,0.3669974086815468,TRUE,FALSE
7,134.3506237974943,0.3120470043619214,TRUE,FALSE
8,114.81897406389064,0.32298648554385434,TRUE,FALSE
9,98.25414789083172,0.33548005866691394,TRUE,FALSE
10,84.33904938894601,0.33290976812270795,TRUE,FALSE
