species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
abditus,3.5772267127217775e-4,0.0097555712253259,9.003283951521297e-7,0,0.00754284029519336,0.0016630792115656,0.07266594260366027,0,4.05124344613653e-4,0.5732762875559996,0.0019566491680402,1.4152422375850256e-5,9.973529629853117e-4,1.750497398755167e-4,0.05155984496779167,0.09701477645355312,0.00272396699273757,1.2574011033226017e-4,0.00460450141159035,1.3554258990030008e-6,0.02231114649300297,9.647943748981596e-5,0.04795643349868978,9.878575817328783e-5,4.3965008857788416e-4,0.01181499842964228,0.091885472387102,5.561760161153751e-4
adatsihi,3.8953963030946705e-4,0.00947572816084308,1.8808693187327717e-7,0,0.00767293810763753,0.00225368982437202,0.0778852100559364,0,3.9952884996525737e-4,0.5534171369688072,0.00195331370590374,1.8704343588137748e-5,8.86520699784902e-4,2.0403953788277577e-4,0.05399222306914304,0.10411894921602598,0.00223394456132529,1.7107021760537225e-4,0.00415055426191396,9.40434659366386e-7,0.02517341840565381,1.070678418355347e-4,0.04777652582592676,1.277380803417452e-4,4.370534811406328e-4,0.01306605519003923,0.09357614334213292,5.117781002939039e-4
aeneus,4.3006682413481025e-4,0.00773110448602551,2.0068259938535817e-7,0,0.00722077398732453,0.00226555536616915,0.08081732173500827,0,3.2177715562247506e-4,0.5326221599567443,0.00144099739123457,1.6593775201177317e-5,0.00101691893586542,1.552025708286524e-4,0.08032028846534256,0.10524334143864934,0.00185945138228495,9.085436427773524e-5,0.01047743114189018,2.0068259938535817e-7,0.02061226096376167,6.84675513743006e-5,0.04346270686290434,6.979607018223167e-5,2.73423352242571e-4,0.01018875858786231,0.09259033030508242,7.040159647877708e-4
amphileucus,4.543748697725003e-4,0.01174296710463798,1.9275115588049405e-6,2.609850650621889e-6,0.01003031268927761,0.0017642821699591,0.0854551237080131,5.706719221768492e-6,2.135580006539404e-4,0.5282073275122913,0.00367687350429118,2.812239364296408e-5,0.00108150617552215,1.3082534952691478e-4,0.04114101231236558,0.09841039021250753,0.00314178473049758,1.4624415698964843e-4,0.00441370206286784,0,0.0273110436325009,1.2692149611648185e-4,0.0542819405852272,1.1959695219302306e-4,6.841419576282844e-4,0.0142869970905498,0.11254266338021662,5.980438713195853e-4
anicetus,4.546006610056245e-4,0.00967839704801439,1.4666128791281956e-7,0,0.00786712347586889,0.00200520379315262,0.08002376515508752,4.839822501123045e-7,4.0598911048470265e-4,0.5373284589912093,0.00206858413536636,2.0848568719025084e-5,9.603101142799954e-4,2.0126328540276224e-4,0.06112496092909958,0.10024428224103024,0.00246467760877025,1.582395299513189e-4,0.00296586322795473,0,0.02393975135093245,8.234897987861261e-5,0.05079987693144683,6.832949403858263e-5,4.2178453119291336e-4,0.01548313349457346,0.09860828624063822,0.00262329045836353
apalachicolae,4.068488485619241e-4,0.01028182901486,0,0,0.0080203524711148,0.00193502382092522,0.0744333254941065,0,3.7082812336820744e-4,0.5552111465899545,0.00193917167754492,8.552070261635362e-6,9.5494913458817e-4,2.720409448513853e-4,0.05655276927545502,0.099440567195449,0.00246629683201221,1.4900751917192907e-4,0.00371781643312396,0,0.02338023340619837,9.57352481671588e-5,0.04750230250904872,8.954166251005119e-5,4.762882751737097e-4,0.01337060427754353,0.09830153192855189,6.232372474571216e-4
aureatus,3.648575057670771e-4,0.01027285665456699,0,3.1605830467597652e-6,0.00803518397254809,0.00133128434687251,0.08816753666890471,0,2.0471249771401468e-4,0.5705050369573362,0.00325329599718392,8.938641790955422e-6,9.93981995925996e-4,1.4073897785824005e-4,0.03738751495622722,0.08004530465731223,0.00755041163275194,1.8164175010419427e-4,0.00460258837570393,0,0.02796438369388675,1.0302696128956356e-4,0.04580223919086821,8.378813775552826e-5,7.527379858123212e-4,0.01317555045671066,0.0981939608781019,8.752665239600142e-4
auriculatus,2.6594091456704985e-4,0.0096204107031434,0,0,0.00587369227379195,0.0012275950399161,0.06092308532524644,0,3.801600770930311e-4,0.5836217139405835,0.00133335433290618,1.289371507601695e-5,8.501112917078153e-4,1.439124549687638e-4,0.06053929005313761,0.07926864498259933,0.00222578803363081,1.2212798747517894e-4,0.00695987640696217,0,0.02718203175562171,8.695337927570879e-5,0.05289821694036464,4.4513236063056166e-5,6.892742426488715e-4,0.0104217484801553,0.09463748848520118,6.711759478641132e-4
bairdi,2.4812591273560365e-4,0.00843981189500815,0,8.004563457862677e-7,0.00611591841714464,0.00136694731822763,0.07217463246681953,0,4.2009600192419665e-4,0.5979428585395449,0.00140000173827052,3.342294105111151e-5,9.312406228154364e-4,1.7575819799391332e-4,0.05280708386588609,0.0863244416744002,0.00228749365282388,1.1255325559307689e-4,0.00599393796342234,0,0.02068062484814063,6.243559497132889e-5,0.04407456698111496,3.876051318646658e-5,4.444937677641485e-4,0.01118869265363229,0.08543314729308014,0.00130215342810302
balsameus,3.9470619522853086e-4,0.00965874612143851,1.3242668238738087e-6,0,0.0079803932868159,0.00192861926030418,0.0845179053437119,2.3044643219072923e-6,4.0533767067658927e-4,0.5395780171621887,0.00195767311430712,2.4474264603959857e-5,9.868841786527217e-4,2.582787067267276e-4,0.05585694517083525,0.10290168278759484,0.00212437870348287,1.6681227733880312e-4,0.00403929787004924,0,0.02654290541025863,8.977142119744756e-5,0.04960457472655251,1.6275679354081694e-4,3.495570982272743e-4,0.01348727085656368,0.0963020477069884,6.773351415696713e-4
