group,source,n_species
Birds,Historical published-vertebrate composite used by prior project code,14
Bony Fishes,Historical published-vertebrate composite used by prior project code,13
Caecilian,Historical published-vertebrate composite used by prior project code,4
Cartilaginous fish,Historical published-vertebrate composite used by prior project code,3
Desmognathus,Current audited retry-averaged TE34 superfamily composition,34
Frogs,Historical published-vertebrate composite used by prior project code,10
Lobe-finned fish,Historical published-vertebrate composite used by prior project code,3
Mammals,Historical published-vertebrate composite used by prior project code,14
Non-avian reptiles,Historical published-vertebrate composite used by prior project code,16
Salamanders,Historical published-vertebrate composite used by prior project code,10
