canonical_species,shannon_top10_superfamilies,primary_genome_pg,primary_support_tier,result_status,has_te_shannon,has_genome_size_estimate,included_in_scatter,exclusion_reason
abditus,1.4799384917086456,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
adatsihi,1.5245864064816321,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
aeneus,1.5560264809822304,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
amphileucus,1.577884537872989,14.292299,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
anicetus,1.5624560478123048,13.069896,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
apalachicolae,1.5232368143196946,12.687106,low,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
aureatus,1.4813309818381446,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
auriculatus,1.4654777883851478,14.527962,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
bairdi,1.4200443135195258,16.285622,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
balsameus,1.5566516152832945,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
brimleyorum,NA,15.080389,limited,sensitivity_limited,FALSE,TRUE,FALSE,no_audited_te34_shannon_value
campi,1.528179774546614,12.794174,medium,minor_caution,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
carolinensis,1.557807354688954,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
catahoula,1.4562378317975753,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
cheaha,1.4876120955749297,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
conanti,1.5415502735050657,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
folkertsi,NA,15.732414,medium,minor_caution,FALSE,TRUE,FALSE,no_audited_te34_shannon_value
fuscus,1.4655399538197815,16.36,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
gvnigeusgwotli,1.552236665216488,13.709404,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
intermedius,1.532367213964158,16.285297,medium,minor_caution,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
kanawha,1.4908742355468105,13.250501,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
lycos,1.5179905555845374,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
marmoratus,1.5502855448225696,15.868875,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
mavrokoilius,1.5108330347256558,13.016767,medium,minor_caution,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
monticola,1.5187838550970565,14.1026,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
ochrophaeus,NA,12.74789,medium,minor_caution,FALSE,TRUE,FALSE,no_audited_te34_shannon_value
ocoee,1.5347103646130167,14.898885,low,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
orestes,1.4483113465359814,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
organi,1.6561305040072323,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
pascagoula,1.4740405360622584,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
perlapsus,1.535033848148302,10.725843,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
santeetlah,1.5326074855101726,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
tilleyi,1.5697624523593026,14.103864,medium,minor_caution,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
valentinei,1.49092767418016,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
valtos,1.3891512419632972,19.770085,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
welteri,1.5017390103833976,11.741516,limited,sensitivity_limited,TRUE,TRUE,TRUE,included_exact_te_genome_overlap
wrighti,1.6707070908554147,NA,NA,NA,TRUE,FALSE,FALSE,no_current_fuscus_anchored_genome_size_estimate
