canonical_species,species,group,genome_size_gb,genome_size_ci_low_gb,genome_size_ci_high_gb,genome_size_pg,genome_size_ci_low_pg,genome_size_ci_high_pg,shannon_top10_superfamilies,genome_measurement_kind,is_direct_c_value,genome_support_tier,genome_support_warnings,genome_result_status,n_genome_images,n_genome_specimens,n_genome_nuclei,genome_source,shannon_source
ranodon sibiricus,Ranodon sibiricus,Salamanders,21,NA,NA,NA,NA,NA,1.81,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
tylototriton verrucosus,Tylototriton verrucosus,Salamanders,24,NA,NA,NA,NA,NA,1.88,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
batrachoseps nigriventris,Batrachoseps nigriventris,Salamanders,25,NA,NA,NA,NA,NA,2.18,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
ambystoma mexicanum,Ambystoma mexicanum,Salamanders,32,NA,NA,NA,NA,NA,1.98,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
pachytriton brevipes,Pachytriton brevipes,Salamanders,40,NA,NA,NA,NA,NA,2.07,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
cynops orientalis,Cynops orientalis,Salamanders,44,NA,NA,NA,NA,NA,2.09,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
aneides flavipunctatus,Aneides flavipunctatus,Salamanders,44,NA,NA,NA,NA,NA,1.96,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
andrias davidianus,Andrias davidianus,Salamanders,48,NA,NA,NA,NA,NA,1.92,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
paramesotriton hongkongensis,Paramesotriton hongkongensis,Salamanders,51,NA,NA,NA,NA,NA,2.16,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
cryptobranchus alleganiensis,Cryptobranchus alleganiensis,Salamanders,55,NA,NA,NA,NA,NA,2.02,historical_published_cross_taxon_context,NA,published_context,Cross-study context; source assays and annotation workflows differ,historical_context_only,NA,NA,NA,Historical published-vertebrate composite used by prior project code,Historical published-vertebrate composite used by prior project code
amphileucus,Desmognathus amphileucus,Desmognathus,13.977868422,13.4868645,14.699151246,14.292299,13.79025,15.029807,1.577884537872989,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count,sensitivity_limited,1,1,38,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
anicetus,Desmognathus anicetus,Desmognathus,12.782358288,12.303328998,13.46088393,13.069896,12.580091,13.763685,1.5624560478123048,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count,sensitivity_limited,1,1,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
apalachicolae,Desmognathus apalachicolae,Desmognathus,12.407989668,11.683624188,13.259300526,12.687106,11.946446,13.557567,1.5232368143196946,fuscus_anchored_image_iod_genome_size_estimate,FALSE,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,sensitivity_limited,1,1,19,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
auriculatus,Desmognathus auriculatus,Desmognathus,14.208346836,13.565645334000001,14.974577562,14.527962,13.870803,15.311429,1.4654777883851478,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count,sensitivity_limited,1,1,48,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
bairdi,Desmognathus bairdi,Desmognathus,15.927338316,15.349867458,16.873460406,16.285622,15.695161,17.253027,1.4200443135195258,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_image_count; low_specimen_count,sensitivity_limited,1,1,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
campi,Desmognathus campi,Desmognathus,12.512702172,11.482956192,13.404648929999999,12.794174,11.741264,13.706185,1.528179774546614,fuscus_anchored_image_iod_genome_size_estimate,FALSE,medium,,minor_caution,2,2,50,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
fuscus,Desmognathus fuscus,Desmognathus,16.00008,15.194491619999999,16.91651979,16.36,15.53629,17.297055,1.4655399538197815,fuscus_anchored_image_iod_genome_size_estimate,FALSE,limited,low_pair_count; low_image_count; low_specimen_count,sensitivity_limited,1,1,23,Frozen verified CellProfiler linked-nucleus IOD bridge; D. fuscus = 16.36 pg anchor,Current audited retry-averaged TE34 top-10-superfamily composition
