superfamily,panel,panel_species,species_present,prevalence_fraction,prevalence_percent,nonzero_variance,pca_decision,decision_reason
CACTA,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Copia,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
DIRS,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Gypsy,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Helitron,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
IS3EU,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Jockey,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
L1,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
L2,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
MITE,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
MULE,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Maverick,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Mutator,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
P,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
PIF-Harbinger,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Penelope,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
PiggyBac,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
hAT,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
tRNA,TE34,34,34,1,100,TRUE,retain,retained_nonzero_variance
Academ,TE34,34,33,0.9705882352941176,97.05882352941177,TRUE,retain,retained_nonzero_variance
Cyrypton,TE34,34,33,0.9705882352941176,97.05882352941177,TRUE,retain,retained_nonzero_variance
EnSpm,TE34,34,33,0.9705882352941176,97.05882352941177,TRUE,retain,retained_nonzero_variance
Kolobok,TE34,34,33,0.9705882352941176,97.05882352941177,TRUE,retain,retained_nonzero_variance
Tc1-mariner,TE34,34,33,0.9705882352941176,97.05882352941177,TRUE,retain,retained_nonzero_variance
CR1,TE34,34,18,0.5294117647058824,52.94117647058824,TRUE,retain,retained_nonzero_variance
Chapaev,TE34,34,12,0.35294117647058826,35.294117647058826,TRUE,retain,user_declared_retained_sparse_superfamily
Dada,TE34,34,9,0.2647058823529412,26.47058823529412,TRUE,retain,user_declared_retained_sparse_superfamily
Merlin,TE34,34,4,0.11764705882352941,11.76470588235294,TRUE,retain,retained_nonzero_variance
Ginger,TE34,34,1,0.029411764705882353,2.941176470588235,TRUE,exclude,user_declared_sparse_superfamily
