species,display_species,rank,superfamily,classified_conditional_proportion,top10_renormalized_proportion,shannon_component,gini_simpson_squared_component
abditus,D. abditus,1,Gypsy,0.5732762875559996,0.5815439148408645,0.3152368062160404,0.33819332488843873
abditus,D. abditus,2,L2,0.09701477645355312,0.09841389591872746,0.2281798281005474,0.009685294909902121
abditus,D. abditus,3,hAT,0.091885472387102,0.09321061849043896,0.22117888300223132,0.008688219399370162
abditus,D. abditus,4,DIRS,0.07266594260366027,0.07371391012436776,0.19221372048462237,0.005433740545823368
abditus,D. abditus,5,L1,0.05155984496779167,0.05230342636181101,0.15433137477734923,0.002735648409185387
abditus,D. abditus,6,PIF-Harbinger,0.04795643349868978,0.048648047519163025,0.14707003372259622,0.002366632527426744
abditus,D. abditus,7,Mutator,0.02231114649300297,0.02263291149097378,0.08574139412521967,5.122486825582531e-4
abditus,D. abditus,8,Tc1-mariner,0.01181499842964228,0.011985390970739675,0.053024170158285526,1.4364959672148812e-4
abditus,D. abditus,9,CACTA,0.0097555712253259,0.009896263294041667,0.045677173444877796,9.793602718499642e-5
abditus,D. abditus,10,Copia,0.00754284029519336,0.007651620988872109,0.0372851076768757,5.8547303757348187e-5
adatsihi,D. adatsihi,1,Gypsy,0.5534171369688072,0.561187149986122,0.32419828143638385,0.31493101730954615
adatsihi,D. adatsihi,2,L2,0.10411894921602598,0.10558078611393767,0.23737505091430777,0.011147302396437055
adatsihi,D. adatsihi,3,hAT,0.09357614334213292,0.09488995855186948,0.22346940030607748,0.009004104233975508
adatsihi,D. adatsihi,4,DIRS,0.0778852100559364,0.07897872352988766,0.20049355407733796,0.006237638770410431
adatsihi,D. adatsihi,5,L1,0.05399222306914304,0.05475027743366599,0.15904806909243496,0.0029975928790633957
adatsihi,D. adatsihi,6,PIF-Harbinger,0.04777652582592676,0.048447311392168534,0.14666350099219336,0.002347141981129743
adatsihi,D. adatsihi,7,Mutator,0.02517341840565381,0.025526854856453965,0.09363312262301372,6.516203188624674e-4
adatsihi,D. adatsihi,8,Tc1-mariner,0.01306605519003923,0.013249503464640237,0.05728813950424394,1.7554934205951366e-4
adatsihi,D. adatsihi,9,CACTA,0.00947572816084308,0.009608768007714385,0.044633489017603487,9.232842262607547e-5
adatsihi,D. adatsihi,10,Copia,0.00767293810763753,0.007780666663540116,0.037783798518035566,6.053877372912449e-5
aeneus,D. aeneus,1,Gypsy,0.5326221599567443,0.5412465426063143,0.33226063729747085,0.29294781988328883
aeneus,D. aeneus,2,L2,0.10524334143864934,0.10694747415434404,0.23907225111337596,0.011437762227994086
aeneus,D. aeneus,3,hAT,0.09259033030508242,0.09408958155340817,0.22238147450995585,0.008852849356895447
aeneus,D. aeneus,4,DIRS,0.08081732173500827,0.08212594078948533,0.20527389959930467,0.006744670150558051
aeneus,D. aeneus,5,L1,0.08032028846534256,0.08162085940348231,0.20451497304067182,0.0066619646897630265
aeneus,D. aeneus,6,PIF-Harbinger,0.04346270686290434,0.04416646844691771,0.13779008054787875,0.0019506769350725779
aeneus,D. aeneus,7,Mutator,0.02061226096376167,0.020946021064615742,0.08097326597197166,4.3873579843932637e-4
aeneus,D. aeneus,8,Maverick,0.01047743114189018,0.010647084945553777,0.048364054778310565,1.1336041783783787e-4
aeneus,D. aeneus,9,Tc1-mariner,0.01018875858786231,0.010353738116301294,0.04732080393239183,1.0719989298095028e-4
aeneus,D. aeneus,10,CACTA,0.00773110448602551,0.007856288919577254,0.03807504019089843,6.172127558787233e-5
amphileucus,D. amphileucus,1,Gypsy,0.5282073275122913,0.537118238202071,0.33383887229563497,0.28849600180929674
amphileucus,D. amphileucus,2,hAT,0.11254266338021662,0.11444126941980763,0.2480735979603,0.013096804146416997
amphileucus,D. amphileucus,3,L2,0.09841039021250753,0.10007058338373843,0.23035042525866373,0.010014121658761747
amphileucus,D. amphileucus,4,DIRS,0.0854551237080131,0.0868967602315588,0.2122917857018345,0.0075510469387410194
amphileucus,D. amphileucus,5,PIF-Harbinger,0.0542819405852272,0.05519768237718793,0.15989854028077138,0.0030467841398129233
