species,display_species,te_assembly_accession,ncbi_reported_organism,species_mapping_basis,total_sequence_length_bp,contig_n50_bp,scaffold_n50_bp,number_of_scaffolds,number_of_contigs,ncbi_dataset_report_url,metadata_retrieved_utc
abditus,D. abditus,GCA_030264455.1,Desmognathus abditus,audited_TE34_accession_crosswalk,825123321,824,836,970540,1005091,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264455.1/dataset_report,2026-07-10 15:56:59 UTC
adatsihi,D. adatsihi,GCA_032275005.1,Desmognathus adatsihi,audited_TE34_accession_crosswalk,700859386,811,827,828893,867536,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032275005.1/dataset_report,2026-07-10 15:56:59 UTC
aeneus,D. aeneus,GCA_030264635.1,Desmognathus aeneus,audited_TE34_accession_crosswalk,1320107758,858,882,1509177,1602811,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264635.1/dataset_report,2026-07-10 15:57:00 UTC
amphileucus,D. amphileucus,GCA_032360725.1,Desmognathus amphileucus,audited_TE34_accession_crosswalk,1865481646,375,379,4755055,4787867,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032360725.1/dataset_report,2026-07-10 15:57:00 UTC
anicetus,D. anicetus,GCA_033119125.1,Desmognathus anicetus,audited_TE34_accession_crosswalk,1200028197,845,873,1370451,1472729,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_033119125.1/dataset_report,2026-07-10 15:57:01 UTC
apalachicolae,D. apalachicolae,GCA_030264955.1,Desmognathus apalachicolae,audited_TE34_accession_crosswalk,1096413252,847,860,1269419,1313067,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264955.1/dataset_report,2026-07-10 15:57:01 UTC
aureatus,D. aureatus,GCA_032274985.1,Desmognathus aureatus,audited_TE34_accession_crosswalk,583509486,798,812,695229,723921,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032274985.1/dataset_report,2026-07-10 15:57:02 UTC
auriculatus,D. auriculatus,GCA_030264895.1,Desmognathus auriculatus,audited_TE34_accession_crosswalk,733966204,810,822,875203,907426,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264895.1/dataset_report,2026-07-10 15:57:04 UTC
bairdi,D. bairdi,GCA_034783875.1,Desmognathus bairdi,audited_TE34_accession_crosswalk,979423362,832,847,1142515,1192632,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_034783875.1/dataset_report,2026-07-10 15:57:05 UTC
balsameus,D. balsameus,GCA_032353675.1,Desmognathus balsameus,audited_TE34_accession_crosswalk,507486167,799,811,605418,630967,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032353675.1/dataset_report,2026-07-10 15:57:05 UTC
campi,D. campi,GCA_033118305.1,Desmognathus campi,audited_TE34_accession_crosswalk,871572923,816,833,1030184,1081147,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_033118305.1/dataset_report,2026-07-10 15:57:06 UTC
carolinensis,D. carolinensis,GCA_031753635.1,Desmognathus carolinensis,audited_TE34_accession_crosswalk,502747723,806,808,604282,606625,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_031753635.1/dataset_report,2026-07-10 15:57:07 UTC
catahoula,D. catahoula,GCA_034783935.1,Desmognathus catahoula,audited_TE34_accession_crosswalk,1344271792,858,875,1543430,1618407,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_034783935.1/dataset_report,2026-07-10 15:57:07 UTC
cheaha,D. cheaha,GCA_032353815.1,Desmognathus cheaha,audited_TE34_accession_crosswalk,570306535,815,823,674074,690700,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032353815.1/dataset_report,2026-07-10 15:57:08 UTC
conanti,D. conanti,GCA_030264475.1,Desmognathus conanti,audited_TE34_accession_crosswalk,1086385791,847,861,1255681,1304086,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264475.1/dataset_report,2026-07-10 15:57:08 UTC
fuscus,D. fuscus,GCA_032353935.1,Desmognathus planiceps,expert_reidentified_resource: NCBI planiceps row analyzed as fuscus,652813091,819,829,768571,791752,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032353935.1/dataset_report,2026-07-10 15:57:08 UTC
gvnigeusgwotli,D. gvnigeusgwotli,GCA_032353775.1,Desmognathus gvnigeusgwotli,audited_TE34_accession_crosswalk,531658066,805,815,629440,650829,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032353775.1/dataset_report,2026-07-10 15:57:09 UTC
intermedius,D. intermedius,GCA_032275315.1,Desmognathus intermedius,audited_TE34_accession_crosswalk,743188226,816,833,873175,915946,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032275315.1/dataset_report,2026-07-10 15:57:09 UTC
kanawha,D. kanawha,GCA_032353855.1,Desmognathus kanawha,audited_TE34_accession_crosswalk,490821056,812,818,580321,592883,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032353855.1/dataset_report,2026-07-10 15:57:09 UTC
lycos,D. lycos,GCA_035049765.1,Desmognathus lycos,audited_TE34_accession_crosswalk,2230530778,403,411,5418450,5482353,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_035049765.1/dataset_report,2026-07-10 15:57:10 UTC
marmoratus,D. marmoratus,GCA_031753695.1,Desmognathus marmoratus,audited_TE34_accession_crosswalk,1352948324,863,890,1526294,1631304,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_031753695.1/dataset_report,2026-07-10 15:57:11 UTC
mavrokoilius,D. mavrokoilius,GCA_032354855.1,Desmognathus mavrokoilius,audited_TE34_accession_crosswalk,645090545,814,825,760562,785011,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032354855.1/dataset_report,2026-07-10 15:57:11 UTC
monticola,D. monticola,GCA_031753675.1,Desmognathus monticola,audited_TE34_accession_crosswalk,1114886111,838,871,1275113,1386658,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_031753675.1/dataset_report,2026-07-10 15:57:11 UTC
ocoee,D. ocoee,GCA_030264995.1,Desmognathus ocoee,audited_TE34_accession_crosswalk,955634558,835,846,1118830,1157653,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264995.1/dataset_report,2026-07-10 15:57:12 UTC
orestes,D. orestes,GCA_030264915.1,Desmognathus orestes,audited_TE34_accession_crosswalk,729721615,831,835,858400,866265,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264915.1/dataset_report,2026-07-10 15:57:12 UTC
organi,D. organi,GCA_030180145.1,Desmognathus organi,audited_TE34_accession_crosswalk,853345628,801,811,1036325,1064482,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030180145.1/dataset_report,2026-07-10 15:57:13 UTC
pascagoula,D. pascagoula,GCA_030264975.1,Desmognathus pascagoula,audited_TE34_accession_crosswalk,585171784,821,829,687303,705509,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264975.1/dataset_report,2026-07-10 15:57:13 UTC
perlapsus,D. perlapsus,GCA_032275285.1,Desmognathus perlapsus,audited_TE34_accession_crosswalk,701826023,809,825,830397,870741,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032275285.1/dataset_report,2026-07-10 15:57:13 UTC
santeetlah,D. santeetlah,GCA_031753655.1,Desmognathus santeetlah,audited_TE34_accession_crosswalk,582606778,818,820,692343,695356,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_031753655.1/dataset_report,2026-07-10 15:57:14 UTC
tilleyi,D. tilleyi,GCA_034782015.1,Desmognathus tilleyi,audited_TE34_accession_crosswalk,1962682489,677,696,2946605,3035719,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_034782015.1/dataset_report,2026-07-10 15:57:14 UTC
valentinei,D. valentinei,GCA_030264875.1,Desmognathus valentinei,audited_TE34_accession_crosswalk,525569406,817,824,619515,631046,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264875.1/dataset_report,2026-07-10 15:57:15 UTC
valtos,D. valtos,GCA_032357565.1,Desmognathus valtos,audited_TE34_accession_crosswalk,397773899,803,812,472369,487768,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_032357565.1/dataset_report,2026-07-10 15:57:15 UTC
welteri,D. welteri,GCA_030264495.1,Desmognathus welteri,audited_TE34_accession_crosswalk,788650360,838,844,918657,934399,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030264495.1/dataset_report,2026-07-10 15:57:15 UTC
wrighti,D. wrighti,GCA_030265035.1,Desmognathus wrighti,audited_TE34_accession_crosswalk,1118184928,838,845,1323189,1347155,https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030265035.1/dataset_report,2026-07-10 15:57:16 UTC
