species,scientific_name,Genomic_TE_resource34,Finalized_path_analysis24,Integrated_TE_path_overlap21,manual_review_inclusion,decision_basis,te_sra_accession,te_assembly_accession,step01_phylogeny_tree_trimming,step02_panel_and_resource_provenance,step03_te_repeat_analysis,step04_ltr_deletion_footprint,step05_cell_modeling_and_measurement,step06_genome_size_estimation,step07_cell_nucleus_genome_path,has_tree_tip,step03_repeatmasker_hit_count,step03_repeatmasker_aligned_hit_bp,step03_dnapipete_runs,step03_dnapipete_total_aligned_bases,step03_te_genome_scatter_included,step04_ltr_resource_status,step04_ltr_tabout_elements,step04_ltr_selected_elements,step04_ltr_usable_elements,step04_ltr_source_corrupt_exclusions,step05_relative_iod_nuclei,step05_relative_iod_images,step05_relative_iod_specimens,step05_relative_iod_support,step05_sample_size_support,step05_relative_iod_quality_status,step06_genome_panel_status,step06_genome_nuclei,step06_genome_images,step05_finalized_size_cells,step05_finalized_size_images,step06_genome_size_pg_fuscus_anchored,step03_te_diversity_available,step03_te_pca_available,analysis_steps_with_data,analysis_steps_missing
abditus,Desmognathus abditus,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX19952928,GCA_030264455.1,False,True,True,True,False,False,False,True,311503.0,67156983.0,1.0,1008853191.0,False,usable,305.0,34.0,34.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
adatsihi,Desmognathus adatsihi,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX20502416,GCA_032275005.1,False,True,True,True,False,False,False,True,303803.0,66870709.0,1.0,954833333.0,False,usable,295.0,12.0,12.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
aeneus,Desmognathus aeneus,True,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19953415,GCA_030264635.1,True,True,True,True,True,True,True,True,302011.0,70571543.0,1.0,929912753.0,True,usable,392.0,13.0,13.0,0.0,21.0,2.0,1.0,multiple_observed_images,below_prior_minimum_30,limited_overlap,finalized_included_limited_overlap,21.0,2.0,44.0,3.0,9.624500569355842,True,True,step01;step02;step03;step04;step05;step06;step07,
amphileucus,Desmognathus amphileucus,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502537,GCA_032360725.1,True,True,True,True,True,True,True,True,280570.0,60438230.0,1.0,983107549.0,True,usable,400.0,13.0,13.0,0.0,33.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,33.0,2.0,50.0,2.0,17.464043600062507,True,True,step01;step02;step03;step04;step05;step06;step07,
anicetus,Desmognathus anicetus,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425396,GCA_033119125.1,True,True,True,True,True,True,True,True,296729.0,69723190.0,1.0,925729223.0,True,usable,383.0,8.0,8.0,0.0,39.0,1.0,1.0,single_observed_image,meets_prior_minimum_30,common_support,finalized_included_common_support,39.0,1.0,50.0,1.0,15.453874092378161,True,True,step01;step02;step03;step04;step05;step06;step07,
apalachicolae,Desmognathus apalachicolae,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19952657,GCA_030264955.1,True,True,True,True,True,True,True,True,310265.0,66319319.0,1.0,968576192.0,True,usable,413.0,4.0,4.0,0.0,37.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,2.0,50.0,1.0,15.734468075572012,True,True,step01;step02;step03;step04;step05;step06;step07,
aureatus,Desmognathus aureatus,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX20502577,GCA_032274985.1,False,True,True,True,False,False,False,True,239109.0,56307548.0,1.0,1003351480.0,False,usable,467.0,12.0,12.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
auriculatus,Desmognathus auriculatus,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX19953419,GCA_030264895.1,True,True,True,True,True,True,True,True,266019.0,59881587.0,1.0,1014522470.0,True,usable,282.0,6.0,6.0,0.0,36.0,2.0,2.0,multiple_observed_images,meets_prior_minimum_30,common_support,finalized_included_common_support,36.0,2.0,50.0,1.0,17.754303423348116,True,True,step01;step02;step03;step04;step05;step06;step07,
bairdi,Desmognathus bairdi,True,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425397,GCA_034783875.1,True,True,True,True,True,True,True,True,274350.0,67005977.0,1.0,1019291199.0,True,usable,465.0,9.0,9.0,0.0,37.0,1.0,1.0,single_observed_image,meets_prior_minimum_30,common_support,finalized_included_common_support,37.0,1.0,50.0,1.0,18.791067224721157,True,True,step01;step02;step03;step04;step05;step06;step07,
balsameus,Desmognathus balsameus,True,False,False,False,active WGS resource; absent from finalized microscopy/IOD path panel,SRX20502826,GCA_032353675.1,False,True,True,True,False,False,False,True,294407.0,67710627.0,1.0,925575840.0,False,usable,224.0,11.0,11.0,0.0,,,,,,,,,,,,,True,True,step02;step03;step04,step01;step05;step06;step07
