species,te_sra_accession,te_assembly_accession,observed_dnapipete_sra_accession,n_component_rows,total_aligned_bases,order_retained_aligned_bases,order_unresolved_aligned_bases,order_retained_fraction,order_unresolved_fraction,superfamily_retained_aligned_bases,superfamily_unresolved_aligned_bases,superfamily_retained_fraction,superfamily_unresolved_fraction,n_dnapipete_runs,dnapipete_source_labels,run_aggregation
abditus,SRX19952928,GCA_030264455.1,SRX19952928,393166,1008853191,963889480.0,44963711.0,0.955430868037964,0.0445691319620359,810815258.0,198037933.0,0.8036999488461746,0.1963000511538254,1,"[""SRX19952928""]",single_active_run
adatsihi,SRX20502416,GCA_032275005.1,SRX20502416,377406,954833333,902180899.0,52652434.0,0.9448569376662096,0.0551430623337905,776236810.0,178596523.0,0.8129552909104399,0.18704470908956,1,"[""SRX20502416""]",single_active_run
aeneus,SRX19953415,GCA_030264635.1,SRX19953415,345554,929912753,883801432.0,46111321.0,0.9504132824813512,0.0495867175186487,747448959.0,182463794.0,0.8037839642360513,0.1962160357639487,1,"[""SRX19953415""]",single_active_run
amphileucus,SRX20502537,GCA_032360725.1,SRX20502537,339240,983107549,925889929.0,57217620.0,0.9417992262818032,0.0582007737181967,778205450.0,204902099.0,0.7915771278448397,0.2084228721551603,1,"[""SRX20502537""]",single_active_run
anicetus,SRX21425396,GCA_033119125.1,SRX21425396,333280,925729223,876364047.0,49365176.0,0.9466742814491448,0.0533257185508553,750027506.0,175701717.0,0.8102018250751495,0.1897981749248505,1,"[""SRX21425396""]",single_active_run
apalachicolae,SRX19952657,GCA_030264955.1,SRX19952657,392575,968576192,919142113.0,49434079.0,0.9489621163432438,0.0510378836567562,780161972.0,188414220.0,0.8054730009304214,0.1945269990695786,1,"[""SRX19952657""]",single_active_run
aureatus,SRX20502577,GCA_032274985.1,SRX20502577,265138,1003351480,940299064.0,63052416.0,0.9371581970457652,0.0628418029542349,795422858.0,207928622.0,0.7927659188781981,0.2072340811218018,1,"[""SRX20502577""]",single_active_run
auriculatus,SRX19953419,GCA_030264895.1,SRX19953419,329012,1014522470,974718868.0,39803602.0,0.9607661701174544,0.0392338298825456,823889774.0,190632696.0,0.8120961322818212,0.1879038677181788,1,"[""SRX19953419""]",single_active_run
bairdi,SRX21425397,GCA_034783875.1,SRX21425397,323425,1019291199,983131342.0,36159857.0,0.9645245077800384,0.0354754922199617,835773248.0,183517951.0,0.8199553266230056,0.1800446733769943,1,"[""SRX21425397""]",single_active_run
balsameus,SRX20502826,GCA_032353675.1,SRX20502826,344828,925575840,871112548.0,54463292.0,0.9411573966753496,0.0588426033246503,749848884.0,175726956.0,0.81014310399459,0.18985689600541,1,"[""SRX20502826""]",single_active_run
campi,SRX21425398,GCA_033118305.1,SRX21425398,252693,909283676,857199642.0,52084034.0,0.9427197085192146,0.0572802914807853,725147443.0,184136233.0,0.7974930839954945,0.2025069160045055,1,"[""SRX21425398""]",single_active_run
carolinensis,SRX19952691,GCA_031753635.1,SRX19952691,387494,949707770,900237070.0,49470700.0,0.9479095553782824,0.0520904446217176,767977757.0,181730013.0,0.808646387088104,0.191353612911896,1,"[""SRX19952691""]",single_active_run
catahoula,SRX21425399,GCA_034783935.1,SRX21425399,241927,949140754,883647713.0,65493041.0,0.9309975462290602,0.0690024537709398,746171358.0,202969396.0,0.7861545875628896,0.2138454124371104,1,"[""SRX21425399""]",single_active_run
cheaha,SRX20502857,GCA_032353815.1,SRX20502857,354776,1006947145,945950261.0,60996884.0,0.9394239466263148,0.0605760533736853,803076294.0,203870851.0,0.7975356978642608,0.2024643021357391,1,"[""SRX20502857""]",single_active_run
conanti,SRX19953420,GCA_030264475.1,SRX19953420,352109,960417008,913068024.0,47348984.0,0.9506995569574505,0.0493004430425496,758852077.0,201564931.0,0.7901276952396494,0.2098723047603505,1,"[""SRX19953420""]",single_active_run
fuscus,SRX20497025,GCA_032353935.1,SRX20497025,331578,990148878,947992099.0,42156779.0,0.9574237976362177,0.0425762023637823,801991425.0,188157453.0,0.8099705436418219,0.1900294563581781,1,"[""SRX20497025""]",single_active_run
gvnigeusgwotli,SRX20502827,GCA_032353775.1,SRX20502827,339979,980250232,919676056.0,60574176.0,0.9382053948853336,0.0617946051146662,779062639.0,201187593.0,0.794758943755088,0.2052410562449119,1,"[""SRX20502827""]",single_active_run
intermedius,SRX20502776,GCA_032275315.1,SRX20502776,354519,987592604,932771404.0,54821200.0,0.9444900662702816,0.0555099337297183,778900135.0,208692469.0,0.7886856704325825,0.2113143295674174,1,"[""SRX20502776""]",single_active_run
kanawha,SRX20502939,GCA_032353855.1,SRX20502939,309470,988054692,930183892.0,57870800.0,0.941429558030984,0.058570441969016,779249385.0,208805307.0,0.7886702945791992,0.2113297054208007,1,"[""SRX20502939""]",single_active_run
lycos,SRX21425400,GCA_035049765.1,SRX21425400,311451,937201632,888704246.0,48497386.0,0.9482529859700458,0.0517470140299541,759539674.0,177661958.0,0.8104335802095572,0.1895664197904427,1,"[""SRX21425400""]",single_active_run
marmoratus,SRX19954879,GCA_031753695.1,SRX19954879,367672,1001497842,948123355.0,53374487.0,0.9467053399801536,0.0532946600198465,785312242.0,216185600.0,0.7841377275778494,0.2158622724221506,1,"[""SRX19954879""]",single_active_run
mavrokoilius,SRX20503049,GCA_032354855.1,SRX20503049,348196,1000741818,949300450.0,51441368.0,0.9485967638458374,0.0514032361541626,795819500.0,204922318.0,0.7952295843801742,0.2047704156198257,1,"[""SRX20503049""]",single_active_run
monticola,SRX19955091,GCA_031753675.1,SRX19955091,398976,984736203,936215246.0,48520957.0,0.9507269491543208,0.0492730508456791,782032324.0,202703879.0,0.7941541314491511,0.2058458685508488,1,"[""SRX19955091""]",single_active_run
ocoee,SRX19952863,GCA_030264995.1,SRX19952863,353000,961075648,919259128.0,41816520.0,0.9564898766428842,0.0435101233571157,766676966.0,194398682.0,0.7977280119368918,0.2022719880631082,1,"[""SRX19952863""]",single_active_run
orestes,SRX19952890,GCA_030264915.1,SRX19952890,369985,971682392,923771565.5,47910826.5,0.9506928895233282,0.0493071104766718,780889572.5,190792819.5,0.8036468500247942,0.1963531499752058,2,"[""SRX19952890"", ""SRX19952890R2""]",equal_weight_mean_of_run_level_estimates
organi,SRX19952929,GCA_030180145.1,SRX19952929,342755,987535222,904959039.0,82576183.0,0.9163815313515976,0.0836184686484022,722229712.0,265305510.0,0.7313457747231622,0.2686542252768378,1,"[""SRX19952929""]",single_active_run
pascagoula,SRX19953381,GCA_030264975.1,SRX19953381,359113,1060009031,1020778464.0,39230567.0,0.9629903464473408,0.0370096535526591,850022169.0,209986862.0,0.8019008745596244,0.1980991254403755,1,"[""SRX19953381""]",single_active_run
