species,te_sra_accession,te_assembly_accession,analysis_branch,n_elements,ratio_arithmetic_mean,ratio_median,ratio_geometric_mean,ratio_trimmed_mean_10pct,ratio_winsorized_mean_5pct,ratio_q05,ratio_q95,ratio_max,fraction_ratio_gt_1,median_bootstrap_ci_low,median_bootstrap_ci_high,geometric_mean_bootstrap_ci_low,geometric_mean_bootstrap_ci_high,max_abs_leave_one_out_mean_shift,max_abs_leave_one_out_median_shift,largest_element_fraction_of_ratio_sum,median_terminal_positive_coverage_fraction,median_internal_positive_coverage_fraction
abditus,SRX19952928,GCA_030264455.1,all_ltr_gypsy_ge5_domain_elements,34,0.6383805936156967,0.6050135071820184,0.5933763299932626,0.6229351784893097,0.6329946903573916,0.32645136544887476,1.0491157450147117,1.251926322769839,0.058823529411764705,0.5336286152689295,0.7039711976157776,0.519853607693294,0.6774175452307736,0.01859229482285285,0.003810708301357546,0.05767932609895937,1.0,1.0
adatsihi,SRX20502416,GCA_032275005.1,all_ltr_gypsy_ge5_domain_elements,12,0.6959049500342637,0.7066454949203409,0.6087674582727252,0.705337089870637,0.7023169381421313,0.21051042908522377,1.1639219299139805,1.1669524301827772,0.16666666666666666,0.5518100421509193,0.8454273088107889,0.41723749493900564,0.8276453918601064,0.05139717077384076,0.0081508231213121,0.13974039966776605,1.0,1.0
aeneus,SRX19953415,GCA_030264635.1,all_ltr_gypsy_ge5_domain_elements,13,0.7285735624536159,0.6108077987954519,0.6881965459924195,0.7261875353354956,0.7311333387294044,0.4475055654207522,1.0691649493710542,1.0963999302974687,0.15384615384615385,0.5013374646744291,0.9662744963342682,0.573469920113466,0.8283806043455799,0.030652197320321095,0.1039178832993859,0.11575832630091859,1.0,1.0
amphileucus,SRX20502537,GCA_032360725.1,all_ltr_gypsy_ge5_domain_elements,13,0.9081776811287715,0.7089735067772364,0.7886997834317842,0.8467057232278417,0.9120187899376471,0.44756001413069607,2.0949212995524586,2.1197049124463088,0.23076923076923078,0.5747922587768837,0.8681271797103725,0.5990297516717247,1.060121496362175,0.10096060260979478,0.016964598126387176,0.17954000348441926,1.0,1.0
anicetus,SRX21425396,GCA_033119125.1,all_ltr_gypsy_ge5_domain_elements,8,0.649592269864701,0.5383626209644286,0.5970000281260468,0.6495922698647009,0.6427550233569409,0.35972900965052923,1.1239136664881746,1.2474454998186777,0.125,0.4875633234347429,0.8944974045886694,0.4576158132944694,0.7861454565414157,0.08540760427913952,0.0023970431494142463,0.24004393942343621,1.0,1.0
apalachicolae,SRX19952657,GCA_030264955.1,all_ltr_gypsy_ge5_domain_elements,4,0.5906790708001934,0.5470085086236217,0.5379753608210474,0.5906790708001934,0.5841284864737076,0.3209603373721076,0.9215365912754795,0.9697020860869549,0.0,0.2989971798665753,0.9697020860869549,0.3628643914342252,0.7983084832597339,0.12634100509558716,0.10159027872016468,0.41041833629440205,1.0,1.0
aureatus,SRX20502577,GCA_032274985.1,all_ltr_gypsy_ge5_domain_elements,12,0.7230529163398228,0.7224011115989846,0.7008604241617309,0.7205300364766993,0.7215220032544002,0.46923018605162015,0.9837334882341897,1.0352284703783492,0.08333333333333333,0.5891294609403674,0.8453635085141341,0.6025926649156511,0.8128067827152108,0.028379595821684145,0.05975777809023397,0.11931220696114411,1.0,1.0
auriculatus,SRX19953419,GCA_030264895.1,all_ltr_gypsy_ge5_domain_elements,6,0.9429922238216545,0.8998028278401773,0.9093921732309291,0.9429922238216545,0.9286527819338687,0.6814986503602184,1.3337118445912843,1.4282666928647862,0.5,0.6900168473070041,1.2391569963177824,0.7472101097327215,1.1364176358831157,0.09705489380862642,0.1306934542754673,0.25243521929171114,1.0,1.0
bairdi,SRX21425397,GCA_034783875.1,all_ltr_gypsy_ge5_domain_elements,9,0.5567666443930379,0.5199067778960906,0.47147884603385265,0.5567666443930379,0.5611585528762151,0.1870312979712107,0.8857973925891569,0.8921073567421978,0.0,0.2557870087236626,0.8763324463595955,0.31197736553209,0.683744634366488,0.05194656086543281,0.14366554438658152,0.1780333657489153,1.0,1.0
balsameus,SRX20502826,GCA_032353675.1,all_ltr_gypsy_ge5_domain_elements,11,0.5715665370015113,0.6192385990276378,0.5060230975067971,0.5761509229648301,0.5741101536223663,0.2350136810733533,0.8948397020892025,0.9934004190105612,0.0,0.4145898766960882,0.7168786822648575,0.3426428163454113,0.6648386268173667,0.046309335567892074,0.05737075269556269,0.15800282758807016,1.0,1.0
