species,te_sra_accession,te_assembly_accession,analysis_branch,n_elements,ratio_arithmetic_mean,ratio_median,ratio_geometric_mean,ratio_trimmed_mean_10pct,ratio_winsorized_mean_5pct,ratio_q05,ratio_q95,ratio_max,fraction_ratio_gt_1,median_bootstrap_ci_low,median_bootstrap_ci_high,geometric_mean_bootstrap_ci_low,geometric_mean_bootstrap_ci_high,max_abs_leave_one_out_mean_shift,max_abs_leave_one_out_median_shift,largest_element_fraction_of_ratio_sum,median_terminal_positive_coverage_fraction,median_internal_positive_coverage_fraction
abditus,SRX19952928,GCA_030264455.1,all_5plus_domain_elements,81,0.5983472847935108,0.56174339205752,0.5509326240612361,0.5792944321892365,0.5948225669864116,0.2853497932988358,1.0487345478928816,1.251926322769839,0.06172839506172839,0.48536217926042335,0.623233083662267,0.5021443100876345,0.599892836342752,0.008169737974704216,0.009601332694453846,0.02583095289444911,1.0,1.0
adatsihi,SRX20502416,GCA_032275005.1,all_5plus_domain_elements,44,0.8157050037586603,0.6357462497656823,0.6446051774259911,0.6875144715659536,0.733536231848488,0.2810938103655496,1.6138493176380757,4.826165134011986,0.25,0.5458844220215097,0.7167961871730743,0.5330484008582326,0.7859432156087934,0.09326651465705393,0.029272046596514167,0.1344672041021308,1.0,1.0
aeneus,SRX19953415,GCA_030264635.1,all_5plus_domain_elements,27,0.6974182748067336,0.5762817186320965,0.6221359868777615,0.6534719815355186,0.6854812882593654,0.3191240399729395,1.4199455638700296,1.6486949222821314,0.18518518518518517,0.48784694709519544,0.8186435653942237,0.5164702912482666,0.748846085583437,0.036587563364438136,0.017263040081677672,0.08755545575036693,1.0,1.0
amphileucus,SRX20502537,GCA_032360725.1,all_5plus_domain_elements,25,0.8365710019574871,0.7277679194210502,0.7416102922760557,0.7643597719245525,0.8252832489687656,0.37326430550731554,1.9169987013944543,2.1197049124463088,0.24,0.5747922587768837,0.9239940752999939,0.6200229029994504,0.8897852709364326,0.05346391293703423,0.009397206321906992,0.10135206252602229,1.0,1.0
anicetus,SRX21425396,GCA_033119125.1,all_5plus_domain_elements,26,0.6898321524404033,0.5689092873051061,0.5989369671874977,0.6422749901283985,0.6568844824150193,0.2741097279013204,1.2003636520815495,2.1552505354865272,0.15384615384615385,0.4874214577403934,0.8068650290039817,0.48626870637457875,0.7324898989277066,0.05861673532184486,0.028149623191263462,0.12016582739962663,1.0,1.0
apalachicolae,SRX19952657,GCA_030264955.1,all_5plus_domain_elements,12,0.6123236036572438,0.5803427918437141,0.5440445242847264,0.6025334401231512,0.6098554980584074,0.2538334435127372,1.0390981319566401,1.1239155213529226,0.08333333333333333,0.37291015945467254,0.8780561077169824,0.40333616716416776,0.7224377201687534,0.04650835615415272,0.0053794810929235215,0.1529577272866937,1.0,1.0
aureatus,SRX20502577,GCA_032274985.1,all_5plus_domain_elements,23,1.0045854756665846,0.7821588896892184,0.7552740074464372,0.8318539861088651,0.9798088997404166,0.44212871095418527,2.923060768026388,3.7864516818656098,0.2608695652173913,0.6474617776626254,0.8876743588078422,0.5094470218832017,1.0363652936736143,0.12644846391813758,0.03801654647939712,0.16387688054609703,1.0,1.0
auriculatus,SRX19953419,GCA_030264895.1,all_5plus_domain_elements,13,0.7459345632514253,0.7094433907699379,0.6740120865287087,0.7285204208696132,0.7372234317830718,0.3411468489812627,1.2290331346329264,1.4282666928647862,0.3076923076923077,0.44830309631076626,1.0304962821156445,0.5242148389760588,0.8497746221445504,0.0568610108011135,0.006630883404177168,0.14728727437298667,1.0,1.0
bairdi,SRX21425397,GCA_034783875.1,all_5plus_domain_elements,32,0.5804023147668821,0.5432169726335889,0.49232862273354083,0.5713135109960634,0.5797592691062757,0.19437182464319083,1.0258522738681133,1.2421762232909552,0.09375,0.4350362221592316,0.7204195997782543,0.3829108170787876,0.6097108185574169,0.021347545436260495,0.023310194737498402,0.0668812063463833,1.0,1.0
balsameus,SRX20502826,GCA_032353675.1,all_5plus_domain_elements,34,0.9176400227400631,0.6358147574658882,0.6468564935562875,0.7444947406052508,0.838715259347997,0.21286629784189268,2.350950662637922,5.122753668415022,0.20588235294117646,0.47199590202079333,0.7168786822648575,0.4906041536801575,0.8574048251671242,0.1274276862325744,0.0014458677180144708,0.16419208165280505,1.0,1.0
