species,te_resource_panel34_v1,cell_linked_panel21_v1,integrated_path_panel18_v1,decision_basis,te_sra_accession,te_assembly_accession,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,has_ltr_high_confidence,ltr_history_n_pairs_high_confidence,analysis_role
abditus,True,False,False,active WGS resource; no current linked-cell record,SRX19952928,GCA_030264455.1,True,True,False,True,False,True,True,19.0,te_resource_descriptive
adatsihi,True,False,False,active WGS resource; no current linked-cell record,SRX20502416,GCA_032275005.1,True,True,False,True,False,True,True,4.0,te_resource_descriptive
aeneus,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19953415,GCA_030264635.1,True,True,False,True,False,True,True,9.0,te_resource_descriptive
amphileucus,True,True,True,active WGS and current linked-cell record,SRX20502537,GCA_032360725.1,True,True,True,True,True,True,True,10.0,te_resource_descriptive
anicetus,True,True,True,active WGS and current linked-cell record,SRX21425396,GCA_033119125.1,True,True,True,True,True,True,True,4.0,te_resource_descriptive
apalachicolae,True,True,True,active WGS and current linked-cell record,SRX19952657,GCA_030264955.1,True,True,True,True,True,True,False,0.0,te_resource_descriptive
aureatus,True,False,False,active WGS resource; no current linked-cell record,SRX20502577,GCA_032274985.1,True,True,False,True,False,True,True,7.0,te_resource_descriptive
auriculatus,True,True,True,active WGS and current linked-cell record,SRX19953419,GCA_030264895.1,True,True,True,True,True,True,True,3.0,te_resource_descriptive
bairdi,True,True,True,active WGS and current linked-cell record,SRX21425397,GCA_034783875.1,True,True,True,True,True,True,True,6.0,te_resource_descriptive
balsameus,True,False,False,active WGS resource; no current linked-cell record,SRX20502826,GCA_032353675.1,True,True,False,True,False,True,True,5.0,te_resource_descriptive
campi,True,True,True,active WGS and current linked-cell record,SRX21425398,GCA_033118305.1,True,True,True,True,True,True,True,11.0,te_resource_descriptive
carolinensis,True,False,False,active WGS resource; no current linked-cell record,SRX19952691,GCA_031753635.1,True,True,False,True,False,True,True,4.0,te_resource_descriptive
catahoula,True,False,False,active WGS resource; no current linked-cell record,SRX21425399,GCA_034783935.1,True,True,False,False,False,False,False,0.0,te_resource_descriptive
cheaha,True,False,False,active WGS resource; no current linked-cell record,SRX20502857,GCA_032353815.1,True,True,False,True,False,True,True,3.0,te_resource_descriptive
conanti,True,False,False,active WGS resource; no current linked-cell record,SRX19953420,GCA_030264475.1,True,True,False,True,False,True,True,4.0,te_resource_descriptive
fuscus,True,True,True,active reidentified SRX20497025 resource and current linked-cell record,SRX20497025,GCA_032353935.1,True,True,True,True,True,True,True,9.0,te_resource_descriptive
gvnigeusgwotli,True,True,True,active WGS and current linked-cell record,SRX20502827,GCA_032353775.1,True,True,True,True,True,True,True,5.0,te_resource_descriptive
intermedius,True,True,True,active WGS and current linked-cell record,SRX20502776,GCA_032275315.1,True,True,True,True,True,True,True,7.0,te_resource_descriptive
kanawha,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent,SRX20502939,GCA_032353855.1,True,True,True,False,True,False,False,0.0,te_resource_descriptive
lycos,True,False,False,active WGS resource; no current linked-cell record,SRX21425400,GCA_035049765.1,True,True,False,False,False,False,False,0.0,te_resource_descriptive
marmoratus,True,True,True,active WGS and current linked-cell record,SRX19954879,GCA_031753695.1,True,True,True,True,True,True,True,3.0,te_resource_descriptive
mavrokoilius,True,True,True,active WGS and current linked-cell record,SRX20503049,GCA_032354855.1,True,True,True,True,True,True,True,5.0,te_resource_descriptive
monticola,True,True,True,active WGS and current linked-cell record,SRX19955091,GCA_031753675.1,True,True,True,True,True,True,True,8.0,te_resource_descriptive
ocoee,True,True,True,active WGS and current linked-cell record,SRX19952863,GCA_030264995.1,True,True,True,True,True,True,True,5.0,te_resource_descriptive
orestes,True,False,False,active WGS resource; no current linked-cell record,SRX19952890,GCA_030264915.1,True,True,False,True,False,True,True,7.0,te_resource_descriptive
organi,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19952929,GCA_030180145.1,True,True,False,True,False,True,True,7.0,te_resource_descriptive
pascagoula,True,False,False,active WGS resource; no current linked-cell record,SRX19953381,GCA_030264975.1,True,True,False,True,False,True,True,2.0,te_resource_descriptive
perlapsus,True,True,True,active WGS and current linked-cell record,SRX20503048,GCA_032275285.1,True,True,True,True,True,True,True,7.0,te_resource_descriptive
santeetlah,True,False,False,active WGS resource; no current linked-cell record,SRX19955089,GCA_031753655.1,True,True,False,True,False,True,True,11.0,te_resource_descriptive
tilleyi,True,True,True,active WGS and current linked-cell record,SRX21394251,GCA_034782015.1,True,True,True,True,True,True,True,36.0,te_resource_descriptive
valentinei,True,False,False,active WGS resource; no current linked-cell record,SRX19953382,GCA_030264875.1,True,True,False,True,False,True,True,12.0,te_resource_descriptive
valtos,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent,SRX20503015,GCA_032357565.1,True,True,True,False,True,False,False,0.0,te_resource_descriptive
welteri,True,True,True,active WGS and current linked-cell record,SRX19958882,GCA_030264495.1,True,True,True,True,True,True,True,14.0,te_resource_descriptive
wrighti,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19958881,GCA_030265035.1,True,True,False,True,False,True,True,11.0,te_resource_descriptive
