species,te_descriptive_analysis21_v1,microscopy_path_analysis18_v1,decision_basis,te_sra_accession,te_assembly_accession,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,has_ltr_high_confidence,ltr_history_n_pairs_high_confidence,analysis_role
amphileucus,True,True,existing analysis18 integrated panel,SRX20502537,GCA_032360725.1,True,True,True,True,True,True,True,10.0,microscopy_integrated_path
anicetus,True,True,existing analysis18 integrated panel,SRX21425396,GCA_033119125.1,True,True,True,True,True,True,True,4.0,microscopy_integrated_path
apalachicolae,True,True,existing analysis18 integrated panel,SRX19952657,GCA_030264955.1,True,True,True,True,True,True,False,0.0,microscopy_integrated_path
auriculatus,True,True,existing analysis18 integrated panel,SRX19953419,GCA_030264895.1,True,True,True,True,True,True,True,3.0,microscopy_integrated_path
bairdi,True,True,existing analysis18 integrated panel,SRX21425397,GCA_034783875.1,True,True,True,True,True,True,True,6.0,microscopy_integrated_path
campi,True,True,existing analysis18 integrated panel,SRX21425398,GCA_033118305.1,True,True,True,True,True,True,True,11.0,microscopy_integrated_path
fuscus,True,True,existing analysis18 integrated panel; accession-specific expert reidentification,SRX20497025,GCA_032353935.1,True,True,True,True,True,True,True,9.0,microscopy_integrated_path
gvnigeusgwotli,True,True,existing analysis18 integrated panel,SRX20502827,GCA_032353775.1,True,True,True,True,True,True,True,5.0,microscopy_integrated_path
intermedius,True,True,existing analysis18 integrated panel,SRX20502776,GCA_032275315.1,True,True,True,True,True,True,True,7.0,microscopy_integrated_path
kanawha,True,True,existing analysis18 integrated panel; terminal-internal proxy absent,SRX20502939,GCA_032353855.1,True,True,True,False,True,False,False,0.0,microscopy_integrated_path
marmoratus,True,True,existing analysis18 integrated panel,SRX19954879,GCA_031753695.1,True,True,True,True,True,True,True,3.0,microscopy_integrated_path
mavrokoilius,True,True,existing analysis18 integrated panel,SRX20503049,GCA_032354855.1,True,True,True,True,True,True,True,5.0,microscopy_integrated_path
monticola,True,True,existing analysis18 integrated panel,SRX19955091,GCA_031753675.1,True,True,True,True,True,True,True,8.0,microscopy_integrated_path
ocoee,True,True,existing analysis18 integrated panel,SRX19952863,GCA_030264995.1,True,True,True,True,True,True,True,5.0,microscopy_integrated_path
perlapsus,True,True,existing analysis18 integrated panel,SRX20503048,GCA_032275285.1,True,True,True,True,True,True,True,7.0,microscopy_integrated_path
tilleyi,True,True,existing analysis18 integrated panel,SRX21394251,GCA_034782015.1,True,True,True,True,True,True,True,36.0,microscopy_integrated_path
valtos,True,True,existing analysis18 integrated panel; terminal-internal proxy absent,SRX20503015,GCA_032357565.1,True,True,True,False,True,False,False,0.0,microscopy_integrated_path
welteri,True,True,existing analysis18 integrated panel,SRX19958882,GCA_030264495.1,True,True,True,True,True,True,True,14.0,microscopy_integrated_path
