species,te_sra_accession,te_assembly_accession,n_dnapipete_runs,run_labels,n_components,total_reads,total_aligned_bases,median_hitlength_contig_ratio,fraction_components_classified,mass_total_aligned_bases,order_retained_fraction,order_unresolved_fraction,superfamily_retained_fraction,superfamily_unresolved_fraction,mass_n_dnapipete_runs,dnapipete_source_labels,run_aggregation,display_species,configured_quantification_sample_bp,repeat_aligned_fraction_of_sample,retry_policy
abditus,SRX19952928,GCA_030264455.1,1,"""SRX19952928""",393166,7630987,1008853191,0.9789915966386554,0.9333589374462696,1008853191,0.955430868037964,0.0445691319620359,0.8036999488461746,0.1963000511538254,1,"[""SRX19952928""]",single_active_run,D. abditus,1500000000,0.672568794,single_active_run
adatsihi,SRX20502416,GCA_032275005.1,1,"""SRX20502416""",377406,7313074,954833333,0.9773755656108596,0.9310238840929926,954833333,0.9448569376662096,0.0551430623337905,0.8129552909104399,0.18704470908956,1,"[""SRX20502416""]",single_active_run,D. adatsihi,1500000000,0.6365555553333333,single_active_run
aeneus,SRX19953415,GCA_030264635.1,1,"""SRX19953415""",345554,6957577,929912753,0.96986301369863,0.9427672664764408,929912753,0.9504132824813512,0.0495867175186487,0.8037839642360513,0.1962160357639487,1,"[""SRX19953415""]",single_active_run,D. aeneus,1500000000,0.6199418353333334,single_active_run
amphileucus,SRX20502537,GCA_032360725.1,1,"""SRX20502537""",339240,7481224,983107549,0.96218487394958,0.917621742719019,983107549,0.9417992262818032,0.0582007737181967,0.7915771278448397,0.2084228721551603,1,"[""SRX20502537""]",single_active_run,D. amphileucus,1500000000,0.6554050326666667,single_active_run
anicetus,SRX21425396,GCA_033119125.1,1,"""SRX21425396""",333280,6925521,925729223,0.979591836734694,0.9549657945271244,925729223,0.9466742814491448,0.0533257185508553,0.8102018250751495,0.1897981749248505,1,"[""SRX21425396""]",single_active_run,D. anicetus,1500000000,0.6171528153333333,single_active_run
apalachicolae,SRX19952657,GCA_030264955.1,1,"""SRX19952657""",392575,7383557,968576192,0.976027397260274,0.9284493408902758,968576192,0.9489621163432438,0.0510378836567562,0.8054730009304214,0.1945269990695786,1,"[""SRX19952657""]",single_active_run,D. apalachicolae,1500000000,0.6457174613333333,single_active_run
aureatus,SRX20502577,GCA_032274985.1,1,"""SRX20502577""",265138,7388684,1003351480,0.96875,0.9391977008199504,1003351480,0.9371581970457652,0.0628418029542349,0.7927659188781981,0.2072340811218018,1,"[""SRX20502577""]",single_active_run,D. aureatus,1500000000,0.6689009866666666,single_active_run
auriculatus,SRX19953419,GCA_030264895.1,1,"""SRX19953419""",329012,7416911,1014522470,0.9857142857142858,0.9537311708995416,1014522470,0.9607661701174544,0.0392338298825456,0.8120961322818212,0.1879038677181788,1,"[""SRX19953419""]",single_active_run,D. auriculatus,1500000000,0.6763483133333333,single_active_run
bairdi,SRX21425397,GCA_034783875.1,1,"""SRX21425397""",323425,7452750,1019291199,0.9868073878627968,0.9674978743139832,1019291199,0.9645245077800384,0.0354754922199617,0.8199553266230056,0.1800446733769943,1,"[""SRX21425397""]",single_active_run,D. bairdi,1500000000,0.679527466,single_active_run
balsameus,SRX20502826,GCA_032353675.1,1,"""SRX20502826""",344828,6989579,925575840,0.9785714285714284,0.9517469579036504,925575840,0.9411573966753496,0.0588426033246503,0.81014310399459,0.18985689600541,1,"[""SRX20502826""]",single_active_run,D. balsameus,1500000000,0.61705056,single_active_run
campi,SRX21425398,GCA_033118305.1,1,"""SRX21425398""",252693,8398350,909283676,0.9850746268656716,0.9486570660841416,909283676,0.9427197085192146,0.0572802914807853,0.7974930839954945,0.2025069160045055,1,"[""SRX21425398""]",single_active_run,D. campi,1500000000,0.6061891173333334,single_active_run
carolinensis,SRX19952691,GCA_031753635.1,1,"""SRX19952691""",387494,7283110,949707770,0.9735849056603774,0.9294853597733126,949707770,0.9479095553782824,0.0520904446217176,0.808646387088104,0.191353612911896,1,"[""SRX19952691""]",single_active_run,D. carolinensis,1500000000,0.6331385133333334,single_active_run
