species,scientific_name,panel_te_resource34,panel_cell_linked21,panel_integrated_path18,decision_basis,te_sra_accession,te_assembly_accession,step01_phylogeny_tree_trimming,step02_panel_and_resource_provenance,step03_te_repeat_analysis,step04_ltr_deletion_footprint,step05_cell_modeling_and_measurement,step06_genome_size_estimation,step07_cell_nucleus_genome_path,step08_integrated_phylogenetic_path,has_tree_tip,step03_repeatmasker_hit_count,step03_repeatmasker_aligned_hit_bp,step03_dnapipete_runs,step03_dnapipete_total_aligned_bases,step03_te_genome_scatter_included,step04_ltr_resource_status,step04_ltr_tabout_elements,step04_ltr_selected_elements,step04_ltr_usable_elements,step04_ltr_source_corrupt_exclusions,step05_cell_specimens,step05_cell_images,step05_cell_nucleus_pairs,step05_cell_support,step05_relative_iod_images,step05_relative_iod_specimens,step05_relative_iod_nuclei,step05_relative_iod_status,step06_genome_panel_status,step06_genome_nuclei,step06_genome_images,step05_finalized_size_cells,step05_finalized_size_images,step06_genome_size_pg_fuscus_anchored,step08_input_specifications,step08_ectopic_n_elements,step08_terminal_internal_proxy_available,step03_te_diversity_available,step03_te_pca_available,analysis_steps_with_data,analysis_steps_missing
abditus,Desmognathus abditus,True,False,False,active WGS resource; no current linked-cell record,SRX19952928,GCA_030264455.1,False,True,True,True,False,False,False,False,True,311503,67156983,1,1008853191,False,usable,305,81,81,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
adatsihi,Desmognathus adatsihi,True,False,False,active WGS resource; no current linked-cell record,SRX20502416,GCA_032275005.1,False,True,True,True,False,False,False,False,True,303803,66870709,1,954833333,False,usable,295,44,44,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
aeneus,Desmognathus aeneus,True,False,False,active WGS resource; legacy nucleus-only artifacts are not current linked microscopy,SRX19953415,GCA_030264635.1,False,True,True,True,True,True,True,False,True,302011,70571543,1,929912753,False,usable,392,27,27,0,,,,,,,,,finalized_included_limited_overlap,21,2,44,3,9.56476889,,,False,True,True,step02;step03;step04;step05;step06;step07,step01;step08
amphileucus,Desmognathus amphileucus,True,True,True,active WGS and current linked-cell record,SRX20502537,GCA_032360725.1,True,True,True,True,True,True,True,True,True,280570,60438230,1,983107549,True,usable,400,25,25,0,2,2,50,medium,1,1,38,sensitivity_limited,finalized_included_common_support,33,2,50,2,17.35565806,18,25,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
anicetus,Desmognathus anicetus,True,True,True,active WGS and current linked-cell record,SRX21425396,GCA_033119125.1,True,True,True,True,True,True,True,True,True,296729,69723190,1,925729223,True,usable,383,26,26,0,1,1,50,limited,1,1,50,sensitivity_limited,finalized_included_common_support,39,1,50,1,15.35796409,18,26,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
apalachicolae,Desmognathus apalachicolae,True,True,True,active WGS and current linked-cell record,SRX19952657,GCA_030264955.1,True,True,True,True,True,True,True,True,True,310265,66319319,1,968576192,True,usable,413,12,12,0,2,2,50,medium,1,1,19,sensitivity_limited,finalized_included_common_support,37,2,50,1,15.63681664,18,12,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
aureatus,Desmognathus aureatus,True,False,False,active WGS resource; no current linked-cell record,SRX20502577,GCA_032274985.1,False,True,True,True,False,False,False,False,True,239109,56307548,1,1003351480,False,usable_with_source_corrupt_exclusions,467,24,23,1,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
auriculatus,Desmognathus auriculatus,True,True,True,active WGS and current linked-cell record,SRX19953419,GCA_030264895.1,True,True,True,True,True,True,True,True,True,266019,59881587,1,1014522470,True,usable,282,13,13,0,2,2,50,limited,1,1,48,sensitivity_limited,finalized_included_common_support,36,2,50,1,17.64411647,18,13,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
bairdi,Desmognathus bairdi,True,True,True,active WGS and current linked-cell record,SRX21425397,GCA_034783875.1,True,True,True,True,True,True,True,True,True,274350,67005977,1,1019291199,True,usable,465,32,32,0,1,1,50,limited,1,1,50,sensitivity_limited,finalized_included_common_support,37,1,50,1,18.67444589,18,32,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
balsameus,Desmognathus balsameus,True,False,False,active WGS resource; no current linked-cell record,SRX20502826,GCA_032353675.1,False,True,True,True,False,False,False,False,True,294407,67710627,1,925575840,False,usable,224,34,34,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
brimleyorum,Desmognathus brimleyorum,False,True,False,current linked-cell record; absent from active WGS lookup,,,False,True,False,False,True,True,True,False,True,,,,,False,,,,,,2,2,50,medium,1,1,35,sensitivity_limited,finalized_included_common_support,35,2,50,2,17.01894476,,,False,False,False,step02;step05;step06;step07,step01;step03;step04;step08
campi,Desmognathus campi,True,True,True,active WGS and current linked-cell record,SRX21425398,GCA_033118305.1,True,True,True,True,True,True,True,True,True,196890,44702621,1,909283676,True,usable,307,33,33,0,2,2,50,medium,2,2,50,minor_caution,finalized_included_common_support,36,2,50,2,14.78187695,18,33,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
carolinensis,Desmognathus carolinensis,True,False,False,active WGS resource; no current linked-cell record,SRX19952691,GCA_031753635.1,False,True,True,True,False,False,False,False,True,316028,67476202,1,949707770,False,usable,192,37,37,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
catahoula,Desmognathus catahoula,True,False,False,active WGS resource; no current linked-cell record,SRX21425399,GCA_034783935.1,False,True,True,False,False,False,False,False,True,188488,42662975,1,949140754,False,missing_tabout,0,0,0,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03,step01;step04;step05;step06;step07;step08
cheaha,Desmognathus cheaha,True,False,False,active WGS resource; no current linked-cell record,SRX20502857,GCA_032353815.1,False,True,True,True,False,False,False,False,True,288310,63303628,1,1006947145,False,usable,307,27,27,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
conanti,Desmognathus conanti,True,False,False,active WGS resource; no current linked-cell record,SRX19953420,GCA_030264475.1,False,True,True,True,False,False,False,False,True,304916,71941202,1,960417008,False,usable,447,25,25,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03;step04,step01;step05;step06;step07;step08
folkertsi,Desmognathus folkertsi,False,True,False,current linked-cell record; genomic resource excluded as untrusted,,,False,True,False,False,True,True,True,False,True,,,,,False,,,,,,2,2,50,medium,2,2,50,minor_caution,finalized_included_common_support,37,2,50,2,16.9345877,,,False,False,False,step02;step05;step06;step07,step01;step03;step04;step08
fuscus,Desmognathus fuscus,True,True,True,active reidentified SRX20497025 resource and current linked-cell record,SRX20497025,GCA_032353935.1,True,True,True,True,True,True,True,True,True,284064,67460615,1,990148878,True,usable,358,34,34,0,4,4,50,limited,1,1,23,sensitivity_limited,finalized_included_common_support,35,4,50,3,16.36,18,34,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
gvnigeusgwotli,Desmognathus gvnigeusgwotli,True,True,True,active WGS and current linked-cell record,SRX20502827,GCA_032353775.1,True,True,True,True,True,True,True,True,True,281269,61176993,1,980250232,True,usable,312,27,27,0,1,1,50,limited,1,1,50,sensitivity_limited,finalized_included_common_support,37,1,50,1,15.45333008,18,27,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
intermedius,Desmognathus intermedius,True,True,True,active WGS and current linked-cell record,SRX20502776,GCA_032275315.1,True,True,True,True,True,True,True,True,True,292032,64042936,1,987592604,True,usable,337,24,24,0,2,2,50,medium,2,2,50,minor_caution,finalized_included_common_support,35,2,50,1,18.00255946,18,24,True,True,True,step01;step02;step03;step04;step05;step06;step07;step08,
kanawha,Desmognathus kanawha,True,True,True,active WGS and current linked-cell record; terminal-internal proxy absent,SRX20502939,GCA_032353855.1,True,True,True,False,True,True,True,True,True,268383,62014534,1,988054692,True,missing_tabout,0,0,0,0,2,2,50,medium,1,1,45,sensitivity_limited,finalized_included_common_support,34,2,50,2,17.06725832,18,,False,True,True,step01;step02;step03;step05;step06;step07;step08,step04
lycos,Desmognathus lycos,True,False,False,active WGS resource; no current linked-cell record,SRX21425400,GCA_035049765.1,False,True,True,False,False,False,False,False,True,266730,62881916,1,937201632,False,no_5_6_domain_elements,358,0,0,0,,,,,,,,,,,,,,,,,False,True,True,step02;step03,step01;step04;step05;step06;step07;step08
