species,te_sra_accession,te_assembly_accession,tabout_path,tabout_exists,tabout_sha256,n_tabout_elements,n_elements_ge_3000bp,n_exact_tesorter_annotations,n_historical_pipe_split_5_6_domain_elements,n_historical_source_corrupt_elements,n_selected_ltr_gypsy_ge5_domain_elements,n_usable_elements,n_selected_source_corrupt_exclusions,n_coverage_ge_80pct_elements,n_iqr_retained_elements,n_primary_iqr_filtered_elements,resource_status
abditus,SRX19952928,GCA_030264455.1,input_data/ectopic_recombination/GCA_030264455.1_tabout.csv,True,3b13ae1be2a934cd14e0f6b7a297ce383cffd333771a468281143fe8b38b4717,305,189,164,81,0,34,34,0,34,32,32,usable
adatsihi,SRX20502416,GCA_032275005.1,input_data/ectopic_recombination/GCA_032275005.1_tabout.csv,True,5a3d94011c46a060af4c542f209e6c392d376e2edc614f7bf6ee05e1c1d399e8,295,171,68,44,0,12,12,0,12,11,11,usable
aeneus,SRX19953415,GCA_030264635.1,input_data/ectopic_recombination/GCA_030264635.1_tabout.csv,True,0f533478b232f4857d9e76ba8fa92e596916d8d724fd8c5ef84604e0cf1ad5cc,392,219,46,27,0,13,13,0,13,13,13,usable
amphileucus,SRX20502537,GCA_032360725.1,input_data/ectopic_recombination/GCA_032360725.1_tabout.csv,True,c897546df6891c8f644fbdca7628dc4d0d141033e97c28dddc9843f06173019d,400,194,51,25,0,13,13,0,13,11,11,usable
anicetus,SRX21425396,GCA_033119125.1,input_data/ectopic_recombination/GCA_033119125.1_tabout.csv,True,c0a551b653f4ea6cdc0de735137eb9090065cf47fffe1606cda43794eb77643c,383,222,63,26,0,8,8,0,8,7,7,usable
apalachicolae,SRX19952657,GCA_030264955.1,input_data/ectopic_recombination/GCA_030264955.1_tabout.csv,True,7f03b790559ec9de34c46bd01cb78971a8adbfd55919e8073396df61e368c8c3,413,244,43,12,0,4,4,0,4,4,4,usable
aureatus,SRX20502577,GCA_032274985.1,input_data/ectopic_recombination/GCA_032274985.1_tabout.csv,True,3237d5f195a15792fe905b22c697b1c995e385c55fcf4436a4621094259ff2e6,467,206,48,24,1,12,12,0,12,12,12,usable
auriculatus,SRX19953419,GCA_030264895.1,input_data/ectopic_recombination/GCA_030264895.1_tabout.csv,True,bdbeb88f67412bbc88af971fbc049d43867b9739d3b291bfaef69b80e0a2b12e,282,132,38,13,0,6,6,0,6,6,6,usable
bairdi,SRX21425397,GCA_034783875.1,input_data/ectopic_recombination/GCA_034783875.1_tabout.csv,True,8b31f7af6e4f575acbce171935824eb04d1245acfe42ec5266f02348ca6a208f,465,294,70,32,0,9,9,0,9,9,9,usable
balsameus,SRX20502826,GCA_032353675.1,input_data/ectopic_recombination/GCA_032353675.1_tabout.csv,True,5b39a19c7addc6a5117074181aa53afae3880eaa439e708d7847b119ba9a1ced,224,143,71,34,0,11,11,0,11,11,11,usable
campi,SRX21425398,GCA_033118305.1,input_data/ectopic_recombination/GCA_033118305.1_tabout.csv,True,b29e9c22525a296ab56a9ce09e00e27bfa8ea5d1815f9fa41f006c5033be9204,307,166,67,33,0,16,16,0,16,15,15,usable
carolinensis,SRX19952691,GCA_031753635.1,input_data/ectopic_recombination/GCA_031753635.1_tabout.csv,True,73f86ac7c45977c5fbbe6af768e62e43742448b2fac40d968c02f518aaa90439,192,102,72,37,0,9,9,0,9,7,7,usable
catahoula,SRX21425399,GCA_034783935.1,input_data/ectopic_recombination/GCA_034783935.1_tabout.csv,False,,0,0,0,0,0,0,0,0,0,0,0,missing_tabout
cheaha,SRX20502857,GCA_032353815.1,input_data/ectopic_recombination/GCA_032353815.1_tabout.csv,True,7eb96f6bd45223f6cecf4771a4d631e5b5282a3ce559961522503494b247dc4b,307,152,54,27,0,9,9,0,9,9,9,usable
conanti,SRX19953420,GCA_030264475.1,input_data/ectopic_recombination/GCA_030264475.1_tabout.csv,True,4369cb442c631a2c31218b2e38c445ee8e44f69594864593e873af49ca9c82f6,447,295,55,25,0,8,8,0,8,8,8,usable
fuscus,SRX20497025,GCA_032353935.1,input_data/ectopic_recombination/GCA_032353935.1_tabout.csv,True,ee4fde19a9ded8b2b7cd2cd4dd2f2afa42b236319a8e04a4f2a7244864570b04,358,210,57,34,0,14,14,0,14,13,13,usable
gvnigeusgwotli,SRX20502827,GCA_032353775.1,input_data/ectopic_recombination/GCA_032353775.1_tabout.csv,True,063854328e07a18071d676a384aed9fead4c83314e20af206938f6fb97673c00,312,170,63,27,0,11,11,0,11,11,11,usable
intermedius,SRX20502776,GCA_032275315.1,input_data/ectopic_recombination/GCA_032275315.1_tabout.csv,True,a48d30b126f6cfe67f15fc376ba466f97b727e48ef159a4a21790382c7181c27,337,170,50,24,0,12,12,0,12,11,11,usable
kanawha,SRX20502939,GCA_032353855.1,input_data/ectopic_recombination/GCA_032353855.1_tabout.csv,False,,0,0,0,0,0,0,0,0,0,0,0,missing_tabout
lycos,SRX21425400,GCA_035049765.1,input_data/ectopic_recombination/GCA_035049765.1_tabout.csv,True,e1f10820aedf8915eb00104053774af58f7e6996c7425aa226eb29dd372fef33,358,217,0,0,0,0,0,0,0,0,0,no_ltr_gypsy_ge5_domain_elements
marmoratus,SRX19954879,GCA_031753695.1,input_data/ectopic_recombination/GCA_031753695.1_tabout.csv,True,e036d2436b552a81c2f8ab4999d534e8df1d2d5a7b0e155633bbc351ff9a670f,484,267,32,14,0,5,5,0,5,4,4,usable
mavrokoilius,SRX20503049,GCA_032354855.1,input_data/ectopic_recombination/GCA_032354855.1_tabout.csv,True,ddb023b8191b7d5113b456548b0210fc5d85fbbc7538a268ce7d189e37030579,313,166,57,27,0,7,7,0,7,7,7,usable
monticola,SRX19955091,GCA_031753675.1,input_data/ectopic_recombination/GCA_031753675.1_tabout.csv,True,bbc58bb3b884f2f1a97876a177b2dbe305eb89fc92368d749eec21970d527b84,434,249,44,24,0,12,12,0,12,11,11,usable
ocoee,SRX19952863,GCA_030264995.1,input_data/ectopic_recombination/GCA_030264995.1_tabout.csv,True,134bc6e8a872a08e4fb9e298545f421c2050dcb1d0039fd02e37397538d86805,422,252,59,34,0,10,10,0,10,8,8,usable
orestes,SRX19952890,GCA_030264915.1,input_data/ectopic_recombination/GCA_030264915.1_tabout.csv,True,38142a5963e4d528a346d2f103b50c271a8440ed44bf4d24fbe973593d698009,349,197,62,32,0,13,13,0,13,10,10,usable
organi,SRX19952929,GCA_030180145.1,input_data/ectopic_recombination/GCA_030180145.1_tabout.csv,True,0f6fb102d31ac20a484bf6b7d3915cabe6e66d5f324ea0081ff3e970cfeca0a8,240,140,56,21,0,14,14,0,14,14,14,usable
